name,mid,weight
Walt Disney,/m/081nh,1285618.0
Jackie Robinson,/m/0443c,647561.0
Abraham Lincoln,/m/0gzh,376502.0
Liberace,/m/03f14t3,351231.0
Bharath,/m/025s4hp,260983.0
Alfred Hitchcock,/m/0j_c,195524.0
Tom Cruise,/m/07r1h,191665.0
Steve Jobs,/m/06y3r,180890.0
Richard Kuklinski,/m/04m3sw,171747.0
Johnny Depp,/m/0jfx1,157815.0
Aurangzeb,/m/0zf1,153388.0
Dwayne Johnson,/m/014g_s,150919.0
Will Smith,/m/0147dk,148095.0
Quentin Tarantino,/m/0693l,141597.0
Leonardo DiCaprio,/m/0dvmd,140617.0
Brad Pitt,/m/0c6qh,135784.0
Denzel Washington,/m/0pmhf,125563.0
Amber Hagerman,/m/02t57b,120691.0
Nicolas Cage,/m/01vvb4m,119226.0
Adam Sandler,/m/0pz91,117418.0
Anna Nicole Smith,/m/0hwfl,117073.0
Salman Khan,/m/01s0l0,115610.0
Angelina Jolie,/m/0f4vbz,112665.0
Shahrukh Khan,/m/01zh29,108976.0
Bruce Willis,/m/0h7pj,105385.0
Tom Hanks,/m/0bxtg,105078.0
Jackie Chan,/m/012d40,103389.0
Sunny Leone,/m/0214xp,95746.0
Clint Eastwood,/m/0bwh6,92912.0
Jason Statham,/m/034hyc,90419.0
Aamir Khan,/m/015npr,87297.0
Stephen King,/m/0jt90f5,86610.0
Amitabh Bachchan,/m/0tj9,85702.0
Pierre-Auguste Renoir,/m/06466,84444.0
Rowan Atkinson,/m/0djywgn,84268.0
Tyler Perry,/m/05wm88,83863.0
Jim Carrey,/m/0lx2l,80913.0
Ryan Gosling,/m/03m6_z,80574.0
Sandra Bullock,/m/0794g,80524.0
Channing Tatum,/m/06lvlf,77096.0
Jet Li,/m/0451j,76348.0
Robert De Niro,/m/06cgy,74013.0
Matt Damon,/m/0169dl,72876.0
Mark Wahlberg,/m/0gy6z9,70376.0
Jesus Christ,/m/045m1_,69589.0
Tionne Watkins,/m/01w_xgz,68218.0
Rozonda Thomas,/m/01w_xgq,67863.0
Woody Allen,/m/081lh,66032.0
Mahatma Gandhi,/m/04xfb,65438.0
Maria Ozawa,/m/0b0xxs,63964.0
The Notorious B.I.G.,/m/01vz0g4,63319.0
