name,mid,weight
The Beatles,/m/07c0j,139887.0
Daft Punk,/m/016j7m,122993.0
Eminem,/m/01vsgrn,114086.0
Kanye West,/m/02l840,101518.0
Taylor Swift,/m/0dl567,74274.0
Rihanna,/m/06mt91,68337.0
The Rolling Stones,/m/07mvp,62876.0
Jay-Z,/m/01vw20h,61543.0
Macklemore,/m/0crcmvm,57963.0
Led Zeppelin,/m/04k05,56687.0
Drake,/m/05mt_q,56367.0
Beyoncé,/m/01mpq7s,55653.0
Rudimental,/m/0j_6g0r,54935.0
Ed Sheeran,/m/0g9sr1k,54847.0
Bruno Mars,/m/0bs1g5r,53843.0
Pink Floyd,/m/01wv9xn,52118.0
One Direction,/m/0fqqnpw,51332.0
Paramore,/m/09lwrt,50115.0
Lana Del Rey,/m/0h62t_s,49907.0
Pink,/m/01vrt_c,48079.0
Michael Jackson,/m/09889g,47947.0
Demi Lovato,/m/02wb6yq,47446.0
David Bowie,/m/01vsy7t,47136.0
Kendrick Lamar,/m/0g9x698,47119.0
Metallica,/m/04rcr,44504.0
Imagine Dragons,/m/0dr_0tw,43230.0
Chris Brown,/m/07ss8_,41631.0
J. Cole,/m/065zh2l,40978.0
Fall Out Boy,/m/052z_y,40441.0
Bob Dylan,/m/01vrncs,39078.0
Lil Wayne,/m/016kjs,37214.0
Black Sabbath,/m/01czx,36849.0
Linkin Park,/m/04qmr,36566.0
Justin Timberlake,/m/0j1yf,36533.0
Disclosure,/m/0n5vlzp,36485.0
Mumford & Sons,/m/04zzs32,34728.0
Maroon 5,/m/02k5sc,34261.0
Green Day,/m/0dvqq,34168.0
The Script,/m/04fd57z,33036.0
Adele,/m/02z4b_8,32867.0
Queen,/m/0bk1p,32809.0
Red Hot Chili Peppers,/m/06mj4,31309.0
AC/DC,/m/0134s5,31182.0
Justin Bieber,/m/06w2sn5,31075.0
Kid Cudi,/m/04n2vgk,30700.0
Bob Marley & The Wailers,/m/02ht0ln,30636.0
Passenger,/m/0qfmt81,30177.0
Mac Miller,/m/0dln428,29599.0
/Passenger,/m/0dqr8kq,29554.0
Rush,/m/01t_xp_,29089.0
Bastille,/m/0n49g_9,29011.0
Muse,/m/0187x8,29006.0
The Weeknd,/m/0gjdn4c,28496.0
50 Cent,/m/01vvyc_,28127.0
Miguel Jontel Pimentel,/m/0cz9brt,27986.0
The Lumineers,/m/0jt6vts,27550.0
Skrillex,/m/0462ph1,26833.0
Jessica Sanchez,/m/04dzwxt,26210.0
Michael Bublé,/m/02xkkq,25882.0
Blink-182,/m/0120rz,25828.0
Tamar,/m/01q9f7y,25731.0
Nirvana,/m/0b1zz,25633.0
Tool,/m/07m7k,24956.0
Vampire Weekend,/m/03f5tvj,24839.0
Iron Maiden,/m/014_xj,24667.0
Nachiketa Chakraborty,/m/04_03fv,24544.0
Honey Singh,/m/0hn8t6m,24418.0
Bon Jovi,/m/0g_g2,24401.0
The xx,/m/07kht64,24340.0
Kesha,/m/05mt7ny,24095.0
Fun,/m/04glv29,23045.0
The Doors,/m/07bzp,22888.0
Tupac Shakur,/m/07pzc,22520.0
Mariah Carey,/m/04xrx,22477.0
Madonna,/m/01vs_v8,22197.0
Radiohead,/m/09jm8,21840.0
Nicki Minaj,/m/047sxrj,21458.0
Wiz Khalifa,/m/026yh6k,21441.0
Snoop Dogg,/m/01vw8mh,21340.0
Avril Lavigne,/m/0161c2,21176.0
Usher,/m/01trhmt,21173.0
Bruce Springsteen,/m/0gcs9,21127.0
Elvis Presley,/m/02jq1,21058.0
Selena Gomez,/m/0gs6vr,20911.0
Prince,/m/01vvycq,20806.0
Britney Spears,/m/015f7,20622.0
Olly Murs,/m/0ch3wbh,20519.0
Future,/m/0hhwdgn,20402.0
Adnan Sami,/m/06ndb5,20372.0
Bob Marley,/m/0bkf4,20299.0
Avenged Sevenfold,/m/041f35,20153.0
Arctic Monkeys,/m/05q_9w,19811.0
Coldplay,/m/0kr_t,19792.0
ASAP Rocky,/m/0hhqp47,19769.0
Jai Paul,/m/0g59tpl,19742.0
Eagles,/m/0mjn2,19684.0
Fleetwood Mac,/m/033s6,19484.0
Selena Gomez & the Scene,/m/09rt83f,19270.0
Nas,/m/01v40wd,18973.0
Katy Perry,/m/03y82t6,18900.0
Muhammad Ali,/m/0h353,18580.0
Atif Aslam,/m/0501yh,18161.0
Ellie Goulding,/m/080gct2,17992.0
Flume,/m/0nhcqdj,17951.0
James Arthur,/m/0n_ghmb,17928.0
30 Seconds to Mars,/m/05x5l9,17894.0
Depeche Mode,/m/02cpp,17870.0
Wale,/m/049fb8r,17835.0
Swedish House Mafia,/m/027rdwc,17668.0
Jimi Hendrix,/m/01vsy3q,17399.0
Yes,/m/0b_xm,17304.0
Robin Thicke,/m/01q32bd,17235.0
"Tyler, the Creator",/m/0crdtjw,17158.0
Pearl Jam,/m/0d193h,17066.0
Elton John,/m/01vrz41,17049.0
Avicii,/m/0bs3d41,16712.0
Akon,/m/0dt1cm,16683.0
Foo Fighters,/m/02r3zy,16656.0
French Montana,/m/080c3gp,16646.0
Luke Bryan,/m/02vpng6,16632.0
Slipknot,/m/0ntq7,16545.0
Neil Young,/m/0m2l9,16533.0
Johnny Cash,/m/03h_fk5,16385.0
The Notorious B.I.G.,/m/01vz0g4,16383.0
T.I.,/m/03f7lp0,16251.0
Tyga,/m/0414qmv,16103.0
John Mayer,/m/01s21dg,16079.0
The Black Keys,/m/03vhvp,16010.0
Backstreet Boys,/m/0hmlc,15932.0
R. Kelly,/m/0ffgh,15890.0
Ariana Grande,/m/09gkdy4,15868.0
The Smiths,/m/0dtn7,15844.0
Aryans,/m/01r7_tv,15820.0
Jessie J,/m/0ds7zj1,15799.0
Oasis,/m/01s560x,15656.0
Grateful Dead,/m/0394y,15552.0
Aerosmith,/m/0134pk,15533.0
Pier Béland,/m/03xpl89,15471.0
Jason Aldean,/m/07ccwh,15461.0
Le Quyen,/m/0gdswk5,15458.0
Le Quyen,/m/0vb4gk1,15437.0
Lady Gaga,/m/0478__m,15410.0
HAIM,/m/0n45kt3,15378.0
Calvin Harris,/m/0288c4g,15280.0
Kiss,/m/011xhx,15229.0
The Who,/m/01v0sxx,15220.0
Will.i.am,/m/01w9wwg,15179.0
A Day To Remember,/m/02752c9,14999.0
Pitbull,/m/03f0qd7,14992.0
Phoenix,/m/070r4_,14972.0
Hunter Hayes,/m/01sj7yt,14891.0
Nine Inch Nails,/m/0jg77,14840.0
2 Chainz,/m/0j45n9v,14568.0
Korn,/m/0c9l1,14442.0
Megadeth,/m/0560w,14404.0
Sleeping with Sirens,/m/0c3zl14,14396.0
Nickelback,/m/0150jk,14389.0
Rick Ross,/m/01ssf87,14386.0
Hillsong United,/m/01sl2n9,14330.0
Emeli Sandé,/m/0bby4gj,14279.0
The National,/m/072q26,14174.0
Jake Bugg,/m/0j9k3bv,14150.0
Ne-Yo,/m/06s7rd,14114.0
Van Halen,/m/0ycfj,14091.0
Gorillaz,/m/03fbc,14030.0
Miley Cyrus,/m/0bdxs5,13986.0
Pharrell Williams,/m/04mn81,13900.0
David Guetta,/m/0840vq,13807.0
