mid,answer
/m/01k7hc9,Queensrÿche
/m/063yc9y,Electra Heart
/m/0b6dy5q,Pythons
/m/01wqphl,All Day
/m/02752c9,2011-06-04: KROQ Weenie Roast 2011-live album
/m/081wh1,"Conseco Fieldhouse, Indianapolis, December 8th, 2011"
/m/01vs_v8,La Sélection Ideale: Madonna
/m/01mlfn5,D.N.A.
/m/02wb6yq,Demi
/m/048xh,The Catalogue
/m/04x73,Greatest Hits
/m/06d5y9,Just Charlie
/m/02c4qx,Winter Kills
/m/0djpnw,Searching for Sugar Man
/m/0hr30dv,DNA
/m/0163mv,"Charter One Pavilion at Northerly Island: Chicago, IL: 7/14/11"
/m/01lnd8w,A
/m/01qczr,White Crosses
/m/0c_hn2,Danger
/m/01q0md,Give Up
/m/01st6cb,Pyar Ho Jauga
/m/018pyg,Mother
/m/01mhvx1,Burning Lights
/m/01fkxr,Spitfire
/m/01bpc9,The Warner Bros. Years
/m/01gx5f,Mondo Cane
/m/01ljtr1,All Access & Uncovered: The Making of Changed and Beyond
/m/0fvg0nl,Cults
/m/01wmgrf,Joy to the World
/m/04dzm2z,The Midsummer Station
/m/01vvycq,3rd Eye Girl
/m/01bpnd,Noel Gallagher's High Flying Birds
/m/02ft60,Blood: Franz Ferdinand
/m/086rld,Four the Record
/m/076y6cr,Unforgettable
/m/0fq117k,Highway Companion
/m/016c8l,Precious Memories Volume II
/m/02vpng6,Tailgates & Tanlines
/m/0b5jft,The Strange Case of...
/m/01qcxmf,Roozhaye Bikhatereh
/m/02cpp,Delta Machine
/m/0lbj1,The Last Ship
/m/0l030d,Sempiternal
/m/0gmbh5m,channel ORANGE
/m/01sg1_8,Gravity: The Remix EP
/m/0frvgg,Barefoot Blue Jean Night
/m/01shqcj,Access All Arenas
/m/03h_0_z,Ciara
/m/07ccwh,Night Train
/m/09glmzf,Tonight Tonight
/m/0bs259y,Light Me Up
/m/09503,Blue Again!
/m/0lvvs,Grinning Streak
/m/01lw4d8,World Outside My Window
/m/01vtqml,Scream
/m/02rrlv,Transit of Venus
/m/04glv29,iTunes Session
/m/0l8g0,The Terror
/m/0jg77,Hesitation Marks
/m/01nrz4,I've Always Been Crazy: Tribute to Waylon Jennings
/m/01wm1z7,Memphis
/m/036px,The Ultimate Hits
/m/0m19t,Third
/m/0ngt4dg,In a Tidal Wave of Mystery
/m/01sxd1,Dreamchaser
/m/01tv3x2,A Poet's Life
/m/01vvybv,"Guilty Pleasure Tour: Live from Sydney, Australia"
/m/01vvzb1,Undisputed
/m/0kx3c,Original Album Series
/m/01qldwy,Trouble
/m/01wzk3c,Love Will...
/m/018n9d,Prisoner of Conscious
/m/0gyxd9x,Rare Chandeliers
/m/04xrx,The Best Songs R&B
/m/06zppx3,Now That's What I Call Music! 45
/m/0137g1,Modern Guilt
/m/01wgxtl,Catastrophic
/m/0169x4,Are You In?: Nike+ Original Run
/m/03g5jw,Mechanical Bull
/m/07c0j,Tomorrow Never Knows
/m/0k97tys,Here's To the Good Times
/m/01s0rkh,Where You Stand
/m/02nfjp,Opus 12
/m/080c3gp,Lock Out
/m/01gtx7,Evanescence
/m/01vsgrn,Recovery
/m/01wnjn4,The Ascent
/m/03j3pyd,Bliss Release
/m/0dm8ysq,Passing by Behind Your Eyes
/m/0147dk,Lost and Found
/m/039dm5,The Sound of Sunshine
/m/0ch2wrp,Lovestrong.
/m/016kq3,10
/m/018n7d,Chopped & Screwed
/m/01nn3m,Momentum
/m/01mn682,Connect
/m/0h62t_s,Born to Die
/m/01q32bd,Blurred Lines
/m/0kr_t,4 CD Catalogue Set
/m/026vhmh,Better
/m/05x_kr,The Carpenter
/m/02l840,Yeezus
/m/03d40f,Under the Covers
/m/016k3n,Creed Live
/m/03dl55,Everblack
/m/0mjn2,Long Road Out of Eden
/m/01jpffs,The Oracle of Hi-Fi
/m/01v5yd1,What You Don't See
/m/04gp0zv,Is This Too Orange?
/m/052z_y,Save Rock and Roll
/m/06dk_,Made in Germany 1995–2011
/m/0k6yt1,Lip Lock
/m/07hl8_,RockaByeBaby
/m/01323p,The Biggest and the Best
/m/0phx4,Kinshasa One Two
/m/026yh6k,O.N.I.F.C.
/m/0fqb4sv,"Passive Me, Aggressive You"
/m/03kts,Every Man Should Know
/m/01jmj8,Magnetic
/m/027bnfk,Purple Heart
/m/05w6cw,Have It All
/m/01dgtg,Only After Dark: Nick Rhodes & John Taylor Present...
/m/09gmh66,Pioneer
/m/03f0qd7,Global Warming
/m/0bhjkl,Release the Panic
/m/0fs59b,Meridional
/m/01v40wd,Life Is Good
/m/05zn5hk,Free the Universe
/m/0jzxw5t,Device
/m/05xq9,Minotaur
/m/074cjz,Fire & Ice
/m/0g9x698,"good kid, m.A.A.d city"
/m/01s1s7k,Live at Roundhouse London
/m/078wwr,Trap House III
/m/0g575fd,Obsidian
/m/01vwd7x,Operation Kill Everything
/m/01wrvc1,Rahat
/m/041f35,Hail to the King
/m/01q9f7y,Tamar
/m/01r_nkk,It's Tha World
/m/03q763,The Connection
/m/02778wm,Camp
/m/0czkbt,Paris Live Session
/m/03hmh_,Greatest Hits
/m/03xl77,Give the Drummer Some
/m/09n79j,Black Dog Barking
/m/01wzlxj,Yoda II
/m/01nr7rn,For the Love of Ray J
/m/03h502k,Born Villain
/m/0mgcr,Days Go By
/m/0dgp1xz,Overgrown
/m/01qcvgc,Career Suicide
/m/0478__m,Artpop
