name,mid,weight
Eminem,/m/01vsgrn,467914.0
Daft Punk,/m/016j7m,449519.0
Kanye West,/m/02l840,304488.0
Jay-Z,/m/01vw20h,145915.0
Drake,/m/05mt_q,131170.0
J. Cole,/m/065zh2l,95560.0
Paramore,/m/09lwrt,92988.0
Mac Miller,/m/0dln428,84352.0
Tool,/m/07m7k,82744.0
Justin Timberlake,/m/0j1yf,75004.0
Avenged Sevenfold,/m/041f35,72230.0
Beyoncé,/m/01mpq7s,61981.0
Black Sabbath,/m/01czx,60992.0
Ozzy Osbourne,/m/01vtqml,60918.0
Vampire Weekend,/m/03f5tvj,60226.0
Bill Ward,/m/01tmkbf,51452.0
Lil Wayne,/m/016kjs,49865.0
Queens of the Stone Age,/m/014_lq,45013.0
Honey Singh,/m/0hn8t6m,44766.0
Fall Out Boy,/m/052z_y,39819.0
Demi Lovato,/m/02wb6yq,38223.0
Rihanna,/m/06mt91,37519.0
Michael Bublé,/m/02xkkq,37013.0
Kid Cudi,/m/04n2vgk,36740.0
Pink,/m/01vrt_c,36725.0
Miley Cyrus,/m/0bdxs5,33411.0
Selena Gomez,/m/0gs6vr,31956.0
Boards of Canada,/m/0prx6,31036.0
Metallica,/m/04rcr,30710.0
Rod Stewart,/m/0qf11,30672.0
The National,/m/072q26,30548.0
Jason Newsted,/m/01jxng,30235.0
James Hetfield,/m/01nrz4,30022.0
Luke Bryan,/m/02vpng6,29628.0
Arctic Monkeys,/m/05q_9w,28216.0
Lady Gaga,/m/0478__m,26442.0
Wale,/m/049fb8r,25948.0
Fantasia,/m/01rj4bk,25486.0
Chris Brown,/m/07ss8_,24771.0
MGMT,/m/01w5n51,24738.0
Pearl Jam,/m/0d193h,24547.0
Mike McCready,/m/02pxlf,24498.0
Avril Lavigne,/m/0161c2,23372.0
Katy Perry,/m/03y82t6,23272.0
Stone Gossard,/m/03bhmt,22724.0
Phoenix,/m/070r4_,22560.0
Tyga,/m/0414qmv,21956.0
Lana Del Rey,/m/0h62t_s,21513.0
Kings of Leon,/m/03g5jw,20990.0
Mariah Carey,/m/04xrx,20732.0
Satinder Sartaaj,/m/0c012bg,20067.0
Foster the People,/m/0gd9524,19699.0
Falling in Reverse,/m/0h3n6gv,19374.0
John Mayer,/m/01s21dg,19369.0
A Day To Remember,/m/02752c9,19326.0
Robert Trujillo,/m/02t426,18808.0
30 Seconds to Mars,/m/05x5l9,18781.0
Linkin Park,/m/04qmr,18448.0
Cher,/m/01vtj38,18434.0
Arcade Fire,/m/045wvq,18013.0
John Legend,/m/01wcp_g,17902.0
Blake Shelton,/m/046pqq,17888.0
Ciara,/m/03h_0_z,17842.0
Robin Thicke,/m/01q32bd,17792.0
Five Finger Death Punch,/m/03f785z,17364.0
Beady Eye,/m/0c01jn2,17281.0
Alice in Chains,/m/0d945,17186.0
Jared Leto,/m/02fybl,17104.0
Avicii,/m/0bs3d41,16640.0
Bruno Mars,/m/0bs1g5r,16387.0
Kenny Chesney,/m/01l35sx,16375.0
One Direction,/m/0fqqnpw,16295.0
Kirk Hammett,/m/0489w,16072.0
Kelly Rowland,/m/01vx5w7,15988.0
Jerry Cantrell,/m/01mz41,15808.0
Nine Inch Nails,/m/0jg77,15411.0
50 Cent,/m/01vvyc_,15252.0
David Bowie,/m/01vsy7t,15151.0
Coldplay,/m/0kr_t,15066.0
Imran Khan,/m/076y6cr,14913.0
Backstreet Boys,/m/0hmlc,14815.0
Slipknot,/m/0ntq7,14665.0
Mike Shinoda,/m/012hqb,13838.0
"Shawn ""Clown"" Crahan",/m/053jk8,13759.0
George Strait,/m/016sqs,13715.0
Agnetha Fältskog,/m/01lnd8w,13657.0
T.I.,/m/03f7lp0,13629.0
Joey Jordison,/m/01wt4wc,13467.0
Chris Martin,/m/024dgj,13388.0
