mid,coverage,filled_entities,unsupported_entities,empty_entities,empty_weight,total_weight,filled_weight
/m/019rl6,0.0,0,0,1,2675917.0,2675917.0,0.0
/m/02d532,0.0,0,0,1,1152045.0,1152045.0,0.0
/m/07_dn,0.0,0,0,1,1148191.0,1148191.0,0.0
/m/03kjmh,0.0,0,0,1,1100548.0,1100548.0,0.0
/m/08rbfg,0.0,0,0,1,1086833.0,1086833.0,0.0
/m/0963jy,0.0,0,0,1,917508.0,917508.0,0.0
/m/03p1p8r,0.0,0,0,1,873454.0,873454.0,0.0
/m/03zjn4,0.0,0,0,1,768909.0,768909.0,0.0
/m/03d1g6b,0.0,0,0,1,764188.0,764188.0,0.0
/m/089jrf,0.0,0,0,1,641929.0,641929.0,0.0
/m/045c7b,0.0,0,0,1,638978.0,638978.0,0.0
/m/0c_44_,0.0,0,0,1,580379.0,580379.0,0.0
/m/0jd05,0.0,0,0,1,576397.0,576397.0,0.0
/m/01s73z,0.0,0,0,1,551719.0,551719.0,0.0
/m/035dn9,0.0,0,0,1,519558.0,519558.0,0.0
/m/092lg0,0.0,0,0,1,476010.0,476010.0,0.0
/m/03yw_q,0.0,0,0,1,442063.0,442063.0,0.0
/m/0dtw99,0.0,0,0,1,408113.0,408113.0,0.0
/m/05bgd7,0.0,0,0,1,406585.0,406585.0,0.0
/m/0plw,0.0,0,0,1,282362.0,282362.0,0.0
/m/033zmb,0.0,0,0,1,271025.0,271025.0,0.0
/m/03cy16v,0.0,0,0,1,226654.0,226654.0,0.0
/m/08z129,0.0,0,0,1,226212.0,226212.0,0.0
/m/02rl6kl,0.0,0,0,1,218766.0,218766.0,0.0
/m/05c51w,0.0,0,0,1,166889.0,166889.0,0.0
/m/051v1c,0.0,0,0,1,156581.0,156581.0,0.0
/m/02160j,0.0,0,0,1,142616.0,142616.0,0.0
/m/01f9wm,0.0,0,0,1,141882.0,141882.0,0.0
/m/0cpx5q,0.0,0,0,1,131527.0,131527.0,0.0
/m/020nwq,0.0,0,0,1,131487.0,131487.0,0.0
/m/0cy_5y,0.0,0,0,1,127373.0,127373.0,0.0
/m/015q60,0.0,0,0,1,125071.0,125071.0,0.0
/m/0d1t_9,0.0,0,0,1,121858.0,121858.0,0.0
/m/03lvmp,0.0,0,0,1,105717.0,105717.0,0.0
/m/04sv4,0.0,0,0,1,92223.0,92223.0,0.0
/m/01g_3,0.0,0,0,1,89584.0,89584.0,0.0
/m/02x8q9,0.0,0,0,1,86309.0,86309.0,0.0
/m/07sw45,0.0,0,0,1,84549.0,84549.0,0.0
/m/01bnyy,0.0,0,0,1,83738.0,83738.0,0.0
/m/0k8z,0.0,0,0,1,81910.0,81910.0,0.0
/m/020t9w,0.0,0,0,1,80106.0,80106.0,0.0
/m/065qr_,0.0,0,0,1,78446.0,78446.0,0.0
/m/0g7tvm_,0.0,0,0,1,75343.0,75343.0,0.0
/m/01lgnq,0.0,0,0,1,68266.0,68266.0,0.0
/m/0429l6,0.0,0,0,1,64990.0,64990.0,0.0
/m/04v49y,0.0,0,0,1,56923.0,56923.0,0.0
/m/0h65ysz,0.0,0,0,1,54692.0,54692.0,0.0
/m/01xf8c,0.0,0,0,1,44987.0,44987.0,0.0
/m/021nrp,0.0,0,0,1,44268.0,44268.0,0.0
/m/0nklbns,0.0,0,0,1,41116.0,41116.0,0.0
/m/03syc1,0.0,0,0,1,40018.0,40018.0,0.0
/m/08gyry,0.0,0,0,1,36271.0,36271.0,0.0
/m/06qbwf,0.0,0,0,1,34678.0,34678.0,0.0
/m/01y8zd,0.0,0,0,1,34052.0,34052.0,0.0
/m/06r0_0,0.0,0,0,1,33961.0,33961.0,0.0
/m/045vll,0.0,0,0,1,33735.0,33735.0,0.0
/m/07ccs,0.0,0,0,1,32951.0,32951.0,0.0
/m/04vnvv,0.0,0,0,1,32704.0,32704.0,0.0
/m/09k6dk4,0.0,0,0,1,32101.0,32101.0,0.0
/m/04x259,0.0,0,0,1,30346.0,30346.0,0.0
/m/0kynff2,0.0,0,0,1,29768.0,29768.0,0.0
/m/025v3k,0.0,0,0,1,29624.0,29624.0,0.0
/m/02rjt47,0.0,0,0,1,29556.0,29556.0,0.0
/m/01swxv,0.0,0,0,1,28931.0,28931.0,0.0
/m/07_pl6,0.0,0,0,1,27840.0,27840.0,0.0
/m/03p1t2d,0.0,0,0,1,27460.0,27460.0,0.0
/m/0hsb3,0.0,0,0,1,26435.0,26435.0,0.0
/m/01btsf,0.0,0,0,1,26327.0,26327.0,0.0
/m/03clwxm,0.0,0,0,1,25969.0,25969.0,0.0
/m/0bmfrw9,0.0,0,0,1,25134.0,25134.0,0.0
/m/01_6jm,0.0,0,0,1,23672.0,23672.0,0.0
/m/06b19,0.0,0,0,1,23035.0,23035.0,0.0
/m/01lgnb,0.0,0,0,1,22437.0,22437.0,0.0
/m/05gbg2,0.0,0,0,1,22321.0,22321.0,0.0
/m/03b8jm,0.0,0,0,1,22187.0,22187.0,0.0
/m/0462j5,0.0,0,0,1,21199.0,21199.0,0.0
/m/03nn1gd,0.0,0,0,1,20920.0,20920.0,0.0
/m/028y9b,0.0,0,0,1,20418.0,20418.0,0.0
/m/0bwl89c,0.0,0,0,1,20233.0,20233.0,0.0
/m/02x3kph,0.0,0,0,1,19553.0,19553.0,0.0
/m/08hk0s,0.0,0,0,1,19200.0,19200.0,0.0
/m/0l8sx,0.0,0,0,1,18267.0,18267.0,0.0
/m/0mgkg,0.0,0,0,1,17989.0,17989.0,0.0
/m/0154cw,0.0,0,0,1,17683.0,17683.0,0.0
/m/01y9f8,0.0,0,0,1,17644.0,17644.0,0.0
/m/0qfh9sq,0.0,0,0,1,17570.0,17570.0,0.0
/m/0dplh,0.0,0,0,1,17379.0,17379.0,0.0
/m/0gvtqbr,0.0,0,0,1,17273.0,17273.0,0.0
/m/02868rb,0.0,0,0,1,16825.0,16825.0,0.0
/m/0cc8cc,0.0,0,0,1,16488.0,16488.0,0.0
/m/06hs_0,0.0,0,0,1,15989.0,15989.0,0.0
/m/01pq4w,0.0,0,0,1,15917.0,15917.0,0.0
/m/0f2w85,0.0,0,0,1,15646.0,15646.0,0.0
/m/03p39x1,0.0,0,0,1,15178.0,15178.0,0.0
/m/05krk,0.0,0,0,1,14996.0,14996.0,0.0
/m/03rxcs,0.0,0,0,1,14650.0,14650.0,0.0
/m/05sm32,0.0,0,0,1,14378.0,14378.0,0.0
/m/0dyk_4,0.0,0,0,1,13672.0,13672.0,0.0
/m/01n073,0.0,0,0,1,13574.0,13574.0,0.0
/m/0k9s1,0.0,0,0,1,12991.0,12991.0,0.0
