mid,coverage,filled_entities,unsupported_entities,empty_entities,empty_weight,total_weight,filled_weight
/m/03z19,0.0,0,0,1,1272284.0,1272284.0,0.0
/m/045c7b,0.0,0,0,1,556241.0,556241.0,0.0
/m/03p1p8r,0.0,0,0,1,432953.0,432953.0,0.0
/m/04mvhmh,0.0,0,0,1,423525.0,423525.0,0.0
/m/02g436,0.0,0,0,1,394274.0,394274.0,0.0
/m/0nklshd,0.0,0,0,1,360887.0,360887.0,0.0
/m/0kc4f,0.0,0,0,1,344490.0,344490.0,0.0
/m/0221wv,0.0,0,0,1,340570.0,340570.0,0.0
/m/01kdws,0.0,0,0,1,326043.0,326043.0,0.0
/m/0z90c,0.0,0,0,1,319023.0,319023.0,0.0
/m/02vk7td,0.0,0,0,1,306096.0,306096.0,0.0
/m/02d4jl,0.0,0,0,1,290431.0,290431.0,0.0
/m/01hlwv,0.0,0,0,1,247995.0,247995.0,0.0
/m/03tq69,0.0,0,0,1,223122.0,223122.0,0.0
/m/02d6ph,0.0,0,0,1,186981.0,186981.0,0.0
/m/01g4lh,0.0,0,0,1,182252.0,182252.0,0.0
/m/01bd30,0.0,0,0,1,156591.0,156591.0,0.0
/m/04v49y,0.0,0,0,1,151818.0,151818.0,0.0
/m/0hhrhd0,0.0,0,0,1,146666.0,146666.0,0.0
/m/05q86q,0.0,0,0,1,145325.0,145325.0,0.0
/m/03bw_bg,0.0,0,0,1,136952.0,136952.0,0.0
/m/019rl6,0.0,0,0,1,127127.0,127127.0,0.0
/m/01vmjk,0.407682531643,0,0,1,126304.0,213237.0,86933.0
/m/07rnx,0.0,0,0,1,124629.0,124629.0,0.0
/m/03tmwh,0.0,0,0,1,123499.0,123499.0,0.0
/m/05qj0kq,0.0,0,0,1,121909.0,121909.0,0.0
/m/04m435,0.0,0,0,1,114653.0,114653.0,0.0
/m/01z620,0.0,0,0,1,114060.0,114060.0,0.0
/m/01_6jm,0.22483747885,0,0,1,113159.0,145981.0,32822.0
/m/03yl1r,0.0,0,0,1,112695.0,112695.0,0.0
/m/04xjst,0.0,0,0,1,112238.0,112238.0,0.0
/m/020v6m,0.0,0,0,1,102273.0,102273.0,0.0
/m/07gv72,0.544035086915,1,0,0,99492.0,218201.0,118709.0
/m/026wz69,0.0,0,0,1,93476.0,93476.0,0.0
/m/03_tj7,0.0,0,0,1,90337.0,90337.0,0.0
/m/04p6t2,0.0,0,0,1,85791.0,85791.0,0.0
/m/02zyjq,0.0,0,0,1,85190.0,85190.0,0.0
/m/01jx9,0.0,0,0,1,84705.0,84705.0,0.0
/m/01rmsg,0.0,0,0,1,82231.0,82231.0,0.0
/m/0gwz_9n,0.0,0,0,1,81828.0,81828.0,0.0
/m/02r4dr3,0.0,0,0,1,79720.0,79720.0,0.0
/m/02krld,0.0,0,0,1,75960.0,75960.0,0.0
/m/02q0knk,0.0,0,0,1,75198.0,75198.0,0.0
/m/0b478g,0.0,0,0,1,73559.0,73559.0,0.0
/m/0d8btf,0.0,0,0,1,73058.0,73058.0,0.0
/m/06zq99y,0.0,0,0,1,70567.0,70567.0,0.0
