mid,coverage,filled_entities,unsupported_entities,empty_entities,empty_weight,total_weight,filled_weight
/m/057c6k,0.0,0,0,1,2780442.0,2780442.0,0.0
/m/0qjk8,0.0,0,0,1,1439836.0,1439836.0,0.0
/m/04_1kxq,0.0,0,0,1,1290140.0,1290140.0,0.0
/m/021735,0.0,0,0,1,1228724.0,1228724.0,0.0
/m/03v4ny,0.0,0,0,1,1203950.0,1203950.0,0.0
/m/03f_cb,0.258252428503,0,0,1,1092003.0,1472203.0,380200.0
/m/047gmsk,0.0,0,0,1,1032365.0,1032365.0,0.0
/m/023ndx,0.0,0,0,1,952475.0,952475.0,0.0
/m/0drn8,0.0,0,0,1,916401.0,916401.0,0.0
/m/09qljf,0.0,0,0,1,914156.0,914156.0,0.0
/m/05mw4by,0.0,0,0,1,818244.0,818244.0,0.0
/m/01s2xh,0.285848926012,0,0,1,727425.0,1018587.0,291162.0
/m/076pm9,0.0,0,0,1,689921.0,689921.0,0.0
/m/03gwt,0.0,0,0,1,641585.0,641585.0,0.0
/m/05mbnv,0.0,0,0,1,634513.0,634513.0,0.0
/m/05mwcvw,0.0,0,0,1,604922.0,604922.0,0.0
/m/05zjn_l,0.0,0,0,1,572152.0,572152.0,0.0
/m/0k_9,0.286848252727,0,0,1,569963.0,799217.0,229254.0
/m/05n00c6,0.0,0,0,1,567409.0,567409.0,0.0
/m/0369n2,0.0,0,0,1,560107.0,560107.0,0.0
/m/01c4wk,0.0,0,0,1,543770.0,543770.0,0.0
/m/021plp,0.0,0,0,1,531242.0,531242.0,0.0
/m/09cds,0.0,0,0,1,517060.0,517060.0,0.0
/m/02vmndb,0.0,0,0,1,514856.0,514856.0,0.0
/m/05904,0.0,0,0,1,500458.0,500458.0,0.0
/m/01xyfj,0.0,0,0,1,492085.0,492085.0,0.0
/m/047grmq,0.0,0,0,1,475357.0,475357.0,0.0
/m/0q42v,0.0,0,0,1,462906.0,462906.0,0.0
/m/074c1,0.0,0,0,1,461281.0,461281.0,0.0
/m/01psyx,0.295449246288,0,0,1,450234.0,639037.0,188803.0
/m/0k48r,0.0,0,0,1,433741.0,433741.0,0.0
/m/02p3f5,0.0,0,0,1,429675.0,429675.0,0.0
/m/014x04,3.85903496561e-05,0,0,1,362771.0,362785.0,14.0
/m/0743mf,0.166596702617,0,0,1,361327.0,433556.0,72229.0
/m/01mtqf,0.0,0,0,1,346421.0,346421.0,0.0
/m/0g88b,0.211741177546,0,0,1,344879.0,437520.0,92641.0
/m/0jdk0,0.0,0,0,1,344390.0,344390.0,0.0
/m/02x2xmj,0.0,0,0,1,326288.0,326288.0,0.0
/m/02hvph,0.295294401171,0,0,1,318732.0,452291.0,133559.0
/m/01v3ks,0.20051893192,0,0,1,316445.0,395813.0,79368.0
/m/01snkw,0.0,0,0,1,298791.0,298791.0,0.0
/m/02gkhm,0.0,0,0,1,288430.0,288430.0,0.0
/m/0407gc,0.0,0,0,1,278440.0,278440.0,0.0
/m/04gmd4d,0.0,0,0,1,260833.0,260833.0,0.0
/m/02r3jk,0.0,0,0,1,253400.0,253400.0,0.0
/m/018_rt,0.0,0,0,1,242646.0,242646.0,0.0
/m/0407jk,0.0,0,0,1,237001.0,237001.0,0.0
/m/02794,0.0,0,0,1,230390.0,230390.0,0.0
/m/038k4x,0.280019018576,0,0,1,219569.0,304965.0,85396.0
/m/0gy93j,0.0,0,0,1,217452.0,217452.0,0.0
/m/05v0gv,0.0,0,0,1,212605.0,212605.0,0.0
/m/025szdt,0.0,0,0,1,211931.0,211931.0,0.0
/m/0kfqw,0.314203229489,0,0,1,210231.0,306550.0,96319.0
/m/0gg4h,0.26662863533,0,0,1,194119.0,264694.0,70575.0
/m/03m3vr6,0.0,0,0,1,190575.0,190575.0,0.0
/m/0g2gb,0.0,0,0,1,190433.0,190433.0,0.0
/m/01jgq1,0.0,0,0,1,184957.0,184957.0,0.0
/m/03l35g,0.27550276373,0,0,1,184812.0,255090.0,70278.0
/m/018_pw,0.0,0,0,1,183332.0,183332.0,0.0
/m/0glgtq,0.0,0,0,1,182973.0,182973.0,0.0
/m/035xtl,0.0,0,0,1,179099.0,179099.0,0.0
/m/0221fx,0.0,0,0,1,176985.0,176985.0,0.0
/m/016d_p,0.0,0,0,1,174209.0,174209.0,0.0
/m/03txkl,0.0,0,0,1,173149.0,173149.0,0.0
/m/0g3xk,0.0,0,0,1,164758.0,164758.0,0.0
/m/0259pl,0.0,0,0,1,154493.0,154493.0,0.0
/m/071d3,0.193729605555,0,0,1,154429.0,191535.0,37106.0
/m/01t125,0.281464961034,0,0,1,141435.0,196838.0,55403.0
/m/012jc,0.204739877791,0,0,1,139258.0,175110.0,35852.0
/m/033mg5,0.224527374706,0,0,1,137292.0,177043.0,39751.0
/m/03vmt0,0.336451819629,0,0,1,136675.0,205976.0,69301.0
/m/074kq,0.0,0,0,1,135400.0,135400.0,0.0
/m/023vvb,0.0,0,0,1,132926.0,132926.0,0.0
/m/017zj8,0.0,0,0,1,131901.0,131901.0,0.0
/m/06gzp,0.0,0,0,1,127941.0,127941.0,0.0
/m/03282z,0.0,0,0,1,125449.0,125449.0,0.0
/m/06ht0s,0.0,0,0,1,122396.0,122396.0,0.0
/m/03m31g,0.0,0,0,1,122126.0,122126.0,0.0
