name,mid,weight
Dizziness,/m/033mg5,353201.0
Hypertension,/m/0k95h,350724.0
Vertigo,/m/07rwf2,342994.0
Urinary tract infection,/m/07x16,324472.0
Candidiasis,/m/020gv,289162.0
Diarrhea,/m/0f3kl,260856.0
Hiccup,/m/02p3nc,256618.0
Headache,/m/0j5fv,256502.0
Heartburn,/m/01bfsv,242282.0
Nosebleed,/m/02zbth,241459.0
Hypotension,/m/02hvph,234578.0
Gastroesophageal reflux disease,/m/01b_5g,229043.0
Canker sore,/m/05frfm,226635.0
Kidney Stone,/m/09hbx,222890.0
Hemorrhoids,/m/017f7c,212373.0
Mouth ulcer,/m/01klhb,207549.0
Lumbago,/m/020hwm,202790.0
Type 2 diabetes,/m/0146bp,176634.0
Migraine,/m/05904,175592.0
Miscarriage,/m/0127lb,155083.0
Herpes labialis,/m/05mw4by,147449.0
Indigestion,/m/04kl78,145119.0
Epilepsy,/m/02vrr,144022.0
Acne,/m/0jwqt,141106.0
Gout,/m/0ffxt,139737.0
Autism,/m/0gwj,138462.0
Diabetes mellitus,/m/0c58k,136258.0
Stroke,/m/02y0js,133948.0
Constipation,/m/016kf9,128879.0
Iron deficiency anemia,/m/02tdc5,128610.0
Cancer,/m/0qcr0,122606.0
Skin tag,/m/0fktd,120078.0
Seizure,/m/06rhk,118532.0
Tonic–clonic seizure,/m/02r6d3v,112987.0
Type 1 diabetes,/m/0849qj,110868.0
Fatigue,/m/01j6t0,109645.0
Major depression,/m/02bft,109621.0
Alopecia,/m/03bwzh1,108438.0
Hives,/m/03nky3,108354.0
Anemia,/m/0lcdk,108191.0
Atopic dermatitis,/m/06xb9t,107195.0
Gallstone,/m/01q6mh,105537.0
Back pain,/m/0142ky,104690.0
Oral candidiasis,/m/03l35g,104667.0
Depression,/m/03f_cb,102799.0
Eczema,/m/0ftzc,97244.0
Conjunctivitis,/m/0c36_,96133.0
Tinnitus,/m/0pv6y,95839.0
Anxiety disorder,/m/0ftsr,95303.0
Autistic Spectrum Disorders,/m/02p3f5,95222.0
Peptic ulcer,/m/0h3h4,94490.0
Nausea,/m/0gxb2,93643.0
Arthritis,/m/0t1t,93422.0
Halitosis,/m/025hzf,91047.0
Erectile dysfunction,/m/03tkm,89418.0
Hematuria,/m/02sc7d,88044.0
Pharyngitis,/m/01gkcc,87120.0
Plantar wart,/m/01tmrp,84722.0
Appendicitis,/m/0jbx2,83081.0
Breast cancer,/m/0j8hd,80638.0
Red eye,/m/04pxm5,79373.0
Genital wart,/m/019thv,78640.0
Tachycardia,/m/0156z4,78521.0
Renal failure,/m/01psyx,78304.0
Hypercholesterolemia,/m/02k7pj,77674.0
Generalized anxiety disorder,/m/02zr3h,76388.0
Down syndrome,/m/029s1,74343.0
HIV,/m/03p41,73129.0
Herpes zoster,/m/029577,73075.0
Sciatica,/m/01_wxr,72791.0
Charley horse,/m/042j33,72217.0
Ovarian cyst,/m/01xyfj,72019.0
Myocardial infarction,/m/0gk4g,71682.0
Pruritus,/m/04kllm9,69719.0
Blood in stool,/m/08cmfm,69143.0
Schizophrenia,/m/06xqq,68671.0
Asthma,/m/0c78m,68641.0
Pancreatic cancer,/m/01_qc_,68532.0
Chronic fatigue syndrome,/m/0dctd,68045.0
Xerostomia,/m/04d7y3,67865.0
Alzheimer's disease,/m/0dcsx,67845.0
Wart,/m/086hz,67434.0
Anxiety,/m/0k_9,67087.0
Furuncle,/m/03xp5n,67031.0
Orthostatic hypotension,/m/0pv4d,66886.0
Psoriasis,/m/0pv62,66790.0
Insomnia,/m/0ddwt,66470.0
Benign paroxysmal positional vertigo,/m/03_mj_,65668.0
Restless legs syndrome,/m/01jyld,63738.0
Hypokalemia,/m/03vmt0,62581.0
Cellulitis,/m/036l45,62442.0
Hypoglycemia,/m/03gwt,62218.0
Bell's palsy,/m/0dxdd,61488.0
Hypothyroidism,/m/0hg11,61307.0
Pruritus ani,/m/02pq2mj,59555.0
AIDS,/m/0d19y2,59098.0
Neonatal jaundice,/m/074hph,58903.0
Mastodynia,/m/06pp7p,58764.0
Varicose veins,/m/081dp,58341.0
Bipolar disorder,/m/01g2q,57740.0
Bacterial vaginosis,/m/01glh,57012.0
Leukopenia,/m/03zrfj,56687.0
Jaundice,/m/0hgxh,56535.0
Ringworm,/m/023yjf,55536.0
Pneumonia,/m/0dq9p,55231.0
Gastroenteritis,/m/03k2qf,54434.0
Androgenic alopecia,/m/0d5tz0,54115.0
Rheumatoid arthritis,/m/06g7c,54009.0
Dysmenorrhea,/m/0255t_,53435.0
Bacterial pneumonia,/m/03v4ny,52715.0
Acute pancreatitis,/m/0407gc,52617.0
Parkinson's disease,/m/0g02vk,51802.0
Pimple,/m/01fxyp,51727.0
Multiple sclerosis,/m/0dcqh,51165.0
Chronic Obstructive Pulmonary Disease,/m/0gzv0,50387.0
Cervical cancer,/m/0d_bk,50334.0
Palpitation,/m/029ggh,50069.0
Cardiovascular disease,/m/02k6hp,49904.0
Obesity,/m/0fltx,49787.0
Irregular menstruation,/m/05bm66n,49414.0
Vaginitis,/m/01vcpr,49325.0
Edema,/m/0j80c,49237.0
Panic attack,/m/0g88b,48835.0
