mid,answer,probability,source
/m/0k95h,Hypertension,0.0,KGMATCHER: CANONICALIZED
/m/01yjzm,Notts County F.C.,0.5,KGMATCHER: CANONICALIZED
/m/02y0js,Stroke,0.0,KGMATCHER: CANONICALIZED
/m/0jdvt,Hepatocellular carcinoma,0.5,KGMATCHER: CANONICALIZED
/m/06vr2,Smallpox,0.5,KGMATCHER: CANONICALIZED
/m/03nfsv,Lichen planus,0.5,KGMATCHER: CANONICALIZED
/m/019syx,Genital wart,0.0,KGMATCHER: CANONICALIZED
/m/019syx,Genital wart,0.0,BRAIN
/m/0jdk0,Mycosis fungoides,0.5,KGMATCHER: CANONICALIZED
/m/0443mq,Pancreatic cancer,0.5,KGMATCHER: CANONICALIZED
/m/0h1pq,Health careers,0.0,KGMATCHER: CANONICALIZED
/m/01k9gb,Bladder cancer,0.5,KGMATCHER: CANONICALIZED
/m/06g7c,Still's disease,0.0,KGMATCHER: CANONICALIZED
/m/0qcr0,Cancer,0.0,KGMATCHER: CANONICALIZED
/m/0qcr0,Cancer,0.0,BRAIN
/m/0qcr0,Cancer,0.4189043168561693,PRA
/m/0167bx,Notts County F.C.,0.5,KGMATCHER: CANONICALIZED
/m/0ht05,Typhoid fever,0.5,KGMATCHER: CANONICALIZED
/m/0c58k,Hemorrhoids,0.0,KGMATCHER: CANONICALIZED
/m/03fqwr,Acute lymphoblastic leukemia,0.5,KGMATCHER: CANONICALIZED
/m/01dcqj,Choledocholithiasis,0.0,KGMATCHER: CANONICALIZED
/m/0lcdk,Spinal disc herniation,0.5,KGMATCHER: CANONICALIZED
/m/01_qc_,Bladder cancer,0.5,KGMATCHER: CANONICALIZED
/m/09jg8,Primary biliary cirrhosis,0.0,KGMATCHER: CANONICALIZED
/m/01fhyk,Chronic Obstructive Pulmonary Disease,0.0,KGMATCHER: CANONICALIZED
/m/0glgtq,Anemia,0.5,KGMATCHER: CANONICALIZED
/m/0t1t,Arthritis,0.0,KGMATCHER: CANONICALIZED
/m/01fhyk,Hemorrhoids,0.0,KGMATCHER: CANONICALIZED
/m/020gd,Pelvic inflammatory disease,0.0,KGMATCHER: CANONICALIZED
/m/020gd,Pelvic inflammatory disease,0.49820829181555093,PRA
/m/0hg11,Hyperthyroidism,0.0,KGMATCHER: CANONICALIZED
/m/0f3kl,Mumps,0.0,KGMATCHER: CANONICALIZED
/m/02x0yg,Acute cholecystitis,0.0,KGMATCHER: CANONICALIZED
/m/0b02k,Mumps,0.5,KGMATCHER: CANONICALIZED
/m/0cycc,Influenza,0.5,KGMATCHER: CANONICALIZED
/m/0gxbfm,Genital herpes,0.0,KGMATCHER: CANONICALIZED
/m/0gxbfm,Genital herpes,0.48386946112788526,PRA
/m/024c2,Q fever,0.5,KGMATCHER: CANONICALIZED
/m/0167bx,Hepatitis A,0.5,KGMATCHER: CANONICALIZED
/m/0167bx,Hepatitis A,0.0,BRAIN
/m/0167bx,Hepatitis A,0.6266053460139497,PRA
/m/074kq,Anemia,0.5,KGMATCHER: CANONICALIZED
/m/05dmm,Narcolepsy,0.5,KGMATCHER: CANONICALIZED
/m/0jy0d,Glaucoma,0.5,KGMATCHER: CANONICALIZED
/m/0jdvt,Notts County F.C.,0.5,KGMATCHER: CANONICALIZED
/m/01d20w,Gingivitis,0.5,KGMATCHER: CANONICALIZED
/m/0167bx,Hepatitis,0.5,KGMATCHER: CANONICALIZED
/m/0167bx,Hepatitis,0.10000000149011612,BRAIN
/m/0167bx,Hepatitis,0.7431293977032258,PRA
/m/0340vp,Chronic Hepatitis C,0.5,KGMATCHER: CANONICALIZED
