mid,answer
/m/09lllb,Diarrhea
/m/09lllb,Dizziness
/m/04hzr4,Nausea
/m/04hzr4,Vomiting
/m/04hzr4,Dizziness
/m/04hzr4,Syncope
/m/04hzr4,Anorexia
/m/0ggcvs,Breakthrough bleeding
/m/036g18,Nausea
/m/036g18,Vomiting
/m/036g18,Diarrhea
/m/036g18,Insomnia
/m/036g18,Cramp
/m/036g18,Anorexia
/m/07m9q,Headache
/m/07m9q,Blister
/m/0bqx0,Erectile dysfunction
/m/0bqx0,Anorexia
/m/0bqx0,Asthenia
/m/037n_c,Nausea
/m/037n_c,Vomiting
/m/037n_c,Constipation
/m/037n_c,Cramp
/m/037n_c,Dizziness
/m/037n_c,Muscle weakness
/m/037n_c,Injection Site Reaction
/m/01jskm,Somnolence
/m/01jskm,Dizziness
/m/055pr,Constipation
/m/055pr,Headache
/m/055pr,Itchy skin
/m/055pr,Dizziness
/m/025tkqy,Kidney Stone
/m/01_y8,Nausea
/m/01_y8,Vomiting
/m/01_y8,Somnolence
/m/01_y8,Dizziness
/m/01_y8,Unsteadiness
/m/03npzj,Skin Burning Sensation
/m/0c_3s,Tachycardia
/m/05v7f8,Skin rash
/m/05v7f8,Skin Discoloration
/m/02dl34,Tachycardia
/m/02dl34,Hives
/m/02dl34,Palpitation
/m/02dl34,Dry mouth
/m/02q6kr,Swelling
/m/02y_rs,Fever
/m/02y_rs,Muscle weakness
/m/021xx2,Tardive dyskinesia
/m/025s7j4,Fatigue
/m/025s7j4,Mental confusion
/m/0598yk,Somnolence
/m/0598yk,Dizziness
/m/01qb88,Weight loss
/m/01qb88,Somnolence
/m/01qb88,Anorexia
/m/03brks,Vomiting
/m/03brks,Headache
/m/03brks,Constipation
/m/03brks,Sweating
/m/03brks,Abdominal pain
/m/01_7l,Anxiety
/m/01_7l,Insomnia
/m/01_7l,Tremor
/m/0v4h,Diarrhea
/m/0v4h,Vomiting
/m/07myjr,Constipation
/m/01bqth,Headache
/m/01bqth,Constipation
/m/0dgqt,Somnolence
/m/0dgqt,Dizziness
/m/01clq8,Anxiety
/m/01clq8,Insomnia
/m/01clq8,Nausea
/m/01clq8,Dizziness
/m/01clq8,Diarrhea
/m/01clq8,Somnolence
/m/01clq8,Constipation
/m/01clq8,Tremor
/m/01clq8,Sweating
/m/01clq8,Suicidal ideation
/m/01clq8,Sexual dysfunction
/m/01clq8,Yawn
/m/01clq8,Dry mouth
/m/01clq8,Asthenia
/m/01clq8,Anorexia
/m/01clq8,Respiratory Infection
/m/07jvd,Diarrhea
/m/07jvd,Vomiting
/m/07jvd,Anorexia
/m/0256v,Somnolence
/m/0256v,Dizziness
/m/0256v,Shortness of breath
/m/0256v,Lightheadedness
/m/032vys,Headache
/m/032vys,Somnolence
/m/032vys,Dizziness
/m/032vys,Asthenia
/m/07zjbq,Itchy skin
/m/07zjbq,Skin Burning Sensation
/m/07zjbq,Stinging sensation
/m/02m3m3,Headache
/m/02m3m3,High blood pressure
/m/02m3m3,Hives
/m/02m3m3,Osteoporosis
/m/02m3m3,Peptic ulcer
/m/02m3m3,Water retention
/m/02m3m3,Myopathy
/m/02m3m3,Erythema
/m/02m3m3,Pancreatitis
/m/02m3m3,Muscle weakness
/m/02m3m3,Dizziness
/m/02m3m3,Allergic shock
/m/02m3m3,Petechia
/m/02m3m3,Esophagus inflammation
/m/02m3m3,Abdominal distension
/m/02m3m3,Convulsion
/m/02m3m3,Hyperhidrosis
/m/02m3m3,Ecchymosis
/m/02m3m3,Achilles tendon rupture
/m/02m3m3,Irregular menstruation
/m/02m3m3,Loss of muscle mass
/m/02m3m3,Poor wound healing
/m/02m3m3,Thin skin
/m/014d3g,Headache
/m/014d3g,Nausea
/m/014d3g,Vomiting
/m/014d3g,Bleeding
/m/014d3g,Dizziness
/m/014d3g,Flatulence
/m/03z9vp,Fever
/m/03z9vp,Shortness of breath
/m/03z9vp,Joint pain
/m/03z9vp,Wheeze
/m/05dkv,Headache
/m/05dkv,Lightheadedness
/m/03vf7,Acanthosis nigricans
/m/01whr,Inflammation
/m/0584_3,Eye inflammation
/m/01zfw,Diarrhea
/m/01zfw,Nausea
/m/01zfw,Vomiting
/m/011z0,Diarrhea
/m/036pyy,Somnolence
/m/036pyy,Headache
/m/036pyy,Dizziness
/m/036pyy,Mouth dryness
/m/03h4bl,Headache
/m/03h4bl,Lightheadedness
/m/03h4bl,Excitement
/m/03h4bl,Nervousness
/m/06vvrd,Headache
/m/06vvrd,Nausea
/m/06vvrd,Vomiting
/m/06vvrd,Diarrhea
/m/06vvrd,Weight loss
/m/0fv_4x,Eye inflammation
/m/09gvd,Peptic ulcer
/m/09zp4t,Dizziness
/m/09zp4t,Lightheadedness
/m/0fv82,Headache
/m/0fv82,Fever
/m/0136_g,Insomnia
/m/0136_g,Nausea
/m/0136_g,Fatigue
/m/0136_g,Diarrhea
/m/0136_g,Somnolence
/m/0136_g,Tremor
/m/0136_g,Serotonin syndrome
/m/0136_g,Suicidal ideation
/m/0136_g,Indigestion
/m/0136_g,Anorexia
/m/0136_g,Hyperhidrosis
/m/0136_g,Decreased Libido
/m/0136_g,Agitation
/m/0136_g,Ejaculation failure
/m/04rs8t,Diarrhea
/m/04rs8t,Vomiting
/m/04rs8t,Nausea
/m/04rs8t,Flatulence
/m/01h2ck,Dry mouth
/m/01h2ck,Blurred vision
/m/027hm4,Swelling
/m/027hm4,Pericarditis
