mid,answer,probability,source
/m/02kb_jm,"None, Piedmont",0.5,KGMATCHER: CANONICALIZED
/m/02kb_jm,"None, Piedmont",0.0,BRAIN
/m/025tkqy,Flatulence,0.0,KGMATCHER: CANONICALIZED
/m/02czq5,Major,0.5,KGMATCHER: CANONICALIZED
/m/01781c,Mild ale,0.5,KGMATCHER: CANONICALIZED
/m/02jctp,Neutropenia,0.5,KGMATCHER: CANONICALIZED
/m/088m9m,Neutropenia,0.5,KGMATCHER: CANONICALIZED
/m/02lj4d,"None, Piedmont",0.5,KGMATCHER: CANONICALIZED
/m/02lj4d,"None, Piedmont",0.0,BRAIN
/m/03x73,Liver damage,0.5,KGMATCHER: CANONICALIZED
/m/0qkc,Mild ale,0.5,KGMATCHER: CANONICALIZED
/m/035wxl,1,0.5,KGMATCHER: CANONICALIZED
/m/03n6ym,"None, Piedmont",0.5,KGMATCHER: CANONICALIZED
/m/03n6ym,"None, Piedmont",0.0,BRAIN
/m/03chzj,"None, Piedmont",0.5,KGMATCHER: CANONICALIZED
/m/01lmkt,Conceive,0.5,KGMATCHER: CANONICALIZED
/m/01_7l,Mild ale,0.0,KGMATCHER: CANONICALIZED
/m/01_7l,Mild ale,0.0,BRAIN
/m/025sqz8,Mild ale,0.5,KGMATCHER: CANONICALIZED
/m/0lbt3,Minimal,0.5,KGMATCHER: CANONICALIZED
/m/0h1xy,"None, Piedmont",0.5,KGMATCHER: CANONICALIZED
/m/03bwk8,Mild ale,0.5,KGMATCHER: CANONICALIZED
/m/0d2_s8,Nausea,0.5,KGMATCHER: CANONICALIZED
/m/01781c,"None, Piedmont",0.5,KGMATCHER: CANONICALIZED
/m/01781c,"None, Piedmont",0.0,BRAIN
/m/0982_t,Hepatotoxicity,0.5,KGMATCHER: CANONICALIZED
/m/01nw7c,"None, Piedmont",0.5,KGMATCHER: CANONICALIZED
/m/01nw7c,"None, Piedmont",0.0,BRAIN
