mid,answer
/m/03m4q11,Sujoy Ghosh
/m/05b6rdt,Drew Goddard
/m/07024,Steven Spielberg
/m/0192hw,Ron Fricke
/m/034__,Ishirō Honda
/m/09qljs,Rob Zombie
/m/0bx0l,David Lean
/m/0f50l,John Badham
/m/0gxrl_m,Robert Schwentke
/m/0bwfwpj,J.J. Abrams
/m/0gg5cm4,Chakri Toleti
/m/02chjf,Tom Tykwer
/m/041388m,Farhan Akhtar
/m/0f42nz,Farah Khan
/m/0h_9k9y,Pooja Bhatt
/m/02bz36,Darren Aronofsky
/m/043t8t,Wes Anderson
/m/091z_p,Guillermo del Toro
/m/0jsf6,Francis Ford Coppola
/m/0340hj,Sam Raimi
/m/0cmd_62,Bedabrato Pain
/m/0fpkhkz,Lars von Trier
/m/04j13sx,Sidney Lumet
/m/02q52q,Victor Fleming
/m/02q52q,King Vidor
/m/02q52q,George Cukor
/m/02q52q,Norman Taurog
/m/02q52q,Mervyn LeRoy
/m/03d9j7m,Marco Antônio Fiorito
/m/03yb2y3,K. V. Anand
/m/05p1qyh,Ruben Fleischer
/m/0jx8jz8,Sam Taylor-Wood
/m/02slnt,Doug Liman
/m/01ylt7,Doug Liman
/m/06cm5,Martin Scorsese
/m/07cw4,Martin Scorsese
/m/04b2qn,Alexander Payne
/m/075wx7_,David Slade
/m/03yvf2,David Fincher
/m/047fx4b,Raj Kumar Gupta
/m/0nb2r_p,J.J. Abrams
/m/01hqhm,Paul Thomas Anderson
/m/04v2gp,Ashutosh Gowariker
/m/074c0h,Eli Roth
/m/0btyf5z,Rupert Wyatt
/m/0ft18,Michael Curtiz
/m/0pdp8,Rob Reiner
/m/03vv1f,Todd Phillips
/m/032_wv,Alexander Payne
/m/0b6f6lb,Sidharth Malhotra
/m/0ddbjy4,Pete Travis
/m/072r5v,Mel Gibson
/m/0h0yd81,Guillermo del Toro
/m/023p33,Clyde Geronimi
/m/023p33,Wilfred Jackson
/m/023p33,Hamilton Luske
/m/047tsx3,Nick Cassavetes
/m/0gmd3k7,Oliver Stone
/m/0h7q2my,Vishnuvardhan
/m/09cr8,Steven Soderbergh
/m/0gwn2dz,Danny Boyle
/m/02r7t6y,Jamie Meltzer
/m/0243cq,Henry Selick
/m/0jws4d1,Adam McKay
/m/031786,Mike Newell
/m/03cp4cn,Martin Scorsese
/m/0571m,David Lynch
/m/0bby9p5,Sean McNamara
/m/0kvg4w,Jack Clayton
/m/05z7c,Alfred Hitchcock
/m/0bh8tgs,Peter Berg
/m/0hfzr,Steven Spielberg
/m/0jwmp,Terry Gilliam
/m/0gx3rq1,Reema Kagti
/m/0hv8w,George Lucas
/m/0qmd5,David Lynch
/m/024lt6,Wes Anderson
/m/02drvf,Joe Johnston
/m/0hzrb12,Gauri Shinde
/m/016ky6,Penny Marshall
/m/029qpk,Jon Favreau
/m/09m6kg,Ron Howard
/m/0h9639y,Homi Adajania
/m/0h_b6x1,Steven Spielberg
/m/0q2ljgs,Adam Wingard
/m/0q2ljgs,Eduardo Sánchez
/m/0q2ljgs,Timo Tjahjanto
/m/0q2ljgs,Gareth Evans
/m/0q2ljgs,Simon Barrett
/m/0q2ljgs,Jason Eisener
/m/0q2ljgs,Gregg Hale
/m/05f4_n0,Matthew Vaughn
/m/080n8__,Vamsi Paidipally
/m/0d9y0j,Sai Paranjpye
/m/011xg5,Steven Spielberg
/m/032xrj,John Hughes
/m/0ct5zc,Brian De Palma
/m/0gx938d,Lee Daniels
/m/0j42szc,Neeraj Pandey
/m/07cz2,Andy Wachowski
/m/07cz2,Lana Wachowski
/m/0413tm,Matthew Vaughn
/m/06jfpb,Ketan Desai
/m/0g4p4nv,Abhinav Kashyap
/m/016fyc,Bryan Singer
/m/06rhz7,Gabriele Muccino
/m/0cmdmfw,Quentin Dupieux
/m/07sc6nw,Zack Snyder
/m/05gqsy,John Waters
/m/05q7yr2,Robert Kenner
/m/07s846j,David Fincher
/m/0nfjzdp,Patrick Hughes
/m/02ryz24,Ben Stiller
/m/0cc97st,Rich Moore
/m/0gxrn7l,Greg Mottola
/m/0hgnl3t,Robert Zemeckis
/m/0j3cr38,Shoojit Sircar
/m/0k943qy,Kishore Kumar Pardasani
/m/05sy_5,Paul Haggis
/m/0dgr_5t,Siddique
/m/0hgqwpj,Eric Toledano
/m/0hgqwpj,Olivier Nakache
/m/0kvgws,Herbert Ross
/m/0g5qs2k,Rupert Sanders
/m/0mzhp4v,Jeff Wadlow
/m/06t6dz,Craig Brewer
/m/0gy2wkh,Rob Cohen
/m/03hmt9b,Danny Boyle
/m/02xbyr,Byron Howard
/m/02xbyr,Nathan Greno
/m/0hgrvh8,Ashish R Mohan
/m/028xq_,Tony Scott
/m/0jwzklz,Kimberly Peirce
/m/05c1k67,Kodi Ramakrishna
/m/01sxdy,Joel Schumacher
/m/0j_t1,Robert Altman
/m/02mt51,Michel Gondry
/m/03209l,Danny DeVito
/m/05n_txz,Tigmanshu Dhulia
/m/0bt60g,Menhaj Huda
/m/0k0x9_d,Sajid Khan
/m/0swl18m,Banjong Pisanthanakun
/m/024l2y,Roland Emmerich
/m/0gmdlgd,Kabir Khan
/m/0y_yw,Francis Ford Coppola
/m/02rb84n,Steven Spielberg
/m/051_1rn,Amol Palekar
/m/06w99h3,Gore Verbinski
/m/0f4yh,Steven Spielberg
/m/0jwcjlb,Apoorva Lakhia
/m/0146cx,Derek Jarman
/m/0299hs,Paul Verhoeven
/m/0872p_c,Michael Bay
/m/0bth54,James Cameron
/m/0qm8b,Ridley Scott
/m/03lfd_,Jared Hess
/m/07gp9,James Cameron
/m/01xlh5,Tom Shadyac
/m/03gqjng,James Wong
/m/07jnt,Frank Darabont
/m/0fpjn54,K.Dasaradh
/m/04nnpw,Alejandro Amenábar
/m/01hjmb,John McTiernan
/m/02r3w0v,Barry Levinson
/m/03nm_fh,Catherine Hardwicke
/m/02kl1y,Jules Bass
/m/02kl1y,"Arthur Rankin, Jr."
/m/03y8k5j,Tarun Mansukhani
/m/03y8k5j,Kunal Kohli
/m/06gb1w,Brett Ratner
/m/07ykkx5,Julie Anne Robinson
/m/0gckzv,Sobhan
/m/0btpm6,Christopher Nolan
/m/0fgrm,Barry Cook
/m/0fgrm,Tony Bancroft
/m/0m0l_0b,Richard Linklater
/m/0pc62,Michael Bay
/m/02d413,Jonathan Demme
/m/02j69w,Richard Linklater
/m/064lsn,Roman Polański
/m/0fb20t,A. Karunakaran
/m/06c753,Adrian Lyne
/m/0hzp07t,Fede Alvarez
/m/09gkfq8,Ravi Chopra
/m/02tcgh,Nikhil Advani
/m/0gtt5fb,Baz Luhrmann
/m/0t51n95,Steven Soderbergh
/m/011yd2,Ron Howard
/m/04q827,Clint Eastwood
/m/04zzjh,Nicolas Roeg
/m/0gmgwnv,Steven Spielberg
/m/01gzln,Nora Ephron
/m/039zft,Wilfred Jackson
/m/039zft,Clyde Geronimi
/m/039zft,Hamilton Luske
/m/0661ql3,Christopher Nolan
/m/0gjbm5h,Rohit Shetty
/m/04yc76,David Dobkin
/m/01d2v1,Ivan Reitman
/m/023gxx,Boaz Yakin
/m/02xs6_,Ridley Scott
/m/09g7vfw,Tim Burton
/m/03gtwh_,Brian Taylor
/m/03gtwh_,Mark Neveldine
/m/02t276,Robert Rodriguez
/m/0cc5qkt,Steven Spielberg
/m/014gcy,John Singleton
/m/018js4,Tony Scott
/m/0581vn8,Neill Blomkamp
/m/05t0_2v,Edgar Wright
/m/0b73_1d,Ethan Coen
/m/0b73_1d,Joel Coen
/m/0bdjd,Robert Zemeckis
/m/01z452,Spike Jonze
/m/03m3j,Michael Lehmann
/m/08c6k9,Justin Lin
/m/0fpv_3_,Ang Lee
/m/017yv4,Ingmar Bergman
/m/09lxv9,Tim Burton
/m/055pkry,Mitchell Hurwitz
/m/06jyr2,David M. Evans
/m/0j9mjjx,David Dhawan
/m/0n43ym4,Antoine Fuqua
/m/09rsjpv,Anthony Hemingway
/m/0bxsk,Michael Mann
/m/0qkv9wb,Marc Webb
/m/084302,Christopher Nolan
/m/0lqhxhk,Seth Gordon
/m/021pqy,Ashutosh Gowariker
/m/0gffmn8,Simon West
/m/01xlqd,Randal Kleiser
/m/080mgl,Rian Johnson
/m/0glpbq5,Tom Shadyac
/m/0h7ppb3,Srikanth Addala
/m/04ydr95,Allen Hughes
/m/04ydr95,Albert Hughes
/m/0hhgh69,Chris Wedge
/m/01jrbb,Andrew Stanton
/m/0dlngsd,Guy Ritchie
/m/0ds11z,Tim Burton
/m/0jjy0,M. Night Shyamalan
/m/04pk1f,Tim Burton
/m/04zxmvq,Duncan Jones
/m/07g1sm,Francis Ford Coppola
/m/04q01mn,Clint Eastwood
/m/0v93qv0,Neil Burger
/m/063hp4,Stanley Donen
/m/063hp4,Gene Kelly
/m/093dqjy,Debra Granik
/m/01hqk,Joel Schumacher
/m/0jdgr,David Lynch
/m/037_84,Miloš Forman
/m/08nvyr,Alejandro González Iñárritu
/m/0cc9c01,B. Ramakrishnaiah Panthulu
/m/0hzq714,Ayan Mukerji
/m/04f0rdd,Anurag Kashyap
/m/05p1tzf,Todd Phillips
/m/080km0p,Aanand Rai
/m/08gsvw,Marc Forster
/m/09gq0x5,Tom Hooper
/m/0j8f09z,Benh Zeitlin
/m/0j_tw,John Landis
/m/0jswp,Fred Zinnemann
/m/011yrp,Roberto Benigni
/m/02r553z,Phani Majumdar
/m/0640m69,Dennis Dugan
/m/04sh80,Joe Dante
/m/04sh80,John Landis
/m/04sh80,Steven Spielberg
/m/04sh80,George Miller
/m/07bw7,Tobe Hooper
/m/0dnkmq,Louis Leterrier
/m/028zh1,Sergio Leone
/m/03crr54,Alex Kendrick
/m/03pc89,Robert Altman
/m/03pc89,Fred Williamson
/m/079bvq,Anurag Kashyap
/m/0j_6xdj,Prem Sai
/m/04kkz8,Tom Shadyac
/m/0bwfpdc,Tommy Wirkola
/m/0j674kn,Anwar Rasheed
/m/02b6n9,Paul Thomas Anderson
/m/0ct2tf5,Rob Cohen
/m/01br2w,Mel Gibson
/m/0hx41_6,Shane Carruth
/m/051k2t,Hal Needham
/m/02hhfl,Mathieu Kassovitz
/m/01h7bb,Edward Zwick
/m/0315w4,Tarsem Singh
/m/0j9pwqh,Remo D'Souza
/m/01s3vk,Tim Burton
/m/02zkjw,Robert Rodriguez
/m/05ldxl,Stanley Kubrick
/m/0h03fhx,Ben Affleck
/m/014l6_,Garry Marshall
/m/072zl1,Joe Wright
/m/09k56b7,Darren Aronofsky
/m/02ljhg,George P. Cosmatos
/m/02ljhg,Kevin Jarre
/m/0ds35l9,Paul Feig
/m/06w4fqd,Arjun Sarja
/m/0dx6m2,Gaspar Noé
/m/0h94f26,Sachin Kundalkar
/m/076tw54,Tarsem Singh
/m/01rqgp,Gaspar Noé
/m/056k4f1,Kishore Kumar
/m/09g6v5y,A. R. Murugadoss
/m/0c0zq,Sam Mendes
/m/0yyts,Bruce Beresford
/m/0rfdcdn,James DeMonaco
/m/01pj_5,Keenen Ivory Wayans
/m/02py6r8,A. R. Murugadoss
/m/03whyr,Andrew Stanton
/m/0k3hrt1,Scott Stewart
/m/0ckt6,Jim Abrahams
/m/0ckt6,David Zucker
/m/0ckt6,Jerry Zucker
/m/0h974bl,Robert Lorenz
/m/03gkr0,Cy Endfield
/m/0gz6b6g,David Ayer
/m/07dz2s,Darren Aronofsky
/m/07j94,M. Night Shyamalan
/m/08487v,Gina Prince-Bythewood
/m/0czyxs,Zack Snyder
/m/0jt3mlt,Noam Murro
/m/01jft4,Tom Shadyac
/m/01qxc7,Tim Burton
/m/024gy8,Alex Proyas
/m/02gpkt,Brett Ratner
/m/05b08zq,Lasse Hallström
/m/0bj2cm,Sanjay Leela Bhansali
/m/0bj2cm,Shakti Samanta
/m/0fvr1,Richard Kelly
/m/01mgw,Ang Lee
/m/037s6_,Henry Selick
/m/0c296,Jean-Pierre Jeunet
/m/0h54skc,Luv Ranjan
/m/0js8wqm,Jeff Nichols
/m/07sbq6c,Dan Bradley
/m/0q58rl4,Anurag Kashyap
/m/0q58rl4,Dibakar Banerjee
/m/0q58rl4,Zoya Akhtar
/m/0q58rl4,Karan Johar
/m/015gxt,Henry Hathaway
/m/031t49,Michael Bay
/m/0b7l4x,Joe Carnahan
/m/0c9jj9,Eli Roth
/m/033hmj,Martin Scorsese
/m/0bpm4yw,Christopher Nolan
/m/01tdmp,Steven Lisberger
/m/023m3f,Gil Junger
/m/0ff2dr,Mark Neveldine
/m/0ff2dr,Brian Taylor
/m/0ff2dr,Neveldine/Taylor
/m/0gz5vnx,Quentin Tarantino
/m/07cdz,Mike Nichols
/m/08s6mr,Wes Anderson
/m/0bt3j9,Adam Shankman
/m/01j647,Mehboob Khan
/m/0h1fgb_,Ashwani Dheer
/m/05hjnw,Ang Lee
/m/0h3vb0d,Sanjay Gupta
/m/034qzw,Adam McKay
/m/0hgp8d5,Vamsi Paidipally
/m/0p7csj0,Rohan Sippy
/m/0g9yrw,Willard Huyck
/m/05b6r_p,Hari
/m/0k936vh,Radha Mohan
/m/0dgnnp1,James Watkins
/m/0fq7dv_,James Wan
/m/01ly1t,George Miller
/m/040_lv,David O. Russell
/m/0b6tzs,Ethan Coen
/m/0b6tzs,Joel Coen
/m/0gyv0b4,Quentin Tarantino
/m/02rcjxx,Subhash Ghai
/m/0j3tsz_,Jason Russell
/m/03n785,Paul W. S. Anderson
/m/0286_hv,Kenny Ortega
/m/0c05g3,Julie Taymor
/m/0dgm_7k,Karan Malhotra
/m/05qbckf,Jon Favreau
/m/027fwmt,Sidney Lumet
/m/02vnmg1,Matt Reeves
/m/04vr_f,Martin Scorsese
/m/06fpsx,Judd Apatow
/m/01hr1,Joel Schumacher
/m/0j6427n,Aanand Rai
/m/0gg74r6,Nima Nourizadeh
/m/0gmf0h9,Prabhu Deva
/m/0j9knfv,Alan Taylor
/m/02dr9j,Peter Jackson
/m/0v_zfc6,Jonathan Liebesman
/m/02_kd,Mike Newell
/m/02ww1t,Larry Clark
/m/07k2mq,Darren Aronofsky
/m/0ch26b_,Martin Scorsese
/m/0h7rfqd,Kapil Sharma
/m/0h63gz6,Kovelamudi Raghavendra Rao
/m/0gg5kmg,Andrew Dominik
/m/0hr256b,Harmony Korine
/m/02stbw,Christopher Guest
/m/09rsf6j,Harald Zwart
/m/0gmcwlb,Michel Hazanavicius
/m/0kbwb,Penelope Spheeris
/m/0306c6,Lasse Hallström
/m/01718w,Antoine Fuqua
/m/02ptczs,Roman Polański
/m/0j6b5,Hayao Miyazaki
/m/0jqj5,Michael Cimino
/m/0pc3xt5,Henry Alex Rubin
/m/04lf55t,Vasanth
/m/02vq_sn,Guillaume Canet
/m/0639bg,Andrew Adamson
/m/0bnsnq,I. V. Sasi
/m/0yzp8,Phil Alden Robinson
/m/0661m4p,Barry Sonnenfeld
/m/0ngc7zz,Mat Whitecross
/m/026htbf,P A Arun Prasad
/m/012kyx,Danny Boyle
/m/0gkr8n0,Duncan Gibbins
/m/015ynm,Chris Sanders
/m/015ynm,Dean DeBlois
/m/0c0nhgv,Bennett Miller
/m/0n08r,Michael Cimino
/m/07x7l6,Julian Jarrold
/m/087wc7n,Chris Renaud
/m/087wc7n,Kyle Balda
/m/03vnxd,Louis Leterrier
/m/03vnxd,Corey Yuen
/m/0h95zbp,Josh Trank
/m/0hyl2j6,Rohit Shetty
/m/0gcpc,Frank Capra
/m/047gpsd,Nick Cassavetes
/m/01cz7r,Roger Michell
/m/02xtxw,Mark Waters
/m/04n52p6,Guy Ritchie
/m/09146g,John Wayne Stevenson
/m/09146g,Mark Osborne
/m/0hv4t,Roman Polański
/m/07g38,George A. Romero
/m/07k2xv,Sanjay Gadhvi
/m/0h1x5f,Valerie Faris
/m/0h1x5f,Jonathan Dayton
/m/04jpg2p,Tim Burton
/m/080pd0c,Bhaskar
/m/043j2x,Rajiv Menon
/m/03hkch7,Gus Van Sant
/m/0hzp_vq,Yash Chopra
/m/0k3p7ph,G. Ashok
/m/07vfy4,Deepa Mehta
/m/0n_hp,Ted Demme
/m/013vbq,Sylvester Stallone
/m/0407yfx,Mark Andrews
/m/0407yfx,Brenda Chapman
/m/0407yfx,Steve Purcell
/m/0gwndqr,Dan Scanlon
/m/02d3wv,George Miller
/m/0bq8tmw,Phil Lord
/m/0bq8tmw,Chris Miller
/m/01_p7z,P. J. Hogan
/m/02q4fg_,Narender Bedi
/m/01l2qq,Phillip Noyce
