name,mid,weight
Iron Man 3,/m/0bc1yhb,22578.0
Man of Steel,/m/0gjc4d3,13931.0
The Great Gatsby,/m/0gtt5fb,13173.0
The Great Gatsby,/m/0kvg4w,10576.0
Iron Man,/m/0dzlbx,8746.0
Zulu,/m/03gkr0,7849.0
Zulu,/m/0swmdnc,6726.0
The Fast and the Furious 6,/m/0gtxbqr,5407.0
Avatar,/m/0bth54,4911.0
Iron Man 2,/m/05qbckf,4743.0
Fifty Shades of Grey,/m/0jx8jz8,4285.0
Rajakumaran,/m/0bwht53,3965.0
Raanjhanaa,/m/0j6427n,3692.0
Life of Pi,/m/0fpv_3_,3488.0
After Earth,/m/0hhgh70,3369.0
Titanic,/m/0dr_4,3328.0
300,/m/07f_t4,3203.0
300: Rise of an Empire,/m/0jt3mlt,2956.0
The Lone Ranger,/m/0dsf7lf,2830.0
The Matrix,/m/07cz2,2830.0
Yeh Jawaani Hai Deewani,/m/0hzq714,2819.0
The Dark Knight Rises,/m/0bpm4yw,2817.0
Aashiqui 2,/m/0p3qysw,2776.0
The Hunger Games: Catching Fire,/m/0n40qmp,2680.0
World War Z,/m/0gyvj60,2637.0
Forrest Gump,/m/0bdjd,2560.0
Oblivion,/m/0gwn3n6,2487.0
The Fast and the Furious,/m/0ct2tf5,2415.0
Drive,/m/0g4vmj8,2225.0
Snow White and the Huntsman,/m/0g5qs2k,2183.0
42,/m/0k2jpkj,2183.0
Superman,/m/01_mdl,2128.0
District 9,/m/0581vn8,2122.0
Thor: The Dark World,/m/0j9knfv,2077.0
The Avengers,/m/062zm5h,2071.0
Evil Dead,/m/0hzp07t,2054.0
Star Trek Into Darkness,/m/0hhqv27,2030.0
Star Trek,/m/08phg9,2005.0
The Hunger Games,/m/0gkz15s,1933.0
Inception,/m/0661ql3,1878.0
Spider-Man,/m/012s1d,1873.0
Transformers,/m/05zlld0,1743.0
The Dark Knight,/m/0btpm6,1725.0
Spring Breakers,/m/0hr256b,1719.0
Fight Club,/m/03yvf2,1679.0
Moulin Rouge!,/m/011yxg,1598.0
The Godfather,/m/07g1sm,1570.0
The Amazing Spider-Man,/m/0fqt1ns,1517.0
Fast & Furious 7,/m/0vsjsxr,1427.0
Saw,/m/0fq7dv_,1391.0
The Hangover Part III,/m/0n3xxpd,1374.0
The Hangover,/m/05p1tzf,1364.0
Megaforce,/m/051k2t,1326.0
Les Misérables,/m/0h51_mt,1317.0
