name,mid,weight
Aashiqui 2,/m/0p3qysw,4012507.0
Yeh Jawaani Hai Deewani,/m/0hzq714,2096960.0
The Great Gatsby,/m/0gtt5fb,1562532.0
Raanjhanaa,/m/0j6427n,788306.0
Maryan,/m/0jt7tm9,449375.0
Shootout at Wadala,/m/0h3vb0d,429865.0
Nautanki Saala!,/m/0p7csj0,421977.0
Ramaiya Vastavaiya,/m/0knmgx1,385225.0
Chennai Express,/m/0hyl2j6,374299.0
Lootera,/m/0j26prf,359871.0
Go Goa Gone,/m/0h_blc1,341763.0
Student of the Year,/m/0g9ymv2,328298.0
Singam II,/m/0hgnm4w,286435.0
Race 2,/m/0b74tqb,266519.0
Man of Steel,/m/0gjc4d3,255458.0
Django Unchained,/m/0gwjw0c,250539.0
The Fast and the Furious 6,/m/0gtxbqr,243864.0
Jab Tak Hai Jaan,/m/0hzp_vq,242508.0
Aashiqui,/m/0gfgk5,231665.0
Chashme Buddoor,/m/0j9mjjx,213674.0
Once Upon a Time Again,/m/0gvtpx4,212828.0
Warm Bodies,/m/0gxv5h3,201477.0
ABCD: Any Body Can Dance,/m/0j9pwqh,200315.0
Ghanchakkar,/m/0k3l7x2,195448.0
Ek Thi Daayan,/m/0kvkdy4,189984.0
Bhaag Milkha Bhaag,/m/0hr67nd,184251.0
The Twilight Saga: Breaking Dawn - Part 1,/m/075wx89,180133.0
Project X,/m/0gg74r6,179583.0
The Hangover Part III,/m/0n3xxpd,171379.0
Les Misérables,/m/0h51_mt,167774.0
Kai Po Che!,/m/0jl10gm,165613.0
Drive,/m/0g4vmj8,163758.0
Shortcut Romeo,/m/0h802c_,153230.0
Twilight,/m/03nm_fh,150496.0
Iron Man 3,/m/0bc1yhb,149454.0
Kumki,/m/0gythc0,148651.0
Khiladi 786,/m/0hgrvh8,143584.0
Rock of Ages,/m/0gj8t_b,138724.0
Silver Linings Playbook,/m/0h95927,135993.0
Baadshah,/m/0j45p2d,134865.0
Dabangg 2,/m/0j66nsm,128708.0
1920: Evil Returns,/m/0hhv95w,126128.0
High School Musical 2,/m/0bc5ny,123796.0
Cocktail,/m/0h9639y,123694.0
The Lion King,/m/0m63c,123224.0
Rockstar,/m/0cmdx00,121516.0
Fast Five,/m/0bq6ntw,119905.0
Agneepath,/m/0dgm_7k,116512.0
Jannat 2,/m/0h5444f,115922.0
Barfi,/m/0cc9wf7,111002.0
Jism 2,/m/0h_9k9y,107201.0
Mirchi,/m/0hnc7r4,106727.0
Rocky,/m/0cf08,104990.0
Himmatwala,/m/0k0x9_d,104744.0
Step Up Revolution,/m/0gtxj2q,102552.0
High School Musical,/m/09dv8h,94275.0
Baadshah,/m/05jc51,91262.0
Murder 3,/m/0kfsg6r,90246.0
Vicky Donor,/m/0j3cr38,89704.0
Raaz 3D,/m/0h542jj,89035.0
Grease,/m/01xlqd,88832.0
Despicable Me 2,/m/0gwn31_,87974.0
Ek Tha Tiger,/m/0gmdlgd,87826.0
Dirty Dancing,/m/032clf,84581.0
The Hangover: Part II,/m/0dln8jk,84395.0
Talaash,/m/0gx3rq1,84262.0
Kedi Billa Killadi Ranga,/m/0k0fm23,84090.0
Barbie: The Princess and the Popstar,/m/0jwy_sz,83621.0
Dilwale Dulhania Le Jayenge,/m/01p3ty,83496.0
Kadal,/m/0hzrg3w,82927.0
The Twilight Saga: Breaking Dawn - Part 2,/m/0djz0rc,82886.0
Thuppakki,/m/0hnctpk,79054.0
Shrek,/m/0dr3sl,78775.0
Special 26,/m/0j42szc,78578.0
Superman,/m/01_mdl,78253.0
Chashme Buddoor,/m/0d9y0j,75987.0
Udhayam NH4,/m/0ndhwrj,75189.0
"I, Me aur Main",/m/0h7rfqd,74502.0
Forrest Gump,/m/0bdjd,74389.0
Rowdy Rathore,/m/0gmf0h9,73536.0
Ra.One,/m/0b6ffg9,72385.0
The Little Mermaid,/m/01ry_x,71686.0
Star Trek Into Darkness,/m/0hhqv27,71404.0
Safe Haven,/m/0gwgmd3,71049.0
Pulp Fiction,/m/0f4_l,70841.0
Om Shanti Om,/m/0f42nz,70733.0
LOL: Laughing Out Loud,/m/0cmddrx,69615.0
Yevadu,/m/0hgp8d5,68653.0
Mere Dad Ki Maruti,/m/0ngtlsd,68428.0
Jaws,/m/0jyb4,67536.0
Veer-Zaara,/m/04jwjq,66589.0
Jawani Diwani,/m/02q4fg_,66449.0
Son of Sardaar,/m/0h1fgb_,64776.0
The Hangover,/m/05p1tzf,64510.0
Jodhaa Akbar,/m/09fn1w,63790.0
Jurassic Park,/m/0hx4y,63228.0
Oblivion,/m/0gwn3n6,62902.0
American Pie 2,/m/01k0vq,61884.0
Settai,/m/0jt24s6,61342.0
Bodyguard,/m/0dgr_5t,60620.0
The Sound of Music,/m/0cq7tx,59966.0
Top Gun,/m/018js4,58687.0
Hum Aapke Hain Kaun...!,/m/06gw0g,58634.0
Vishwaroopam,/m/0gjcq3r,58502.0
LOL (Laughing Out Loud),/m/0bmd_m9,58488.0
Juno,/m/02rv_dz,58362.0
The Place Beyond the Pines,/m/0gx999d,58089.0
The Fast and the Furious: Tokyo Drift,/m/08c6k9,57115.0
Spring Breakers,/m/0hr256b,56258.0
Batman,/m/01hp5,56227.0
Iron Man 2,/m/05qbckf,55812.0
Agent Vinod,/m/0bh7_m5,55321.0
Wreck-It Ralph,/m/0cc97st,54934.0
Mission: Impossible,/m/035w2k,54103.0
This Is the End,/m/0hz4j2j,53939.0
Fanaa,/m/08pv67,53869.0
Titanic,/m/0dr_4,52875.0
Think Like A Man,/m/0gwf191,52683.0
Step Up 3D,/m/064016d,52548.0
Kabhi Khushi Kabhie Gham,/m/02s56l,52170.0
(500) Days of Summer,/m/047msdk,51893.0
Romeo + Juliet,/m/01cssf,51459.0
Spider-Man,/m/012s1d,51265.0
Ajab Prem Ki Ghazab Kahani,/m/04cy221,51063.0
End of Watch,/m/0gz6b6g,50652.0
Once Upon a Time in Mumbaai,/m/05mwsz7,50310.0
American Pie,/m/07pd_j,50202.0
Jab We Met,/m/02psq3w,49994.0
Ambikapathy,/m/0g9yvgd,49872.0
Saajan,/m/0g97q1,49696.0
Born to Hate... Destined to Love,/m/0h956rn,49663.0
Tere Naam,/m/06fl3p,49550.0
Moondru Per Moondru Kadal,/m/0j27v4j,49539.0
Murder 2,/m/0gvv8q4,49383.0
Vivah,/m/0d7x5d,48502.0
Star Trek,/m/08phg9,48282.0
The Hobbit: An Unexpected Journey,/m/0ndwt2w,48001.0
Gangs of Wasseypur - Part 2,/m/0p79sj4,47907.0
"O Brother, Where Art Thou?",/m/05kr4,47872.0
The Hunger Games,/m/0gkz15s,47694.0
OMG – Oh My God!,/m/0j_64v4,47635.0
Aladdin,/m/0jnwx,46740.0
Tangled,/m/02xbyr,46527.0
Mamma Mia!,/m/0272_vz,46445.0
Madagascar 3: Europe's Most Wanted,/m/05c26ss,46177.0
Mohabbatein,/m/03dtt3,45939.0
Romeo and Juliet,/m/0p9rz,45647.0
The Lord of the Rings: The Fellowship of the Ring,/m/017gl1,45493.0
Namastey London,/m/0278r7d,45435.0
Kuch Kuch Hota Hai,/m/030z4z,45326.0
Dil To Pagal Hai,/m/05kzww,45307.0
Yamla Pagla Deewana,/m/0bmh28z,45305.0
Rab Ne Bana Di Jodi,/m/0465vkp,45274.0
This Is 40,/m/0gwjvwf,44739.0
Mary Poppins,/m/0kcn7,44707.0
Desi Boyz,/m/0fp_tm6,44628.0
Prince - It's Showtime,/m/09g6tt5,44436.0
Pain & Gain,/m/0gy15f9,44195.0
Shadow,/m/0j25dbw,44130.0
Kal Ho Naa Ho,/m/02tcgh,44090.0
Jannat,/m/03mbzjs,44080.0
Straight from the Heart,/m/05v5_z,43896.0
Hum Saath-Saath Hain: We Stand United,/m/07kfqk,43756.0
Garden State,/m/02pw_n,43737.0
Mann,/m/0dh3j2,43209.0
Rangrezz,/m/0r4q3x2,42760.0
Krrish 3,/m/0h71l8m,42587.0
Tron: Legacy,/m/05zy2cy,42480.0
Paradesi,/m/0hzp_6x,41869.0
Despicable Me,/m/06zkfsy,41867.0
Rocky III,/m/013vbq,41708.0
Spider-Man 3,/m/0340hj,41340.0
Raja Hindustani,/m/05hqb8,41303.0
Iron Man,/m/0dzlbx,41254.0
Maine Pyar Kiya,/m/053b5x,41045.0
Bulbul,/m/0j630fh,40944.0
Anjaana Anjaani,/m/080ht11,40889.0
Tarzan,/m/05sxr_,40785.0
Hotel Transylvania,/m/0gj96ln,40761.0
Shrek 2,/m/02lk60,40268.0
Awarapan,/m/02qxqmh,40198.0
Like Stars on Earth,/m/027lqr4,39821.0
Kill Bill Volume 1,/m/01rxyb,39787.0
"Crazy, Stupid, Love.",/m/0ddf2bm,39670.0
You Don’t Get Life a Second Time,/m/06zjk74,39626.0
The Breakfast Club,/m/07cfg,39586.0
Moulin Rouge!,/m/011yxg,39561.0
Krrish,/m/06fgpf,39322.0
The Karate Kid,/m/09rsf6j,39108.0
Dhadkan,/m/091s7d,39062.0
The Godfather,/m/07g1sm,39023.0
The Bling Ring,/m/0kbj11v,38982.0
I Hate Luv Storys,/m/076whzw,38977.0
The Dark Knight Rises,/m/0bpm4yw,38917.0
Rio,/m/08521z1,38817.0
Space Jam,/m/01n8hp,38480.0
A Walk to Remember,/m/03hmr4,38311.0
Tum Bin,/m/0gv3jd,38245.0
Footloose,/m/080nwsb,38139.0
Never Back Down,/m/03gw6c1,38113.0
Save the Last Dance,/m/05c5nr,38093.0
Seethamma Vakitlo Sirimalle Chettu,/m/0h7ppb3,37755.0
Taal,/m/05xd9z,37697.0
The Host,/m/0gy7bt5,37652.0
Dhoom 3: Back in Action,/m/0kv9kh,37647.0
Dark Shadows,/m/09g7vfw,37598.0
Neethaane En Ponvasantham,/m/0h533hm,37469.0
50 First Dates,/m/02f6g5,37340.0
Bewafaa,/m/070dlh,36871.0
The Internship,/m/0km6w6l,36832.0
Ghostbusters,/m/01d2v1,36625.0
The Karate Kid,/m/0mmbb,36331.0
English Vinglish,/m/0hzrb12,36316.0
World War Z,/m/0gyvj60,36153.0
"PS, I Love You",/m/02qk3fk,36102.0
Toofan,/m/06jfpb,36077.0
The Dirty Picture,/m/0gj8q1d,35955.0
Mere Brother Ki Dulhan,/m/0dlm9dq,35897.0
Murder,/m/06r2fz,35877.0
Housefull 2,/m/0gwymds,35850.0
Transformers: Revenge of the Fallen,/m/047csmy,35822.0
10 Things I Hate About You,/m/023m3f,35699.0
American Reunion,/m/0gtsx8c,35689.0
Hairspray,/m/0bt3j9,35546.0
3 Idiots,/m/047q2k1,35379.0
Remember the Titans,/m/023gxx,35074.0
Devdas,/m/0bj2cm,35027.0
Rehnaa Hai Terre Dil Mein,/m/0gq1hf,34971.0
Gladiator,/m/09q5w2,34840.0
Jaan Tere Naam,/m/0h71fn4,34654.0
Kaho Naa... Pyaar Hai,/m/04_jkr,34645.0
Step Up 2: The Streets,/m/02r4475,34640.0
Magic Mike,/m/0h63gl9,34513.0
Brave,/m/0407yfx,34481.0
Transformers,/m/05zlld0,34442.0
"The Good, the Bad and the Ugly",/m/07rty,34228.0
Chennaiyil Oru Naal,/m/0k0vdpy,34129.0
Dhoom 2,/m/07k2xv,34039.0
Ghajini,/m/09g6v5y,33860.0
The Avengers,/m/062zm5h,33825.0
21 and Over,/m/0h570bv,33688.0
Camp Rock 2: The Final Jam,/m/080b54x,33607.0
The Lord of the Rings: The Return of the King,/m/017jd9,33555.0
The Perks of Being a Wallflower,/m/0g57wgv,33415.0
Dazed and Confused,/m/02j69w,33345.0
Man on Fire,/m/02lk42,33340.0
Love Aaj Kal,/m/04n5mp2,33104.0
Mission: Impossible – Ghost Protocol,/m/0dgqlnx,33067.0
Bombay Talkies,/m/0q58rl4,33008.0
Let It Shine,/m/0hq_r_0,32854.0
Burlesque,/m/080pfnc,32607.0
Race,/m/0ds095,32578.0
The Lone Ranger,/m/0dsf7lf,32504.0
Duet,/m/026vgl4,32495.0
Happy Feet Two,/m/09rvvpm,32478.0
The Jungle Book,/m/032bm6,32391.0
Love Actually,/m/020bv3,32346.0
Secret,/m/0gkyly,32068.0
Veer,/m/05mvcz5,32028.0
The Amazing Spider-Man,/m/0fqt1ns,31972.0
Footloose,/m/03k_rz,31712.0
Coyote Ugly,/m/076hrh,31170.0
Mulan,/m/0fgrm,31134.0
Heroine,/m/0gtvh1c,30993.0
The Lion King II: Simba's Pride,/m/01sq_q,30976.0
Maattrraan,/m/0g9sn45,30871.0
Singham,/m/0gjbm5h,30794.0
The Wedding Singer,/m/02bhsc,30771.0
High School Musical 3: Senior Year,/m/0286_hv,30402.0
Pardes,/m/07_576,30176.0
Himmatwala,/m/0h63gz6,30072.0
Jatt & Juliet,/m/0jwr6g7,29972.0
3,/m/0h3p6q9,29938.0
Ferris Bueller's Day Off,/m/0m491,29900.0
Aaja Nachle,/m/027sb8v,29872.0
Arya 2,/m/04yf2f6,29794.0
Lagaan: Once Upon a Time in India,/m/021pqy,29676.0
Sanam Bewafa,/m/0gcr2r,29571.0
Saathiya,/m/05jc1q,29380.0
Charlie's Angels: Full Throttle,/m/01l_pn,29338.0
Just Go With It,/m/0bshwmp,29285.0
West Side Story,/m/0ccd3x,29066.0
Thanga Meenkal,/m/0g5s6t7,29032.0
Matilda,/m/03209l,28847.0
Sukumarudu,/m/0k3p7ph,28812.0
Chicago,/m/01cmp9,28699.0
Snow White and the Huntsman,/m/0g5qs2k,28648.0
Identity Thief,/m/0lqhxhk,28606.0
Gangs of Wasseypur - Part 1,/m/0gkxmk2,28575.0
Rang De Basanti,/m/09yxcz,28446.0
Gangster,/m/0b3xg9,28287.0
Into the Wild,/m/02rx2m5,28144.0
Hum Tum,/m/05mv58,28099.0
The Notebook,/m/047tsx3,28054.0
Lilo & Stitch,/m/015ynm,28040.0
Band Baaja Baaraat,/m/0dgp3km,28006.0
Slumdog Millionaire,/m/03hmt9b,27826.0
The Fast and the Furious,/m/0ct2tf5,27807.0
Border,/m/0cy7b4,27632.0
Inception,/m/0661ql3,27614.0
Trainspotting,/m/0qf2t,27590.0
Thank You,/m/0bmgx8f,27552.0
Charlie's Angels,/m/01y9jr,27541.0
Across the Universe,/m/0c05g3,27527.0
Celluloid,/m/0n8t2mf,27446.0
Transformers: Dark of the Moon,/m/0872p_c,27432.0
The Last of the Mohicans,/m/050r1z,27358.0
The Lost Boys,/m/031ssn,27297.0
Naayak,/m/0jwyhby,27211.0
Delhi Belly,/m/04f4lkp,27098.0
Barsaat,/m/06yl7h,27007.0
The Heat,/m/0k95mpr,27004.0
Shanghai,/m/0gg8ndw,26854.0
The Art of Flight,/m/0hr833v,26787.0
Dil,/m/0ffwcz,26643.0
Roja,/m/0c6y8m,26619.0
Pretty Woman,/m/014l6_,26458.0
Rush,/m/05p777m,26406.0
Naan Rajavaga Pogiren,/m/0hrh3tt,26315.0
Wake up Sid,/m/04f0_ys,26222.0
The Girl Next Door,/m/02t8gx,26034.0
New York,/m/04jlxvb,26023.0
Friends with Benefits,/m/0c3xw46,25899.0
Sajan,/m/0h73fz3,25848.0
Cinderella,/m/023p33,25835.0
