mid,answer,probability,source
/m/09rsf6j,Piano,0.5,KGMATCHER: CANONICALIZED
/m/011yrp,Listen,0.5,KGMATCHER: CANONICALIZED
/m/011yrp,Listen,0.0,BRAIN
/m/03dhdk,Shakedown,1.0,KGMATCHER: CANONICALIZED
/m/03dhdk,Shakedown,0.0,BRAIN
/m/03dhdk,Shakedown,0.8229854054314123,PRA
/m/09gkfq8,Piano,0.5,KGMATCHER: CANONICALIZED
/m/09rsf6j,Glory of Love,0.5,KGMATCHER: CANONICALIZED
/m/05mv58,Come What May,0.5,KGMATCHER: CANONICALIZED
/m/05mv58,Come What May,0.05000000074505806,BRAIN
/m/07sc6nw,Journey to the Past,0.5,KGMATCHER: CANONICALIZED
/m/0k4d7,Happy Working Song,0.5,KGMATCHER: CANONICALIZED
/m/0k4d7,Happy Working Song,0.0,BRAIN
/m/064mm1g,Piano,0.5,KGMATCHER: CANONICALIZED
/m/02ryz24,Sympathy for the Devil,0.5,KGMATCHER: CANONICALIZED
/m/02ryz24,Sympathy for the Devil,0.0,BRAIN
/m/05b08zq,Piano,0.5,KGMATCHER: CANONICALIZED
/m/0872p_c,You Light Up My Life,0.5,KGMATCHER: CANONICALIZED
/m/01l_pn,Flashdance... What a Feeling,0.5,KGMATCHER: CANONICALIZED
/m/01l_pn,Flashdance... What a Feeling,0.0,BRAIN
/m/0gh65c5,Piano,0.5,KGMATCHER: CANONICALIZED
/m/0ds095,Hona Tha Pyaar,0.5,KGMATCHER: CANONICALIZED
/m/01rxyb,All That Jazz,0.5,KGMATCHER: CANONICALIZED
/m/0jqp3,Streets of Philadelphia,0.5,KGMATCHER: CANONICALIZED
/m/0jqp3,Streets of Philadelphia,0.0,BRAIN
/m/0d1ldp,Piano,0.5,KGMATCHER: CANONICALIZED
/m/023p33,Piano,0.5,KGMATCHER: CANONICALIZED
/m/09g7v7z,Piano,0.5,KGMATCHER: CANONICALIZED
/m/05_v08,Tere Mast Mast Do Nain,0.5,KGMATCHER: CANONICALIZED
/m/027x7z5,Piano,0.5,KGMATCHER: CANONICALIZED
/m/0cqk7c,Tere Mast Mast Do Nain,0.5,KGMATCHER: CANONICALIZED
/m/0cqk7c,Tere Mast Mast Do Nain,0.05000000074505806,BRAIN
/m/03yvf2,Eye of the Tiger,0.5,KGMATCHER: CANONICALIZED
/m/03yvf2,Eye of the Tiger,0.0,BRAIN
/m/0641k3f,Piano,0.5,KGMATCHER: CANONICALIZED
/m/02q52q,Piano,0.5,KGMATCHER: CANONICALIZED
/m/0gmdlgd,Tere Mast Mast Do Nain,0.5,KGMATCHER: CANONICALIZED
/m/01ry_x,Hakuna Matata,0.0,KGMATCHER: CANONICALIZED
/m/01ry_x,Hakuna Matata,0.05000000074505806,BRAIN
/m/02b6n9,Car Wash,0.5,KGMATCHER: CANONICALIZED
/m/02b6n9,Car Wash,0.0,BRAIN
/m/0b3n61,"Theme from New York, New York",0.5,KGMATCHER: CANONICALIZED
/m/0gfgk5,Piano,0.5,KGMATCHER: CANONICALIZED
/m/02yvct,You Know My Name,0.5,KGMATCHER: CANONICALIZED
