mid,coverage,filled_entities,unsupported_entities,empty_entities,empty_weight,total_weight,filled_weight
/m/09x374,0.0,0,0,1,245782.0,245782.0,0.0
/m/07030,0.0,0,0,1,185725.0,185725.0,0.0
/m/07fbm7,0.0,0,0,1,176520.0,176520.0,0.0
/m/0f2nzn,0.0,0,0,1,134888.0,134888.0,0.0
/m/074y7,0.0,0,0,1,99539.0,99539.0,0.0
/m/0qf0c,0.0,0,0,1,95093.0,95093.0,0.0
/m/03qmh,0.0,0,0,1,94440.0,94440.0,0.0
/m/03ywjz,0.0,0,0,1,81664.0,81664.0,0.0
/m/0grw1,0.0,0,0,1,79934.0,79934.0,0.0
/m/0j_70kd,0.0,0,0,1,79004.0,79004.0,0.0
/m/036qh8,0.0,0,0,1,71715.0,71715.0,0.0
/m/073lwm,0.0,0,0,1,69949.0,69949.0,0.0
/m/04r6fv,0.0,0,0,1,59237.0,59237.0,0.0
/m/09wzfj,0.0,0,0,1,59042.0,59042.0,0.0
/m/02y17j,0.0,0,0,1,56812.0,56812.0,0.0
/m/0chv4,0.0,0,0,1,56691.0,56691.0,0.0
/m/011xyw,0.0,0,0,1,56004.0,56004.0,0.0
/m/0k0mp,0.0,0,0,1,53979.0,53979.0,0.0
/m/0jwn_,0.0,0,0,1,49845.0,49845.0,0.0
/m/01yvs,0.0,0,0,1,48422.0,48422.0,0.0
/m/027ggs,0.0,0,0,1,46965.0,46965.0,0.0
/m/03k_qs,0.0,0,0,1,46350.0,46350.0,0.0
/m/03cl2zk,0.0,0,0,1,45174.0,45174.0,0.0
/m/0238jq,0.0,0,0,1,44980.0,44980.0,0.0
/m/0dry9p,0.0,0,0,1,44752.0,44752.0,0.0
/m/01jxcj,0.0,0,0,1,41994.0,41994.0,0.0
/m/01_9v,0.0,0,0,1,40680.0,40680.0,0.0
/m/024rrx,0.0,0,0,1,35981.0,35981.0,0.0
/m/0f2b9,0.0,0,0,1,33433.0,33433.0,0.0
/m/029gy3,0.0,0,0,1,33242.0,33242.0,0.0
/m/03gqg_,0.0,0,0,1,33138.0,33138.0,0.0
/m/0296dr,0.0,0,0,1,32902.0,32902.0,0.0
/m/08186b,0.0,0,0,1,32475.0,32475.0,0.0
/m/01mzvs,0.0,0,0,1,31619.0,31619.0,0.0
/m/04dnrj,0.0,0,0,1,31315.0,31315.0,0.0
/m/085fdt,0.0,0,0,1,31174.0,31174.0,0.0
/m/09702,0.0,0,0,1,30696.0,30696.0,0.0
/m/012xc3,0.0,0,0,1,30642.0,30642.0,0.0
/m/0416b0,0.0,0,0,1,30619.0,30619.0,0.0
/m/025tm_k,0.0,0,0,1,30432.0,30432.0,0.0
/m/0pg96,0.0,0,0,1,28826.0,28826.0,0.0
/m/03yq53,0.0,0,0,1,28511.0,28511.0,0.0
/m/016rvq,0.0,0,0,1,27832.0,27832.0,0.0
/m/01j3ck,0.0,0,0,1,27274.0,27274.0,0.0
/m/0cjyd,0.0,0,0,1,26698.0,26698.0,0.0
/m/02g30s,0.0,0,0,1,26053.0,26053.0,0.0
/m/0dcfv,0.0,0,0,1,26003.0,26003.0,0.0
/m/01rrrx,0.0,0,0,1,25749.0,25749.0,0.0
/m/02kr76,0.0,0,0,1,25638.0,25638.0,0.0
/m/0824x7,0.0,0,0,1,25352.0,25352.0,0.0
/m/022n8y,0.0,0,0,1,25257.0,25257.0,0.0
/m/025s89,0.0,0,0,1,24507.0,24507.0,0.0
/m/027gdv,0.0,0,0,1,24252.0,24252.0,0.0
/m/09sy4,0.0,0,0,1,24226.0,24226.0,0.0
/m/020j3z,0.0,0,0,1,23778.0,23778.0,0.0
/m/063h8c,0.0,0,0,1,23103.0,23103.0,0.0
/m/0f3fd6,0.0,0,0,1,22167.0,22167.0,0.0
/m/0557gj,0.0,0,0,1,22142.0,22142.0,0.0
/m/03vw4r,0.0,0,0,1,21206.0,21206.0,0.0
/m/07s41z,0.0,0,0,1,21096.0,21096.0,0.0
/m/01kr39,0.0,0,0,1,21089.0,21089.0,0.0
/m/078xb_,0.0,0,0,1,20306.0,20306.0,0.0
/m/02q1tp,0.0,0,0,1,19864.0,19864.0,0.0
/m/01_12b,0.0,0,0,1,19777.0,19777.0,0.0
/m/01bzmc,0.0,0,0,1,19375.0,19375.0,0.0
/m/02plgjv,0.0,0,0,1,19360.0,19360.0,0.0
/m/0520n6f,0.0,0,0,1,19071.0,19071.0,0.0
/m/049qbg,0.0,0,0,1,18950.0,18950.0,0.0
/m/0696zs,0.0,0,0,1,18879.0,18879.0,0.0
/m/01y28g,0.0,0,0,1,18809.0,18809.0,0.0
/m/0c59y,0.0,0,0,1,18764.0,18764.0,0.0
/m/05xt5w,0.0,0,0,1,18688.0,18688.0,0.0
/m/056y0l,0.0,0,0,1,18323.0,18323.0,0.0
/m/02fnxc,0.0,0,0,1,17765.0,17765.0,0.0
/m/0brjx,0.0,0,0,1,17687.0,17687.0,0.0
/m/01cs49,0.0,0,0,1,17643.0,17643.0,0.0
/m/06hs2r,0.0,0,0,1,17099.0,17099.0,0.0
/m/0g9vs81,0.0,0,0,1,16960.0,16960.0,0.0
/m/02vxn2b,0.0,0,0,1,16629.0,16629.0,0.0
/m/02p4s13,0.0,0,0,1,16507.0,16507.0,0.0
/m/0gx1rv4,0.0,0,0,1,16062.0,16062.0,0.0
/m/064b8z,0.0,0,0,1,15978.0,15978.0,0.0
/m/071tf,0.0,0,0,1,15603.0,15603.0,0.0
/m/09v871d,0.0,0,0,1,15160.0,15160.0,0.0
/m/01nr56,0.0,0,0,1,14933.0,14933.0,0.0
/m/01zbb6,0.0,0,0,1,14764.0,14764.0,0.0
/m/013q6k,0.0,0,0,1,14699.0,14699.0,0.0
/m/058hry,0.0,0,0,1,14511.0,14511.0,0.0
/m/02hz3p,0.0,0,0,1,14298.0,14298.0,0.0
/m/023mq,0.0,0,0,1,13960.0,13960.0,0.0
/m/01kkd6,0.0,0,0,1,13680.0,13680.0,0.0
/m/02v_x9,0.0,0,0,1,13659.0,13659.0,0.0
/m/05v3rd,0.0,0,0,1,13593.0,13593.0,0.0
/m/02mn0l,0.0,0,0,1,13465.0,13465.0,0.0
/m/017bml,0.0,0,0,1,13263.0,13263.0,0.0
/m/040p4s,0.0,0,0,1,13196.0,13196.0,0.0
/m/02qhwc4,0.0,0,0,1,13148.0,13148.0,0.0
/m/034xzm,0.0,0,0,1,12993.0,12993.0,0.0
/m/0cy07_,0.0,0,0,1,12993.0,12993.0,0.0
/m/04csm_,0.0,0,0,1,12889.0,12889.0,0.0
