mid,answer
/m/04mw5n,Epidermoid cyst
/m/04mw5n,Milium
/m/04mw5n,Serosanguineous fluid
/m/0h1pq,Diarrhea
/m/0h1pq,Anemia
/m/0h1pq,Weight loss
/m/0h1pq,Fatigue
/m/0h1pq,Mouth ulcer
/m/0h1pq,Failure to thrive
/m/0h1pq,Stunted growth
/m/0hg1d,Depigmentation
/m/0hg1d,Premature hair whitening
/m/0hg1d,Change of color in retina
/m/0hg1d,Loss of color of oral mucous membranes
/m/02vrr,Tonic–clonic seizure
/m/02vrr,Loss Of Consciousness
/m/02vrr,Mental confusion
/m/02vrr,Blank Stare
/m/02tdc5,Fatigue
/m/02tdc5,Shortness of breath
/m/02tdc5,Constipation
/m/02tdc5,Hair loss
/m/02tdc5,Itchy skin
/m/02tdc5,Palpitation
/m/02tdc5,Heavy menstrual bleeding
/m/02tdc5,Syncope
/m/02tdc5,Pallor
/m/02tdc5,Pica
/m/02tdc5,Depression
/m/02tdc5,Restless legs syndrome
/m/02tdc5,Cardiac arrhythmia
/m/02tdc5,Tinnitus
/m/02tdc5,Anorexia
/m/02tdc5,Angular cheilitis
/m/02tdc5,Glossitis
/m/02tdc5,Irritability
/m/02tdc5,Koilonychia
/m/02tdc5,Sleep apnea
/m/02tdc5,Somnolence
/m/02tdc5,Malaise
/m/02tdc5,Fasciculation
/m/02tdc5,Clouding of consciousness
/m/03m3nd4,Sleep apnea
/m/03m3nd4,Snoring
/m/03m3nd4,Insomnia
/m/03m3nd4,Excessive daytime sleepiness
/m/03m3nd4,Fatigue
/m/03m3nd4,Hypersomnia
/m/03m3nd4,Nocturia
/m/03m3nd4,Dry mouth
/m/03m3nd4,Sore throat
/m/03mmxd,Blurred vision
/m/03mmxd,Scotoma
/m/03mmxd,Hallucination
/m/03mmxd,Nyctalopia
/m/03mmxd,Vision disorder
/m/03mmxd,Loss in contrast sensitivity
/m/03mmxd,Metamorphopsia
/m/09hbx,Pain
/m/09hbx,Hematuria
/m/09hbx,Fever
/m/09hbx,Vomiting
/m/09hbx,Nausea
/m/09hbx,Dysuria
/m/09hbx,Chills
/m/09hbx,Cloudy urine
/m/09hbx,Foul smelling urine
/m/09hbx,Persistent urge to urinate
/m/04psf,Infection
/m/04psf,Fever
/m/04psf,Bleeding
/m/04psf,Headache
/m/04psf,Fatigue
/m/04psf,Diarrhea
/m/04psf,Lymphadenopathy
/m/04psf,Nausea
/m/04psf,Night Sweats
/m/04psf,Weight loss
/m/04psf,Dizziness
/m/04psf,Joint pain
/m/04psf,Malaise
/m/04psf,Bone pain
/m/03chkz,Erythema
/m/03chkz,Flushing
/m/03chkz,Telangiectasia
/m/03chkz,Rhinophyma
/m/03chkz,Ocular rosacea
/m/03chkz,Facial Redness
/m/03chkz,Pustule
/m/0317gc,Fever
/m/0317gc,Arthritis
/m/0317gc,High blood pressure
/m/0317gc,Stroke
/m/0317gc,Headache
/m/0317gc,Glomerulonephritis
/m/0317gc,Heart attack
/m/0317gc,Abdominal pain
/m/0317gc,Joint pain
/m/0317gc,Muscle pain
/m/0317gc,Gangrene
/m/0317gc,Tinnitus
/m/0317gc,Nosebleed
/m/0317gc,Hematochezia
/m/0317gc,Vision disorder
/m/0317gc,Livedo reticularis
/m/022xh,Difficulty distinguishing between yellow and blue
/m/022xh,Difficulty distinguishing between red and green
/m/022xh,Difficulty distinguishing between blue and green
/m/01dcqj,Constipation
/m/01dcqj,Diarrhea
/m/01dcqj,Abdominal pain
/m/01dcqj,Weight loss
/m/01dcqj,Hematochezia
/m/01dcqj,Fatigue
/m/01dcqj,Shortness of breath
