name,mid,weight
Type 2 diabetes,/m/0146bp,2318342.0
Diabetes mellitus,/m/0c58k,2193734.0
Urinary tract infection,/m/07x16,1819830.0
HIV,/m/03p41,1533012.0
AIDS,/m/0d19y2,1521032.0
Menopause,/m/0d5t6,1322259.0
Hypothyroidism,/m/0hg11,1269694.0
Appendicitis,/m/0jbx2,1208414.0
Depression,/m/03f_cb,1205495.0
Myocardial infarction,/m/0gk4g,1097771.0
Candidiasis,/m/020gv,1093256.0
Ovarian cancer,/m/025hl8,1092891.0
Infectious mononucleosis,/m/0qjk8,1084662.0
Multiple sclerosis,/m/0dcqh,1062330.0
Anxiety disorder,/m/0ftsr,975921.0
Peptic ulcer,/m/0h3h4,973702.0
Cancer,/m/0qcr0,969388.0
Hypertension,/m/0k95h,937241.0
Colorectal cancer,/m/01dcqj,914054.0
Major depression,/m/02bft,891932.0
Type 1 diabetes,/m/0849qj,875195.0
Food poisoning,/m/02m76d,871128.0
Generalized anxiety disorder,/m/02zr3h,865763.0
Lyme disease,/m/01kcry,861637.0
Lupus erythematosus,/m/057xmrj,851690.0
Systemic lupus erythematosus,/m/04nz3,847447.0
Miscarriage,/m/0127lb,841396.0
Iron deficiency anemia,/m/02tdc5,807276.0
Anxiety,/m/0k_9,788390.0
Pneumonia,/m/0dq9p,781694.0
Stroke,/m/02y0js,777049.0
Brain tumor,/m/09969,776677.0
Concussion,/m/023ndx,772251.0
Breast cancer,/m/0j8hd,762404.0
Post-concussion syndrome,/m/09qljf,752207.0
Hyperthyroidism,/m/03hz0,717061.0
Kidney Stone,/m/09hbx,702668.0
Renal failure,/m/01psyx,693696.0
Dehydration,/m/014961,691943.0
Anemia,/m/0lcdk,678749.0
Celiac disease,/m/0h1pq,668641.0
Gastroesophageal reflux disease,/m/01b_5g,652673.0
Hypoglycemia,/m/03gwt,645096.0
Irritable bowel syndrome,/m/01dxg3,618801.0
Adult attention deficit hyperactivity disorder,/m/05mbnv,606007.0
Bacterial pneumonia,/m/03v4ny,603178.0
Meningitis,/m/09d11,600011.0
Genital herpes,/m/05m_zpz,583948.0
Atypical pneumonia,/m/021735,574753.0
Melanoma,/m/035b2g,573496.0
Cervical cancer,/m/0d_bk,571449.0
Lung cancer,/m/04p3w,566396.0
Head and neck cancer,/m/0369n2,556678.0
Avitaminosis,/m/0q42v,556579.0
Bronchitis,/m/047gmsk,551842.0
Sinusitis,/m/072hv,548402.0
Pyelonephritis,/m/04_rt_,541290.0
Gluten sensitivity,/m/02vmndb,539219.0
Hypovitaminosis D,/m/054gvqh,536606.0
Chlamydia infection,/m/020gd,535355.0
Acute bronchitis,/m/01s2xh,532704.0
Cancer of the larynx,/m/021plp,530770.0
Herpes simplex,/m/0gxbfm,515358.0
Hiatal hernia,/m/01c4wk,509636.0
Leukemia,/m/04psf,501976.0
Ectopic pregnancy,/m/0f5y4,486064.0
Allergy,/m/0fd23,478517.0
Attention deficit hyperactivity disorder,/m/0h99n,475965.0
Thyroid disease,/m/05n00c6,475889.0
Sexually transmitted disease,/m/074c1,474982.0
Crohn's disease,/m/0h1n9,462214.0
Liver disease,/m/047grmq,460747.0
Allergic rhinitis,/m/0c01msq,450358.0
Deep vein thrombosis,/m/02r3jk,448038.0
Panic attack,/m/0g88b,444756.0
Hypotension,/m/02hvph,436785.0
Ovarian cyst,/m/01xyfj,423299.0
Herpes zoster,/m/029577,417818.0
Hyperthermia,/m/0k10t,416295.0
Prostate cancer,/m/0m32h,415248.0
Gallstone,/m/01q6mh,408420.0
Inguinal hernia,/m/03m_f1,392205.0
Autistic Spectrum Disorders,/m/02p3f5,391375.0
Autism,/m/0gwj,386274.0
Skin cancer,/m/0h9dj,386095.0
Heartburn,/m/01bfsv,381891.0
Conjunctivitis,/m/0c36_,380078.0
Rheumatoid arthritis,/m/06g7c,367710.0
Migraine,/m/05904,365723.0
Rickets,/m/06gzp,365002.0
Acute renal failure,/m/03545w,364137.0
Hernia,/m/0k48r,362960.0
Tuberculosis,/m/07jwr,359367.0
Cardiovascular disease,/m/02k6hp,358576.0
Hepatitis B,/m/0167bx,354074.0
Iron deficiency,/m/014x04,350551.0
Hepatitis C,/m/0jdvt,349150.0
Acute myeloid leukemia,/m/0bx3n7,346404.0
Gastroenteritis,/m/03k2qf,336696.0
Lymphoma,/m/0jdk0,328223.0
Measles,/m/0g2gb,324630.0
Thyroid cancer,/m/011wk5,322876.0
Pharyngitis,/m/01gkcc,321164.0
Pancreatic cancer,/m/01_qc_,318093.0
Gallbladder disease,/m/080jhsv,317273.0
Hepatitis,/m/09jg8,310899.0
Hepatitis A,/m/01yjzm,310234.0
Panic disorder,/m/025s_q_,308788.0
Chronic renal failure,/m/035482,303192.0
Gonorrhea,/m/0mh4s,300034.0
Lactose intolerance,/m/0fp3b,294295.0
Oral candidiasis,/m/03l35g,294163.0
Stomach cancer,/m/01mtqf,294091.0
Posttraumatic stress disorder,/m/0l8bg,291364.0
Alcoholic liver disease,/m/01snkw,290867.0
Chickenpox,/m/01r6j,285577.0
Human papillomavirus infection,/m/019syx,281926.0
Mittelschmerz,/m/016d_p,281880.0
Bipolar disorder,/m/01g2q,280665.0
Hemorrhoids,/m/017f7c,280403.0
Bed bug infestation,/m/0ddfslx,277234.0
Malaria,/m/0542n,276209.0
Premenstrual syndrome,/m/01fxrj,275861.0
Asthma,/m/0c78m,273921.0
Otitis,/m/0743mf,272269.0
Endometriosis,/m/0d_9n,270208.0
Hyperglycemia,/m/0kfqw,269707.0
Dengue fever,/m/09wsg,268248.0
Hypokalemia,/m/03vmt0,265586.0
Amyotrophic lateral sclerosis,/m/017s1k,257630.0
Streptococcal pharyngitis,/m/0mztl,255317.0
Rhinitis,/m/02mdz9,251597.0
Fibromyalgia,/m/01v3ks,245923.0
Non-alcoholic fatty liver disease,/m/0g0wml,244916.0
Polycystic ovary syndrome,/m/0f5wq,243630.0
Syphilis,/m/074m2,238086.0
Parkinson's disease,/m/0g02vk,238049.0
Schizophrenia,/m/06xqq,237819.0
Pre-eclampsia,/m/025lwc,234962.0
Hypogonadism,/m/038k4x,233027.0
Salmonellosis,/m/0418dc,232901.0
Oral cancer,/m/025hkl,228721.0
Tetanus,/m/0cfb2,226899.0
Thrombus,/m/018_rt,219467.0
Cerebral aneurysm,/m/01g45j,218817.0
