name,mid,weight
Honey Singh,/m/0hn8t6m,1111690.0
One Direction,/m/0fqqnpw,799496.0
Justin Bieber,/m/06w2sn5,706999.0
Taylor Swift,/m/0dl567,672239.0
Bruno Mars,/m/0bs1g5r,647518.0
Michael Jackson,/m/09889g,482174.0
The Beatles,/m/07c0j,460505.0
Rihanna,/m/06mt91,431943.0
Nachiketa Chakraborty,/m/04_03fv,402724.0
Eminem,/m/01vsgrn,389348.0
Pitbull,/m/03f0qd7,381416.0
Atif Aslam,/m/0501yh,369009.0
Pink,/m/01vrt_c,353760.0
Falak Shabir,/m/0sh0057,331903.0
Beyoncé,/m/01mpq7s,323694.0
Shakira,/m/01wj18h,305320.0
Icona Pop,/m/0g6b801,304501.0
Maroon 5,/m/02k5sc,299158.0
Nicki Minaj,/m/047sxrj,291244.0
Selena Gomez,/m/0gs6vr,286666.0
George Jones,/m/01hb9p,275938.0
Katy Perry,/m/03y82t6,275641.0
Gaana Bala,/m/0vpmh9z,275023.0
Walt Disney,/m/081nh,251623.0
Selena Gomez & the Scene,/m/09rt83f,247141.0
Adele,/m/02z4b_8,247112.0
Elvis Presley,/m/02jq1,246804.0
Lil Wayne,/m/016kjs,243334.0
Drake,/m/05mt_q,231689.0
Mohammed Rafi,/m/01mbzfm,231281.0
Kishore Kumar,/m/01mp07q,229963.0
Bob Marley,/m/0bkf4,216371.0
Miley Cyrus,/m/0bdxs5,214362.0
Bob Marley & The Wailers,/m/02ht0ln,202976.0
Chris Brown,/m/07ss8_,202117.0
The Bilz and Kashif,/m/04ydr62,200255.0
Celine Dion,/m/01cwhp,199317.0
Akon,/m/0dt1cm,198811.0
Mariah Carey,/m/04xrx,198146.0
Macklemore,/m/0crcmvm,196428.0
Luke Bryan,/m/02vpng6,195929.0
Usher,/m/01trhmt,192138.0
Lata Mangeshkar,/m/01ghrl,184059.0
Blake Shelton,/m/046pqq,181907.0
The Rolling Stones,/m/07mvp,166452.0
Michael Bublé,/m/02xkkq,163883.0
Bon Jovi,/m/0g_g2,163576.0
Carrie Underwood,/m/058s57,161692.0
Claude-Michel Schönberg,/m/021n3t,160559.0
Rahat Fateh Ali Khan,/m/01wrvc1,155720.0
Enrique Iglesias,/m/01s7ns,155689.0
Eagles,/m/0mjn2,154581.0
ABBA,/m/0kjh,153774.0
A. R. Rahman,/m/01gg59,153704.0
Avril Lavigne,/m/0161c2,152210.0
Ed Sheeran,/m/0g9sr1k,151037.0
Ilaiyaraaja,/m/0kvjrw,150257.0
Linkin Park,/m/04qmr,146776.0
Lady Gaga,/m/0478__m,146736.0
Justin Timberlake,/m/0j1yf,146063.0
Fleetwood Mac,/m/033s6,145361.0
Led Zeppelin,/m/04k05,144211.0
Demi Lovato,/m/02wb6yq,143343.0
Britney Spears,/m/015f7,142782.0
