mid,answer,probability,source
/m/0394y,High Time,0.0,KGMATCHER: CANONICALIZED
/m/03f0vvr,Leave Your Hat On,0.0,KGMATCHER: CANONICALIZED
/m/0kjh,Knowing Me Knowing You,0.0,KGMATCHER: CANONICALIZED
/m/01wz3cx,East Virginia,0.0,KGMATCHER: CANONICALIZED
/m/016z1t,Rhinestone Cowboy,0.0,KGMATCHER: CANONICALIZED
/m/016z1t,Rhinestone Cowboy,0.0,BRAIN
/m/0b1hw,Been Away Too Long,0.0,KGMATCHER: CANONICALIZED
/m/06mt91,Shut Up and Drive,0.0,KGMATCHER: CANONICALIZED
/m/06mt91,Shut Up and Drive,0.0,BRAIN
/m/06mt91,Shut Up and Drive,0.4926495263164944,PRA
/m/01k23t,Take me to your heart,0.0,KGMATCHER: CANONICALIZED
/m/01vrz41,Bridge,0.0,KGMATCHER: CANONICALIZED
/m/01vrz41,Bridge,0.0,BRAIN
/m/02_fj,Let's Get Away from It All,0.0,KGMATCHER: CANONICALIZED
/m/02_fj,Let's Get Away from It All,0.0,BRAIN
/m/02qwg,You Can't Judge a Book by Looking at the Cover,0.0,KGMATCHER: CANONICALIZED
/m/0dtn7,Ask,0.0,KGMATCHER: CANONICALIZED
/m/089tm,Tush,0.0,KGMATCHER: CANONICALIZED
/m/08w4pm,Hot Potatoes,0.0,KGMATCHER: CANONICALIZED
/m/012_6c,Shop Around,0.0,KGMATCHER: CANONICALIZED
/m/012vm6,Nights in White Satin,0.0,KGMATCHER: CANONICALIZED
/m/01fl3,Morning Christmas,0.0,KGMATCHER: CANONICALIZED
/m/013qvn,Cannes,0.0,KGMATCHER: CANONICALIZED
/m/01vsy3q,Just Like That,0.0,KGMATCHER: CANONICALIZED
/m/01ww2fs,The Girl Turned Ripe,0.0,KGMATCHER: CANONICALIZED
/m/01vt9p3,That's What Friends Are For,0.0,KGMATCHER: CANONICALIZED
/m/0kjh,Voulez vous,0.0,KGMATCHER: CANONICALIZED
/m/0dm5l,So Hard,0.0,KGMATCHER: CANONICALIZED
/m/0fhxv,Lemon Popsicle,0.0,KGMATCHER: CANONICALIZED
/m/0dbb3,Gloomy Sunday,0.0,KGMATCHER: CANONICALIZED
/m/0dbb3,Gloomy Sunday,0.0,BRAIN
/m/01381p,Mean Mistreater,0.0,KGMATCHER: CANONICALIZED
/m/06mt91,Break It Off,0.0,KGMATCHER: CANONICALIZED
/m/06mt91,Break It Off,0.0,BRAIN
/m/01wjgjb,Anything,0.0,KGMATCHER: CANONICALIZED
/m/0d9xq,It's De-lovely,0.0,KGMATCHER: CANONICALIZED
/m/0dvqq,Good Riddance (Time of Your Life),0.0,KGMATCHER: CANONICALIZED
/m/02vr7,A Voice in the Dark,0.0,KGMATCHER: CANONICALIZED
/m/0ddkf,You Can Call Me Al,0.0,KGMATCHER: CANONICALIZED
/m/0ddkf,You Can Call Me Al,0.0,BRAIN
/m/0150jk,Too Bad,0.0,KGMATCHER: CANONICALIZED
/m/0150jk,Too Bad,0.0,BRAIN
/m/03j24kf,Let Me Roll It,0.0,KGMATCHER: CANONICALIZED
/m/020_81,Uptown Girl,0.0,KGMATCHER: CANONICALIZED
/m/01vtqml,Planet Caravan,0.0,KGMATCHER: CANONICALIZED
/m/0p_7w,Pretty Flamingo,0.0,KGMATCHER: CANONICALIZED
/m/01s560x,She's Electric,0.0,KGMATCHER: CANONICALIZED
/m/013qvn,Until the Real Thing Comes Along,0.0,KGMATCHER: CANONICALIZED
/m/013qvn,Until the Real Thing Comes Along,0.0,BRAIN
/m/08w4pm,Time Will Tell,0.0,KGMATCHER: CANONICALIZED
/m/0501yh,I Would Die 4 U,0.0,KGMATCHER: CANONICALIZED
/m/013qvn,If You Were the Only Girl (In the World),0.0,KGMATCHER: CANONICALIZED
/m/013qvn,Mambo Italiano,0.0,KGMATCHER: CANONICALIZED
/m/013w2r,Belinda Carlisle,0.0,KGMATCHER: CANONICALIZED
/m/016kq3,Happy Birthday to You,0.0,KGMATCHER: CANONICALIZED
/m/0kr_t,Beautiful World,0.0,KGMATCHER: CANONICALIZED
/m/0bkf4,Sun Is Shining,0.0,KGMATCHER: CANONICALIZED
