mid,answer
/m/0ps0b,Antiandrogen
/m/0ps0b,Electrolysis
/m/0bx3n7,Chemotherapy
/m/0bx3n7,Hematopoietic stem cell transplantation
/m/0bx3n7,Immunotherapy
/m/0bx3n7,Pharmacotherapy
/m/0fgjh0,Radiation therapy
/m/0fgjh0,Surgery
/m/0fgjh0,Laser therapy
/m/06xqq,Cognitive behavioral therapy
/m/06xqq,Electroconvulsive therapy
/m/06xqq,Transcranial magnetic stimulation
/m/06xqq,Orthomolecular medicine
/m/06xqq,Rehabilitation
/m/06xqq,Cognitive remediation therapy for schizophrenia
/m/06xqq,Family Therapy
/m/0fjjk,Surgery
/m/0fjjk,Steroid
/m/0fjjk,Low sodium diet
/m/0fjjk,Smoking cessation
/m/0fjjk,Rest
/m/01nzkk,Surgery
/m/01nzkk,Physical therapy
/m/01nzkk,Splint
/m/01nzkk,Percutaneous trigger finger release
/m/01nzkk,Rest
/m/03g23y,Surgery
/m/03g23y,Endovascular aneurysm repair
/m/03g23y,Intravenous therapy
/m/03g23y,Cardiac monitoring
/m/03g23y,Home blood pressure monitors
/m/0fl51,Physical therapy
/m/0fl51,Occupational therapy
/m/0fl51,Transcutaneous electrical nerve stimulation
/m/0fl51,Biofeedback
/m/0fl51,Endoscopic thoracic sympathectomy
/m/0fl51,Spinal cord stimulator
/m/0fl51,Nerve block
/m/04fmtx,Hearing aid
/m/04fmtx,Surgery
/m/04fmtx,Ear cleaning
/m/04kl78,Antacid
/m/04kl78,Prokinetic agent
/m/04kl78,Antiflatulent
/m/0b89mm,Cryotherapy
/m/0b89mm,Cauterization
/m/0b89mm,Laser therapy
/m/0jdj1,Chemotherapy
/m/0jdj1,Hematopoietic stem cell transplantation
/m/0jdj1,Radiation therapy
/m/0jdj1,Immunotherapy
/m/0n073,Cough medicine
/m/0n073,Vicks VapoRub
/m/0n073,Rest
/m/0n073,Increase fluid intake
/m/0n073,Symptomatic
/m/01x8m8,Oral rehydration therapy
/m/01x8m8,Diloxanide furoate
/m/0f5y4,Laparoscopic surgery
/m/0f5y4,Salpingectomy
/m/0gk4g,Percutaneous coronary intervention
/m/0gk4g,Coronary artery bypass surgery
/m/0gk4g,Defibrillation
/m/0gk4g,Thrombolytic drug
/m/0gk4g,Cardioversion
/m/010vmq,Surgery
/m/010vmq,Hormone therapy
/m/010vmq,Distraction osteogenesis
/m/018g78,In vitro fertilization
/m/018g78,Assisted reproductive technology
/m/018g78,Surgery
/m/018g78,Intracytoplasmic sperm injection
/m/018g78,Gonadotropin-releasing hormone analogue
/m/018g78,Tuboplasty
/m/018g78,Conception device
/m/01tmrp,Cryotherapy
/m/01tmrp,Cauterization
/m/01tmrp,Soft-tissue laser surgery
/m/020gv,Antifungal medication
/m/02l37c,Speech-language pathology
/m/02l37c,Throat lozenge
/m/02l37c,Antifungal medication
/m/02l37c,Rest
/m/064fq,Hospitalization
/m/01t91m,Microvascular decompression
/m/01t91m,Stereotactic radiation therapy
/m/05vry9,Hysterectomy
/m/05vry9,Uterine myomectomy
/m/05vry9,Uterine artery embolization
/m/05vry9,Endometrial ablation
/m/05vry9,High-intensity focused ultrasound
/m/05vry9,Gonadotropin-releasing hormone analogue
/m/0m2w3,Glasses
/m/0m2w3,Contact lens
/m/0m2w3,LASIK
/m/0m2w3,Orthokeratology
/m/0m2w3,Refractive surgery
/m/0m2w3,Radial keratotomy
/m/05frfm,Debacterol
/m/05frfm,Orabase B
/m/0wnw,Transcranial magnetic stimulation
/m/0wnw,Transcranial direct-current stimulation
/m/09hbx,Surgery
/m/09hbx,Extracorporeal shock wave lithotripsy
/m/09hbx,Percutaneous nephrolithotomy
/m/09hbx,Ureteroscopic stone removal
/m/03mmxd,Laser coagulation
/m/03mmxd,Photodynamic therapy
/m/03mmxd,Antioxidant
/m/03mmxd,Monoclonal Antibody Anti-VEGF
/m/02gwg9,Physical therapy
/m/05m_zv2,Physical therapy
/m/05m_zv2,Amputation
/m/05m_zv2,Lung transplantation
/m/05m_zv2,Oxygen therapy
/m/05m_zv2,Relaxin
/m/05m_zv2,PUVA therapy
/m/04gfv_,Plasmapheresis
/m/04gfv_,Angiotensin II receptor antagonist
/m/017s1k,Physical therapy
/m/017s1k,Speech-language pathology
/m/017s1k,Occupational therapy
/m/017s1k,Mechanical ventilation
/m/017s1k,Transcranial magnetic stimulation
/m/072hv,Surgery
/m/072hv,Nasal irrigation
/m/072hv,Increase fluid intake
/m/03gq6tq,Surgery
/m/03gq6tq,Chemotherapy
/m/03gq6tq,Radiation therapy
/m/03gq6tq,Hormone therapy
/m/03gq6tq,Radioactive iodine therapy
/m/02pbss,Stretching
/m/02pbss,Orthopedic surgery
/m/02pbss,Orthopedic cast
/m/06x09g,Calamine
/m/06x09g,Pyrithione Zinc
/m/025lwc,Bed rest
/m/035xnj,Colostomy
/m/035xnj,Narcotic
/m/035xnj,Intravenous therapy
/m/035xnj,Bowel resection
/m/035xnj,Nil per os
/m/035xnj,Clear liquid diet
/m/0jdvt,Liver transplantation
/m/0jdvt,Pegylated Interferon Alfa
/m/03_039,Physical exercise
/m/03_039,Physical therapy
/m/03_039,Orthosis
/m/048p44,Topical steroid
/m/048p44,Ultraviolet light therapy
/m/0fqr5t,Surgery
/m/0fqr5t,Stretching
/m/0fqr5t,Ice pack
/m/0fqr5t,Elastic bandage
/m/0fqr5t,Rest
/m/04pxm5,Artificial tears
/m/04pxm5,Cold compression therapy
/m/04pxm5,Vasoconstrictor
/m/03y9j7,Physical exercise
/m/03y9j7,Physical therapy
/m/03y9j7,Surgery
/m/03y9j7,Orthosis
/m/04_rt_,Intravenous therapy
/m/03kjvy,Surgery
/m/03kjvy,Physical therapy
/m/03kjvy,Splint
/m/03kjvy,Extracorporeal shockwave therapy
/m/040_ch,Steroidal ophthalmic drops
