name,mid,weight
Hemorrhoids,/m/017f7c,820738.0
Herpes simplex,/m/0gxbfm,662846.0
Urinary tract infection,/m/07x16,645592.0
Candidiasis,/m/020gv,636070.0
Herpes labialis,/m/05mw4by,577358.0
Genital herpes,/m/05m_zpz,543517.0
AIDS,/m/0d19y2,467008.0
Acne,/m/0jwqt,418342.0
Conjunctivitis,/m/0c36_,389583.0
HIV,/m/03p41,384550.0
Onychomycosis,/m/06yxtq,373084.0
Atopic dermatitis,/m/06xb9t,359420.0
Sunburn,/m/015slp,326255.0
Eczema,/m/0ftzc,321024.0
Alopecia,/m/03bwzh1,318833.0
Ringworm,/m/023yjf,318808.0
Burn,/m/01hwqk,311497.0
Pharyngitis,/m/01gkcc,298975.0
Vertigo,/m/07rwf2,295976.0
Oral candidiasis,/m/03l35g,295261.0
Sinusitis,/m/072hv,279762.0
Stye,/m/03r92g,273123.0
Canker sore,/m/05frfm,271154.0
Herpes zoster,/m/029577,270314.0
Gastroesophageal reflux disease,/m/01b_5g,261280.0
Gout,/m/0ffxt,258333.0
Food poisoning,/m/02m76d,257251.0
Benign paroxysmal positional vertigo,/m/03_mj_,255268.0
Mouth ulcer,/m/01klhb,247923.0
Scabies,/m/074kq,243957.0
Tinea pedis,/m/03nq53,240902.0
Sciatica,/m/01_wxr,238968.0
Heartburn,/m/01bfsv,231192.0
Diarrhea,/m/0f3kl,230937.0
Hiccup,/m/02p3nc,226866.0
Genital wart,/m/019thv,225137.0
Psoriasis,/m/0pv62,216067.0
Miliaria,/m/04hxwb,211509.0
Migraine,/m/05904,210759.0
Type 2 diabetes,/m/0146bp,208705.0
Peptic ulcer,/m/0h3h4,202019.0
Cancer,/m/0qcr0,193622.0
Bed bug infestation,/m/0ddfslx,191339.0
Anxiety disorder,/m/0ftsr,189879.0
Major depression,/m/02bft,187775.0
Pediculosis,/m/0175q1,187607.0
Tinnitus,/m/0pv6y,187474.0
Androgenic alopecia,/m/0d5tz0,184321.0
Gingivitis,/m/01d20w,184123.0
Rheumatoid arthritis,/m/06g7c,181843.0
Hepatitis C,/m/0jdvt,181546.0
Generalized anxiety disorder,/m/02zr3h,181342.0
Irritable bowel syndrome,/m/01dxg3,179600.0
Plantar fasciitis,/m/03kjvy,176456.0
