total_weight	filled_weight	filled_entities	unsupported_entities	empty_weight	empty_entities	mid	coverage
201660.0	0.0	0	0	201660.0	1	/m/06k3_t	0.0
183639.0	0.0	0	0	183639.0	1	/m/02q6nc4	0.0
127858.0	0.0	0	0	127858.0	1	/m/0chw_	0.0
123311.0	0.0	0	0	123311.0	1	/m/0300jn	0.0
107797.0	0.0	0	0	107797.0	1	/m/02r8mqf	0.0
105147.0	0.0	0	0	105147.0	1	/m/0bdxs5	0.0
86902.0	0.0	0	0	86902.0	1	/m/0hn8t6m	0.0
86861.0	0.0	0	0	86861.0	1	/m/0djpnw	0.0
86797.0	0.0	0	0	86797.0	1	/m/034_bc	0.0
82471.0	0.0	0	0	82471.0	1	/m/0b3p9c	0.0
79370.0	0.0	0	0	79370.0	1	/m/047sxrj	0.0
79337.0	0.0	0	0	79337.0	1	/m/04cr6qv	0.0
77303.0	0.0	0	0	77303.0	1	/m/06h_sg	0.0
70604.0	0.0	0	0	70604.0	1	/m/0czdgp5	0.0
68479.0	0.0	0	0	68479.0	1	/m/01w_24q	0.0
68362.0	0.0	0	0	68362.0	1	/m/03f7m4h	0.0
62877.0	0.0	0	0	62877.0	1	/g/12321gy6	0.0
62623.0	0.0	0	0	62623.0	1	/m/08sry2	0.0
60593.0	0.0	0	0	60593.0	1	/m/044mfr	0.0
58295.0	0.0	0	0	58295.0	1	/m/02s_qz	0.0
56690.0	0.0	0	0	56690.0	1	/m/0f1lfn	0.0
56002.0	0.0	0	0	56002.0	1	/m/03wfpjd	0.0
55115.0	0.0	0	0	55115.0	1	/m/07myb2	0.0
54456.0	0.0	0	0	54456.0	1	/m/0gfg50n	0.0
52237.0	0.0	0	0	52237.0	1	/m/048lv	0.0
52116.0	0.0	0	0	52116.0	1	/m/0273sth	0.0
49824.0	0.0	0	0	49824.0	1	/m/06p426	0.0
48303.0	0.0	0	0	48303.0	1	/m/09h5m9	0.0
47607.0	0.0	0	0	47607.0	1	/m/027mj37	0.0
46774.0	0.0	0	0	46774.0	1	/m/011zd3	0.0
45816.0	0.0	0	0	45816.0	1	/g/121d1tr4	0.0
45206.0	0.0	0	0	45206.0	1	/m/0501yh	0.0
43298.0	0.0	0	0	43298.0	1	/m/01wmxfs	0.0
43201.0	0.0	0	0	43201.0	1	/m/0ndskr8	0.0
42749.0	0.0	0	0	42749.0	1	/m/038rzr	0.0
42397.0	0.0	0	0	42397.0	1	/m/095xc0	0.0
42115.0	0.0	0	0	42115.0	1	/m/0h7q7b	0.0
41807.0	0.0	0	0	41807.0	1	/m/02n8yh	0.0
41295.0	0.0	0	0	41295.0	1	/m/02tn8j	0.0
41145.0	0.0	0	0	41145.0	1	/m/04jswm8	0.0
40283.0	0.0	0	0	40283.0	1	/m/0479b	0.0
39216.0	0.0	0	0	39216.0	1	/m/0cdys8	0.0
38991.0	0.0	0	0	38991.0	1	/m/07kt8k	0.0
38111.0	0.0	0	0	38111.0	1	/m/0fg6cv	0.0
37792.0	0.0	0	0	37792.0	1	/m/0517_k	0.0
36855.0	0.0	0	0	36855.0	1	/m/08cpnf	0.0
36411.0	0.0	0	0	36411.0	1	/m/04yfh	0.0
36126.0	0.0	0	0	36126.0	1	/m/02kddt	0.0
35911.0	0.0	0	0	35911.0	1	/m/02ktrs	0.0
35180.0	0.0	0	0	35180.0	1	/m/0ds2dyh	0.0
34924.0	0.0	0	0	34924.0	1	/m/0fd6sd	0.0
34694.0	0.0	0	0	34694.0	1	/m/045m1_	0.0
34390.0	0.0	0	0	34390.0	1	/m/0fpg8_p	0.0
33789.0	0.0	0	0	33789.0	1	/m/01338h	0.0
33652.0	0.0	0	0	33652.0	1	/m/0296q2	0.0
33601.0	0.0	0	0	33601.0	1	/m/021yw7	0.0
33063.0	0.0	0	0	33063.0	1	/m/02qssrm	0.0
32461.0	0.0	0	0	32461.0	1	/m/076zf_q	0.0
31842.0	0.0	0	0	31842.0	1	/m/01yr6t	0.0
31828.0	0.0	0	0	31828.0	1	/m/01pgk0	0.0
31502.0	0.0	0	0	31502.0	1	/m/024rrk	0.0
31109.0	0.0	0	0	31109.0	1	/m/0693l	0.0
30673.0	0.0	0	0	30673.0	1	/m/07sjb6	0.0
30346.0	0.0	0	0	30346.0	1	/m/03c1yzy	0.0
29868.0	0.0	0	0	29868.0	1	/m/02xt6q	0.0
29850.0	0.0	0	0	29850.0	1	/m/05wm88	0.0
29664.0	0.0	0	0	29664.0	1	/m/071s9m	0.0
29537.0	0.0	0	0	29537.0	1	/m/02qw7l2	0.0
29464.0	0.0	0	0	29464.0	1	/m/0271y0h	0.0
28807.0	0.0	0	0	28807.0	1	/m/064k68_	0.0
29899.0	1119.0	0	0	28780.0	1	/m/06p83	0.0374260008696
28419.0	0.0	0	0	28419.0	1	/m/01gkmx	0.0
28392.0	0.0	0	0	28392.0	1	/m/016pns	0.0
28372.0	0.0	0	0	28372.0	1	/m/0dkg24	0.0
28185.0	0.0	0	0	28185.0	1	/m/0dvmd	0.0
28080.0	0.0	0	0	28080.0	1	/m/02qt_x0	0.0
27866.0	0.0	0	0	27866.0	1	/m/03f0wz3	0.0
27264.0	0.0	0	0	27264.0	1	/m/05mzqkq	0.0
26651.0	0.0	0	0	26651.0	1	/m/01p7ws5	0.0
26319.0	0.0	0	0	26319.0	1	/m/0fpwlg	0.0
25896.0	0.0	0	0	25896.0	1	/m/01w61th	0.0
25359.0	0.0	0	0	25359.0	1	/m/0dq4hn	0.0
25211.0	0.0	0	0	25211.0	1	/m/0gxrc1	0.0
25187.0	0.0	0	0	25187.0	1	/g/1233fzz4	0.0
24723.0	0.0	0	0	24723.0	1	/m/0cc8crh	0.0
24675.0	0.0	0	0	24675.0	1	/m/0j9m4vm	0.0
24182.0	0.0	0	0	24182.0	1	/m/04ydywl	0.0
23366.0	0.0	0	0	23366.0	1	/m/01lqf49	0.0
23298.0	0.0	0	0	23298.0	1	/m/0ndskm6	0.0
