mid	coverage	filled_entities	unsupported_entities	empty_entities	empty_weight	total_weight	filled_weight
/m/02q6nc4	0.0	0	0	1	233793.0	233793.0	0.0
/m/06k3_t	0.0	0	0	1	165331.0	165331.0	0.0
/m/0chw_	0.0	0	0	1	129339.0	129339.0	0.0
/m/02r8mqf	0.0	0	0	1	122396.0	122396.0	0.0
/m/03wfpjd	0.0	0	0	1	121101.0	121101.0	0.0
/m/02kddt	0.0	0	0	1	120800.0	120800.0	0.0
/m/0bdxs5	0.0	0	0	1	109699.0	109699.0	0.0
/m/0hn8t6m	0.0	0	0	1	86644.0	86644.0	0.0
/m/034_bc	0.0	0	0	1	85858.0	85858.0	0.0
/m/0300jn	0.0	0	0	1	84655.0	84655.0	0.0
/m/0djpnw	0.0	0	0	1	76331.0	76331.0	0.0
/m/03f7m4h	0.0	0	0	1	70019.0	70019.0	0.0
/m/08cpnf	0.0	0	0	1	65712.0	65712.0	0.0
/g/12321gy6	0.0	0	0	1	63807.0	63807.0	0.0
/m/0czdgp5	0.0	0	0	1	63313.0	63313.0	0.0
/m/047sxrj	0.0	0	0	1	62979.0	62979.0	0.0
/m/09h5m9	0.0	0	0	1	60858.0	60858.0	0.0
/m/0bhvvf	0.0	0	0	1	58226.0	58226.0	0.0
/m/07myb2	0.0	0	0	1	58145.0	58145.0	0.0
/m/01w_24q	0.0	0	0	1	56344.0	56344.0	0.0
/m/0h1h46b	0.0	0	0	1	56200.0	56200.0	0.0
/m/0f1lfn	0.0	0	0	1	56125.0	56125.0	0.0
/m/01wmxfs	0.0	0	0	1	54100.0	54100.0	0.0
/m/02s_qz	0.0	0	0	1	53928.0	53928.0	0.0
/m/0gfg50n	0.0	0	0	1	51990.0	51990.0	0.0
/m/048lv	0.0	0	0	1	49964.0	49964.0	0.0
/m/027mj37	0.0	0	0	1	47285.0	47285.0	0.0
/m/0ndskr8	0.0	0	0	1	46523.0	46523.0	0.0
/m/0273sth	0.0	0	0	1	46250.0	46250.0	0.0
/m/0h7q7b	0.0	0	0	1	45322.0	45322.0	0.0
/m/095xc0	0.0	0	0	1	45283.0	45283.0	0.0
/m/06p83	0.0508592514497	0	0	1	45013.0	47425.0	2412.0
/m/0fg6cv	0.0	0	0	1	44980.0	44980.0	0.0
/m/071s9m	0.0	0	0	1	44908.0	44908.0	0.0
/m/06p426	0.0	0	0	1	43902.0	43902.0	0.0
/g/121d1tr4	0.0	0	0	1	42814.0	42814.0	0.0
/m/0cdys8	0.0	0	0	1	42545.0	42545.0	0.0
/m/044mfr	0.0	0	0	1	41424.0	41424.0	0.0
/m/0479b	0.0	0	0	1	41051.0	41051.0	0.0
/m/011zd3	0.0	0	0	1	40462.0	40462.0	0.0
/m/03f0wz3	0.0	0	0	1	39052.0	39052.0	0.0
/m/02tn8j	0.0	0	0	1	38135.0	38135.0	0.0
/m/02n8yh	0.0	0	0	1	37445.0	37445.0	0.0
/m/0693l	0.0	0	0	1	36939.0	36939.0	0.0
