total_weight	filled_weight	filled_entities	unsupported_entities	empty_weight	empty_entities	mid	coverage
922379.0	0.0	0	0	922379.0	1	/m/056gcd4	0.0
587018.0	0.0	0	0	587018.0	1	/m/043n6dp	0.0
503906.0	412.0	0	0	503494.0	1	/m/0bwdn	0.000817612808738
478909.0	0.0	0	0	478909.0	1	/m/0f1lfn	0.0
334783.0	0.0	0	0	334783.0	1	/m/06w2sn5	0.0
303568.0	0.0	0	0	303568.0	1	/m/02x0dzw	0.0
258498.0	0.0	0	0	258498.0	1	/m/044mfr	0.0
222950.0	0.0	0	0	222950.0	1	/m/03cm6b3	0.0
189592.0	0.0	0	0	189592.0	1	/m/0chw_	0.0
187869.0	0.0	0	0	187869.0	1	/m/0gg8zn1	0.0
182036.0	159.0	0	0	181877.0	1	/m/01_xtx	0.000873453602584
163966.0	0.0	0	0	163966.0	1	/m/047sxrj	0.0
154408.0	0.0	0	0	154408.0	1	/m/06wm0z	0.0
151132.0	0.0	0	0	151132.0	1	/m/0dl567	0.0
150490.0	0.0	0	0	150490.0	1	/m/0b3w054	0.0
149159.0	0.0	0	0	149159.0	1	/m/06k3_t	0.0
144912.0	0.0	0	0	144912.0	1	/m/0275xcm	0.0
142241.0	0.0	0	0	142241.0	1	/m/05zbm4	0.0
137873.0	0.0	0	0	137873.0	1	/m/03m6_z	0.0
134866.0	0.0	0	0	134866.0	1	/m/0928l6	0.0
126404.0	0.0	0	0	126404.0	1	/m/01nyx5k	0.0
120885.0	0.0	0	0	120885.0	1	/m/0h10vt	0.0
120259.0	0.0	0	0	120259.0	1	/m/0478__m	0.0
116420.0	0.0	0	0	116420.0	1	/m/09n70c	0.0
111854.0	0.0	0	0	111854.0	1	/m/03bsht	0.0
111639.0	0.0	0	0	111639.0	1	/m/09gj98	0.0
108979.0	0.0	0	0	108979.0	1	/m/03c1yzy	0.0
100408.0	25.0	0	0	100383.0	1	/m/063rjh	0.00024898414469
99092.0	0.0	0	0	99092.0	1	/m/0134w7	0.0
96910.0	0.0	0	0	96910.0	1	/m/038rzr	0.0
96688.0	0.0	0	0	96688.0	1	/m/03rbf	0.0
95408.0	0.0	0	0	95408.0	1	/m/021yw7	0.0
94145.0	0.0	0	0	94145.0	1	/m/02z14n	0.0
93677.0	0.0	0	0	93677.0	1	/m/04gttgp	0.0
90940.0	0.0	0	0	90940.0	1	/m/03kxp7	0.0
90208.0	0.0	0	0	90208.0	1	/m/0hnctb7	0.0
88449.0	0.0	0	0	88449.0	1	/m/0pbkv__	0.0
89801.0	1931.0	0	0	87870.0	1	/m/014g_s	0.0215031013018
