mid	coverage	filled_entities	unsupported_entities	empty_entities	empty_weight	total_weight	filled_weight
/m/0h62tzz	0.0	0	0	1	987940.0	987940.0	0.0
/m/056gcd4	0.0	0	0	1	938679.0	938679.0	0.0
/m/043n6dp	0.0	0	0	1	585933.0	585933.0	0.0
/m/0f1lfn	0.0	0	0	1	472152.0	472152.0	0.0
/m/0bwdn	0.000916709374256	0	0	1	415236.0	415617.0	381.0
/m/06w2sn5	0.0	0	0	1	374815.0	374815.0	0.0
/m/02x0dzw	0.0	0	0	1	308131.0	308131.0	0.0
/m/03cm6b3	0.0	0	0	1	248836.0	248836.0	0.0
/m/044mfr	0.0	0	0	1	214035.0	214035.0	0.0
/m/0h10vt	0.0	0	0	1	205356.0	205356.0	0.0
/m/0chw_	0.0	0	0	1	194695.0	194695.0	0.0
/m/0dl567	0.0	0	0	1	191749.0	191749.0	0.0
/m/0gg8zn1	0.0	0	0	1	187362.0	187362.0	0.0
/m/03m6_z	0.0	0	0	1	186300.0	186300.0	0.0
/m/05zbm4	0.0	0	0	1	182627.0	182627.0	0.0
/m/01_xtx	0.0011110683307	0	0	1	181605.0	181807.0	202.0
/m/06wm0z	0.0	0	0	1	160601.0	160601.0	0.0
/m/0b3w054	0.0	0	0	1	153315.0	153315.0	0.0
/m/047sxrj	0.0	0	0	1	146472.0	146472.0	0.0
/m/06k3_t	0.0	0	0	1	145037.0	145037.0	0.0
/m/01nyx5k	0.0	0	0	1	128745.0	128745.0	0.0
/m/0n45_f7	0.0	0	0	1	127777.0	127777.0	0.0
/m/03c1yzy	0.0	0	0	1	127144.0	127144.0	0.0
/m/0478__m	0.0	0	0	1	126621.0	126621.0	0.0
/m/09n70c	0.0	0	0	1	125896.0	125896.0	0.0
/m/0275xcm	0.0	0	0	1	125200.0	125200.0	0.0
/m/02wwvxm	0.0	0	0	1	122443.0	122443.0	0.0
/m/0928l6	0.0	0	0	1	120732.0	120732.0	0.0
/m/0g7km1	0.0	0	0	1	119879.0	119879.0	0.0
/m/09gj98	0.0	0	0	1	113877.0	113877.0	0.0
/m/03kxp7	0.0	0	0	1	105461.0	105461.0	0.0
/m/063rjh	0.000261748479845	0	0	1	99306.0	99332.0	26.0
/m/0134w7	0.0	0	0	1	99099.0	99099.0	0.0
/m/021yw7	0.0	0	0	1	95892.0	95892.0	0.0
/m/02z14n	0.0	0	0	1	95595.0	95595.0	0.0
/m/0pbkv__	0.0	0	0	1	93612.0	93612.0	0.0
/m/0blq0z	0.0	0	0	1	92567.0	92567.0	0.0
/m/0bs1g5r	0.0	0	0	1	91580.0	91580.0	0.0
/m/03rbf	0.0	0	0	1	89767.0	89767.0	0.0
/m/04gttgp	0.0	0	0	1	88186.0	88186.0	0.0
/m/03wc52	0.0	0	0	1	85716.0	85716.0	0.0
/m/0gmbh5m	0.0	0	0	1	85561.0	85561.0	0.0
/m/02b9g4	0.0	0	0	1	83164.0	83164.0	0.0
/m/0dvmd	0.0	0	0	1	81772.0	81772.0	0.0
/m/09yhzs	0.00266239368914	0	0	1	80914.0	81130.0	216.0
/m/0hnctb7	0.0	0	0	1	80801.0	80801.0	0.0
/m/015z4j	0.00181161683679	0	0	1	79894.0	80039.0	145.0
/m/085rlf	0.0	0	0	1	79580.0	79580.0	0.0
/m/038rzr	0.0	0	0	1	78453.0	78453.0	0.0
/m/02qhzxp	0.0	0	0	1	77047.0	77047.0	0.0
/m/01vx5w7	0.0	0	0	1	76308.0	76308.0	0.0
/m/06p426	0.0	0	0	1	75726.0	75726.0	0.0
/m/03qj4_j	0.0	0	0	1	74951.0	74951.0	0.0
/m/03b7gw	0.0	0	0	1	74448.0	74448.0	0.0
/m/09gkdy4	0.0	0	0	1	74045.0	74045.0	0.0
/m/0h3clcp	0.0	0	0	1	72226.0	72226.0	0.0
/m/05bnp0	0.000482201106226	0	0	1	70476.0	70510.0	34.0
/m/02xt6q	0.0	0	0	1	70055.0	70055.0	0.0
/m/012xdf	0.00282027177164	0	0	1	70008.0	70206.0	198.0
/m/051wcwn	0.0	0	0	1	70001.0	70001.0	0.0
/m/0j9ljwz	0.0	0	0	1	69920.0	69920.0	0.0
/m/0b19gn	0.0	0	0	1	68659.0	68659.0	0.0
/m/0271y0h	0.0	0	0	1	68384.0	68384.0	0.0
/m/07myb2	0.0	0	0	1	68254.0	68254.0	0.0
/m/0czdgp5	0.0	0	0	1	67621.0	67621.0	0.0
/m/03bsht	0.0	0	0	1	67404.0	67404.0	0.0
/m/05mt_q	0.0	0	0	1	67320.0	67320.0	0.0
/m/0gxrc1	0.0	0	0	1	67053.0	67053.0	0.0
/m/0fd6sd	0.0	0	0	1	67024.0	67024.0	0.0
/m/04q06_	0.0	0	0	1	64162.0	64162.0	0.0
/m/05cb70	0.0	0	0	1	64050.0	64050.0	0.0
/m/0dq9wx	0.0	0	0	1	63458.0	63458.0	0.0
/m/02p452	0.0	0	0	1	61023.0	61023.0	0.0
/m/09h4b5	0.0	0	0	1	58847.0	58847.0	0.0
/m/0gx70k	0.0	0	0	1	58262.0	58262.0	0.0
/m/01g0jn	0.0	0	0	1	57610.0	57610.0	0.0
/m/043kzcr	0.0	0	0	1	57536.0	57536.0	0.0
/m/014zcr	0.00296391305855	0	0	1	57523.0	57694.0	171.0
/m/0cy_ct	0.0	0	0	1	57239.0	57239.0	0.0
/m/0bm5dn	0.0	0	0	1	57064.0	57064.0	0.0
/m/013_vh	0.0	0	0	1	56224.0	56224.0	0.0
/m/014g_s	0.0275110078702	0	0	1	56099.0	57686.0	1587.0
/m/0h724l	0.0	0	0	1	55701.0	55701.0	0.0
/m/023v4_	0.0	0	0	1	55261.0	55261.0	0.0
/m/0b86xd	0.0	0	0	1	55108.0	55108.0	0.0
/m/03m5111	0.0	0	0	1	54758.0	54758.0	0.0
/m/03zz8b	0.0	0	0	1	54642.0	54642.0	0.0
/m/09v5vdy	0.0	0	0	1	53959.0	53959.0	0.0
/m/0cdys8	0.0	0	0	1	52960.0	52960.0	0.0
/m/05b1zf9	0.0	0	0	1	52708.0	52708.0	0.0
/m/083r_5	0.0	0	0	1	52115.0	52115.0	0.0
/m/07ldhs	0.0	0	0	1	51808.0	51808.0	0.0
/m/02s_qz	0.0	0	0	1	51163.0	51163.0	0.0
/m/0d0svz	0.0	0	0	1	49931.0	49931.0	0.0
/m/0dlmdn_	0.0	0	0	1	49652.0	49652.0	0.0
/m/0161c2	0.000544310942666	0	0	1	49577.0	49604.0	27.0
/m/01p4vl	0.000796861591271	0	0	1	48903.0	48942.0	39.0
/m/070507	0.0	0	0	1	48580.0	48580.0	0.0
/m/04066xj	0.0	0	0	1	48429.0	48429.0	0.0
/m/08wjf4	0.0	0	0	1	48168.0	48168.0	0.0
