total_weight,filled_weight,filled_entities,unsupported_entities,empty_weight,empty_entities,mid,coverage
922379,0,0,0,922379,1,/m/056gcd4,0
585933,0,0,0,585933,1,/m/043n6dp,0
415617,381,0,0,415236,1,/m/0bwdn,0.000916709
334783,0,0,0,334783,1,/m/06w2sn5,0
303568,0,0,0,303568,1,/m/02x0dzw,0
222950,0,0,0,222950,1,/m/03cm6b3,0
187362,0,0,0,187362,1,/m/0gg8zn1,0
181807,202,0,0,181605,1,/m/01_xtx,0.001111068
176172,0,0,0,176172,1,/m/02q6nc4,0
154408,0,0,0,154408,1,/m/06wm0z,0
152082,0,0,0,152082,1,/m/078pfr,0
151132,0,0,0,151132,1,/m/0dl567,0
150490,0,0,0,150490,1,/m/0b3w054,0
142241,0,0,0,142241,1,/m/05zbm4,0
126404,0,0,0,126404,1,/m/01nyx5k,0
125200,0,0,0,125200,1,/m/0275xcm,0
120885,0,0,0,120885,1,/m/0h10vt,0
120732,0,0,0,120732,1,/m/0928l6,0
120259,0,0,0,120259,1,/m/0478__m,0
116420,0,0,0,116420,1,/m/09n70c,0
111639,0,0,0,111639,1,/m/09gj98,0
107797,0,0,0,107797,1,/m/02r8mqf,0
104062,0,0,0,104062,1,/m/0bdxs5,0
99332,26,0,0,99306,1,/m/063rjh,0.000261748
99092,0,0,0,99092,1,/m/0134w7,0
94928,0,0,0,94928,1,/m/06k3_t,0
94145,0,0,0,94145,1,/m/02z14n,0
90940,0,0,0,90940,1,/m/03kxp7,0
89767,0,0,0,89767,1,/m/03rbf,0
88449,0,0,0,88449,1,/m/0pbkv__,0
88186,0,0,0,88186,1,/m/04gttgp,0
86644,0,0,0,86644,1,/m/0hn8t6m,0
85716,0,0,0,85716,1,/m/03wc52,0
85624,0,0,0,85624,1,/m/034_bc,0
85256,0,0,0,85256,1,/m/0bs1g5r,0
84650,0,0,0,84650,1,/m/0300jn,0
84263,0,0,0,84263,1,/m/076y8k6,0
82341,0,0,0,82341,1,/m/0b3p9c,0
80801,0,0,0,80801,1,/m/0hnctb7,0
80039,145,0,0,79894,1,/m/015z4j,0.001811617
79164,0,0,0,79164,1,/m/04cr6qv,0
77303,0,0,0,77303,1,/m/06h_sg,0
77047,0,0,0,77047,1,/m/02qhzxp,0
76646,0,0,0,76646,1,/m/01kywdj,0
76331,0,0,0,76331,1,/m/0djpnw,0
76103,0,0,0,76103,1,/m/01vx5w7,0
76043,0,0,0,76043,1,/m/0blq0z,0
75368,0,0,0,75368,1,/m/0gmbh5m,0
75200,0,0,0,75200,1,/m/02b9g4,0
74951,0,0,0,74951,1,/m/03qj4_j,0
74448,0,0,0,74448,1,/m/03b7gw,0
74339,0,0,0,74339,1,/m/02wwvxm,0
74045,0,0,0,74045,1,/m/09gkdy4,0
72972,0,0,0,72972,1,/m/0g7km1,0
72226,0,0,0,72226,1,/m/0h3clcp,0
70510,34,0,0,70476,1,/m/05bnp0,0.000482201
68889,0,0,0,68889,1,/m/0h62tzz,0
68659,0,0,0,68659,1,/m/0b19gn,0
67404,0,0,0,67404,1,/m/03bsht,0
67320,0,0,0,67320,1,/m/05mt_q,0
66836,0,0,0,66836,1,/m/085rlf,0
66326,0,0,0,66326,1,/m/0j9ljwz,0
65719,183,0,0,65536,1,/m/012xdf,0.002784583
65249,0,0,0,65249,1,/m/02vwjsl,0
64050,0,0,0,64050,1,/m/05cb70,0
63887,0,0,0,63887,1,/m/03f7m4h,0
63313,0,0,0,63313,1,/m/0czdgp5,0
63276,181,0,0,63095,1,/m/09yhzs,0.002860484
62877,0,0,0,62877,1,/g/12321gy6,0
62668,0,0,0,62668,1,/m/0dq9wx,0
62463,0,0,0,62463,1,/m/08sry2,0
62106,0,0,0,62106,1,/m/047sxrj,0
61543,0,0,0,61543,1,/m/0fphspm,0
61288,34004,1,0,27284,0,/m/06qjgc,0.55482313
61023,0,0,0,61023,1,/m/02p452,0
58847,0,0,0,58847,1,/m/09h4b5,0
58668,0,0,0,58668,1,/m/0chw_,0
58465,0,0,0,58465,1,/m/0bs6hr,0
58424,0,0,0,58424,1,/m/02crc4,0
58262,0,0,0,58262,1,/m/0gx70k,0
