total_weight	filled_weight	filled_entities	unsupported_entities	empty_weight	empty_entities	mid	coverage
176172.0	0.0	0	0	176172.0	1	/m/02q6nc4	0.0
123308.0	0.0	0	0	123308.0	1	/m/0300jn	0.0
120385.0	0.0	0	0	120385.0	1	/m/06k3_t	0.0
114594.0	0.0	0	0	114594.0	1	/m/02r8mqf	0.0
104062.0	0.0	0	0	104062.0	1	/m/0bdxs5	0.0
90319.0	0.0	0	0	90319.0	1	/m/0djpnw	0.0
86866.0	0.0	0	0	86866.0	1	/m/0hn8t6m	0.0
86297.0	0.0	0	0	86297.0	1	/m/034_bc	0.0
82341.0	0.0	0	0	82341.0	1	/m/0b3p9c	0.0
79164.0	0.0	0	0	79164.0	1	/m/04cr6qv	0.0
78433.0	0.0	0	0	78433.0	1	/m/047sxrj	0.0
77577.0	0.0	0	0	77577.0	1	/m/06h_sg	0.0
68412.0	0.0	0	0	68412.0	1	/m/01w_24q	0.0
63887.0	0.0	0	0	63887.0	1	/m/03f7m4h	0.0
62877.0	0.0	0	0	62877.0	1	/g/12321gy6	0.0
62463.0	0.0	0	0	62463.0	1	/m/08sry2	0.0
61543.0	0.0	0	0	61543.0	1	/m/0fphspm	0.0
58668.0	0.0	0	0	58668.0	1	/m/0chw_	0.0
58656.0	0.0	0	0	58656.0	1	/m/044mfr	0.0
58468.0	0.0	0	0	58468.0	1	/m/02s_qz	0.0
56775.0	0.0	0	0	56775.0	1	/m/03wfpjd	0.0
54609.0	0.0	0	0	54609.0	1	/m/07myb2	0.0
53210.0	0.0	0	0	53210.0	1	/m/0gfg50n	0.0
52529.0	0.0	0	0	52529.0	1	/m/0273sth	0.0
50922.0	0.0	0	0	50922.0	1	/m/048lv	0.0
49776.0	0.0	0	0	49776.0	1	/m/06p426	0.0
47768.0	0.0	0	0	47768.0	1	/m/09h5m9	0.0
47564.0	0.0	0	0	47564.0	1	/m/02q0sw8	0.0
47425.0	0.0	0	0	47425.0	1	/m/0h96rwf	0.0
47138.0	0.0	0	0	47138.0	1	/m/027mj37	0.0
46161.0	0.0	0	0	46161.0	1	/g/121d1tr4	0.0
45515.0	0.0	0	0	45515.0	1	/m/011zd3	0.0
45147.0	0.0	0	0	45147.0	1	/m/0501yh	0.0
45069.0	0.0	0	0	45069.0	1	/m/0fpg8_p	0.0
45068.0	0.0	0	0	45068.0	1	/m/0ndskr8	0.0
44641.0	0.0	0	0	44641.0	1	/m/01wmxfs	0.0
44601.0	0.0	0	0	44601.0	1	/m/038rzr	0.0
42436.0	0.0	0	0	42436.0	1	/m/02tn8j	0.0
42099.0	0.0	0	0	42099.0	1	/m/0h7q7b	0.0
41724.0	0.0	0	0	41724.0	1	/m/02n8yh	0.0
41498.0	0.0	0	0	41498.0	1	/m/04jswm8	0.0
40979.0	0.0	0	0	40979.0	1	/m/07kt8k	0.0
40268.0	0.0	0	0	40268.0	1	/m/0479b	0.0
39665.0	0.0	0	0	39665.0	1	/m/04yfh	0.0
37653.0	0.0	0	0	37653.0	1	/m/0517_k	0.0
37310.0	0.0	0	0	37310.0	1	/m/045m1_	0.0
36905.0	0.0	0	0	36905.0	1	/m/08cpnf	0.0
35972.0	0.0	0	0	35972.0	1	/m/02xt6q	0.0
35948.0	0.0	0	0	35948.0	1	/m/0cdys8	0.0
35851.0	0.0	0	0	35851.0	1	/m/02ktrs	0.0
35836.0	0.0	0	0	35836.0	1	/m/0693l	0.0
35643.0	0.0	0	0	35643.0	1	/m/02kddt	0.0
35121.0	0.0	0	0	35121.0	1	/m/0ds2dyh	0.0
33748.0	0.0	0	0	33748.0	1	/m/01338h	0.0
40706.0	7111.0	0	0	33595.0	1	/m/021m7h	0.174691691643
33345.0	0.0	0	0	33345.0	1	/m/0296q2	0.0
33287.0	0.0	0	0	33287.0	1	/m/021yw7	0.0
32436.0	0.0	0	0	32436.0	1	/m/076zf_q	0.0
32043.0	0.0	0	0	32043.0	1	/m/0fd6sd	0.0
31812.0	0.0	0	0	31812.0	1	/m/01pgk0	0.0
31570.0	0.0	0	0	31570.0	1	/m/01yr6t	0.0
31416.0	0.0	0	0	31416.0	1	/m/024rrk	0.0
29792.0	0.0	0	0	29792.0	1	/m/071s9m	0.0
29596.0	0.0	0	0	29596.0	1	/m/05wm88	0.0
29344.0	0.0	0	0	29344.0	1	/m/02qw7l2	0.0
28951.0	0.0	0	0	28951.0	1	/m/095xc0	0.0
28789.0	0.0	0	0	28789.0	1	/m/064k68_	0.0
28375.0	0.0	0	0	28375.0	1	/m/01gkmx	0.0
28344.0	0.0	0	0	28344.0	1	/m/0dvmd	0.0
28254.0	0.0	0	0	28254.0	1	/m/0dkg24	0.0
28074.0	0.0	0	0	28074.0	1	/m/016pns	0.0
28071.0	0.0	0	0	28071.0	1	/m/0fg6cv	0.0
27946.0	0.0	0	0	27946.0	1	/m/02qssrm	0.0
27650.0	0.0	0	0	27650.0	1	/m/03f0wz3	0.0
27338.0	0.0	0	0	27338.0	1	/m/07sjb6	0.0
61288.0	34004.0	1	0	27284.0	0	/m/06qjgc	0.55482313014
27249.0	0.0	0	0	27249.0	1	/m/05mzqkq	0.0
26661.0	0.0	0	0	26661.0	1	/m/01p7ws5	0.0
26053.0	0.0	0	0	26053.0	1	/m/02qt_x0	0.0
25901.0	0.0	0	0	25901.0	1	/m/0fpwlg	0.0
25444.0	0.0	0	0	25444.0	1	/m/0dq4hn	0.0
25184.0	0.0	0	0	25184.0	1	/m/0gxrc1	0.0
25060.0	0.0	0	0	25060.0	1	/m/03f0qd7	0.0
24905.0	0.0	0	0	24905.0	1	/g/1233fzz4	0.0
24675.0	0.0	0	0	24675.0	1	/m/0j9m4vm	0.0
24598.0	0.0	0	0	24598.0	1	/m/0cc8crh	0.0
24182.0	0.0	0	0	24182.0	1	/m/0ndskm6	0.0
24166.0	0.0	0	0	24166.0	1	/m/04ydywl	0.0
23881.0	0.0	0	0	23881.0	1	/m/03m6_z	0.0
23628.0	0.0	0	0	23628.0	1	/m/0f1lfn	0.0
22960.0	0.0	0	0	22960.0	1	/m/0h97nl2	0.0
22511.0	0.0	0	0	22511.0	1	/m/027k3cy	0.0
22405.0	0.0	0	0	22405.0	1	/m/0bgrs7	0.0
22309.0	0.0	0	0	22309.0	1	/m/07s6t9b	0.0
21966.0	0.0	0	0	21966.0	1	/m/05n7g4	0.0
21891.0	0.0	0	0	21891.0	1	/m/091d2_	0.0
21832.0	0.0	0	0	21832.0	1	/m/09gn6xm	0.0
21568.0	0.0	0	0	21568.0	1	/m/05jgf0	0.0
21549.0	0.0	0	0	21549.0	1	/m/01l72d6	0.0
21490.0	0.0	0	0	21490.0	1	/m/02qpz4p	0.0
