mid,coverage,filled_entities,unsupported_entities,empty_entities,empty_weight,total_weight,filled_weight
/m/02q6nc4,0.0,0,0,1,224031.0,224031.0,0.0
/m/078pfr,0.0,0,0,1,152082.0,152082.0,0.0
/m/02r8mqf,0.0,0,0,1,128364.0,128364.0,0.0
/m/03wfpjd,0.0,0,0,1,122540.0,122540.0,0.0
/m/02kddt,0.0,0,0,1,119644.0,119644.0,0.0
/m/0bdxs5,0.0,0,0,1,108573.0,108573.0,0.0
/m/06k3_t,0.0,0,0,1,94928.0,94928.0,0.0
/m/0hn8t6m,0.0,0,0,1,87569.0,87569.0,0.0
/m/034_bc,0.0,0,0,1,85624.0,85624.0,0.0
/m/0300jn,0.0,0,0,1,84650.0,84650.0,0.0
/m/0djpnw,0.0,0,0,1,79064.0,79064.0,0.0
/m/08cpnf,0.0,0,0,1,65800.0,65800.0,0.0
/m/03f7m4h,0.0,0,0,1,65613.0,65613.0,0.0
/g/12321gy6,0.0,0,0,1,63807.0,63807.0,0.0
/m/047sxrj,0.0,0,0,1,62106.0,62106.0,0.0
/m/09h5m9,0.0,0,0,1,60079.0,60079.0,0.0
/m/0chw_,0.0,0,0,1,59775.0,59775.0,0.0
/m/0bhvvf,0.0,0,0,1,58305.0,58305.0,0.0
/m/07myb2,0.0,0,0,1,57655.0,57655.0,0.0
/m/01w_24q,0.0,0,0,1,56277.0,56277.0,0.0
/m/0h1h46b,0.0,0,0,1,56195.0,56195.0,0.0
/m/01wmxfs,0.0,0,0,1,55266.0,55266.0,0.0
/m/02s_qz,0.0,0,0,1,54258.0,54258.0,0.0
/m/0gfg50n,0.0,0,0,1,51026.0,51026.0,0.0
/m/048lv,0.0,0,0,1,48697.0,48697.0,0.0
/m/0ndskr8,0.0,0,0,1,48221.0,48221.0,0.0
/m/027mj37,0.0,0,0,1,46751.0,46751.0,0.0
/m/0273sth,0.0,0,0,1,46700.0,46700.0,0.0
/m/0h7q7b,0.0,0,0,1,45296.0,45296.0,0.0
/m/071s9m,0.0,0,0,1,44918.0,44918.0,0.0
/m/06p426,0.0,0,0,1,43905.0,43905.0,0.0
/g/121d1tr4,0.0,0,0,1,43096.0,43096.0,0.0
/m/0h96rwf,0.0,0,0,1,42717.0,42717.0,0.0
/m/021m7h,0.172497078302,0,0,1,42484.0,51340.0,8856.0
/m/0693l,0.0,0,0,1,41215.0,41215.0,0.0
/m/0479b,0.0,0,0,1,40844.0,40844.0,0.0
/m/044mfr,0.0,0,0,1,39719.0,39719.0,0.0
/m/011zd3,0.0,0,0,1,39441.0,39441.0,0.0
/m/0fpg8_p,0.0,0,0,1,39340.0,39340.0,0.0
/m/02tn8j,0.0,0,0,1,39264.0,39264.0,0.0
