mid,coverage,filled_entities,unsupported_entities,empty_entities,empty_weight,total_weight,filled_weight
/m/01clpj,0.0,0,0,1,338782.0,338782.0,0.0
/m/01lmkt,0.0,0,0,1,305942.0,305942.0,0.0
/m/06ppd6,0.0,0,0,1,300414.0,300414.0,0.0
/m/02yzx9,0.0,0,0,1,297274.0,297274.0,0.0
/m/04sc1,0.0,0,0,1,287411.0,287411.0,0.0
/m/02qr8l,0.0,0,0,1,268415.0,268415.0,0.0
/m/0219j5,0.0,0,0,1,268108.0,268108.0,0.0
/m/02fvfb,0.0,0,0,1,267966.0,267966.0,0.0
/m/05h3j6,0.0,0,0,1,267329.0,267329.0,0.0
/m/0fx3s,0.0,0,0,1,254312.0,254312.0,0.0
/m/03r3h,0.0,0,0,1,237645.0,237645.0,0.0
/m/01l6z8,0.0,0,0,1,236323.0,236323.0,0.0
/m/05q1y,0.0,0,0,1,228798.0,228798.0,0.0
/m/02gbr5,0.0,0,0,1,228255.0,228255.0,0.0
/m/04nl71,0.0,0,0,1,209109.0,209109.0,0.0
/m/01k9cw,0.0,0,0,1,204590.0,204590.0,0.0
/m/011w5n,0.0,0,0,1,202600.0,202600.0,0.0
/m/030md9,0.0,0,0,1,202435.0,202435.0,0.0
/m/032n3z,0.0,0,0,1,200561.0,200561.0,0.0
/m/03t8j0,0.0,0,0,1,199182.0,199182.0,0.0
/m/0hqvxsj,0.0,0,0,1,195481.0,195481.0,0.0
/m/02k_rw,0.0,0,0,1,193279.0,193279.0,0.0
/m/05nrz,0.0,0,0,1,192979.0,192979.0,0.0
/m/07_71,0.0,0,0,1,185863.0,185863.0,0.0
/m/054yc0,0.0,0,0,1,182983.0,182983.0,0.0
/m/01trbt,0.0,0,0,1,182368.0,182368.0,0.0
/m/0hqw8pq,0.0,0,0,1,181521.0,181521.0,0.0
/m/02z428,0.0,0,0,1,176426.0,176426.0,0.0
/m/0f4ml,0.0,0,0,1,176090.0,176090.0,0.0
/m/02qpq,0.0,0,0,1,174348.0,174348.0,0.0
/m/031zs3,0.0,0,0,1,173751.0,173751.0,0.0
/m/06yvct,0.0,0,0,1,167287.0,167287.0,0.0
/m/04nyn1,0.0,0,0,1,163018.0,163018.0,0.0
/m/01_2s3,0.0,0,0,1,162791.0,162791.0,0.0
/m/01d65r,0.0,0,0,1,162534.0,162534.0,0.0
/m/0hqvh78,0.0,0,0,1,150381.0,150381.0,0.0
/m/04kd1h6,0.0,0,0,1,146953.0,146953.0,0.0
/m/02hx9d,0.0,0,0,1,146150.0,146150.0,0.0
/m/01hgfy,0.0,0,0,1,140260.0,140260.0,0.0
/m/01zww4,0.0,0,0,1,131198.0,131198.0,0.0
/m/01jjmt,0.0,0,0,1,130446.0,130446.0,0.0
/m/02_0mv,0.0,0,0,1,128698.0,128698.0,0.0
/m/0x8qr,0.0,0,0,1,126131.0,126131.0,0.0
/m/03pnl6,0.0,0,0,1,124945.0,124945.0,0.0
/m/017b40,0.0,0,0,1,124044.0,124044.0,0.0
/m/01kcsd,0.0,0,0,1,123652.0,123652.0,0.0
/m/0hk9b,0.0,0,0,1,123406.0,123406.0,0.0
/m/02sff3,0.0,0,0,1,119645.0,119645.0,0.0
/m/04lr99,0.0,0,0,1,117702.0,117702.0,0.0
/m/039ztp,0.0,0,0,1,117429.0,117429.0,0.0
/m/02mx2z,0.0,0,0,1,115508.0,115508.0,0.0
/m/0d2_s8,0.0,0,0,1,114628.0,114628.0,0.0
/m/0217g,0.0,0,0,1,113829.0,113829.0,0.0
/m/035wxl,0.0,0,0,1,113513.0,113513.0,0.0
/m/03g21c,0.0,0,0,1,111631.0,111631.0,0.0
/m/03xp6d,0.0,0,0,1,111266.0,111266.0,0.0
/m/0lbt3,0.0,0,0,1,109199.0,109199.0,0.0
/m/04mdzq,0.0,0,0,1,108855.0,108855.0,0.0
/m/019bj7,0.0,0,0,1,105156.0,105156.0,0.0
/m/0187ml,0.0,0,0,1,104784.0,104784.0,0.0
/m/04nv0k,0.0,0,0,1,104675.0,104675.0,0.0
/m/073zsk,0.0,0,0,1,104022.0,104022.0,0.0
/m/02pp41h,0.0,0,0,1,103847.0,103847.0,0.0
/m/0f4jp,0.0,0,0,1,102897.0,102897.0,0.0
/m/019bht,0.0,0,0,1,99212.0,99212.0,0.0
/m/04nl3c,0.0,0,0,1,98454.0,98454.0,0.0
/m/01q2jc,0.0,0,0,1,97637.0,97637.0,0.0
