United States Dollar,Δολάριο ΗΠΑ,/m/09nqf,192031
Nation,Έθνος,/m/05gf5,191337
Sun,Ήλιος,/m/06m_p,191301
Hentai,Χεντάι,/m/03p67,191186
Tile,Κεραμικά πλακάκια,/m/021w6f,190653
National Technical University of Athens,Εθνικό Μετσόβιο Πολυτεχνείο,/m/042vm1,190398
Crochet,Πλέξιμο με βελονάκι,/m/0230w,190255
Month,Μήνας,/m/053jb,190240
easyJet,EasyJet,/m/018mxj,189907
Squash,Κολοκυθιά,/m/0dv77,189762
Chef,Σεφ,/m/01pn0r,189632
Football Manager,Football Manager,/m/02cvrk,189535
Eggplant,Μελιτζάνα,/m/0cdk2,189441
Comedy,Κωμωδία,/m/05p553,188966
Macintosh,Macintosh,/m/0zd6,188074
Government Gazette,Εφημερίς της Κυβερνήσεως,/m/02qjw2b,187527
Truck,Φορτηγό,/m/07r04,186811
Fiat Automobiles,Όμιλος Fiat,/m/04n3_w4,186645
The Vampire Diaries - Season 4,The Vampire Diaries,/m/0jzynzg,186458
USB,USB,/m/07wcf,185885
Engineering,Μηχανική,/m/02ky346,185868
Apple,Μήλο,/m/014j1m,185270
Mytilene,Μυτιλήνη,/m/018t8t,184804
Football League,Β΄ Εθνική ποδοσφαίρου ανδρών,/m/0dg6fx,184751
Paper,Χαρτί,/m/0641k,184707
Alpha Bank,Alpha Bank,/m/02jxd1,184480
Capsicum,Πιπεριά,/m/0fjfh,184379
Agia Paraskevi,Αγία Παρασκευή Αττικής,/m/02fygk,184357
Gymnastics,Γυμναστική,/m/0397w,184070
Concert,Συναυλία,/m/01jddz,183960
Marathon,Μαραθώνιος,/m/0d38m,183888
Scrooge McDuck,Σκρουτζ Μακ Ντακ,/m/078m1,182947
Design,Σχεδιασμός,/m/02cwm,182630
Ilion,Ίλιον Αττικής,/m/05hvgj,181777
Architecture,Αρχιτεκτονική,/m/03nfmq,181316
Compact disc,Compact Disc,/m/01www,180991
Ministry,Υπουργείο,/m/03h_j_,180681
Hellenic Parliament,Βουλή των Ελλήνων,/m/07dy5n,180606
Rabbit,Κουνέλι,/m/06mf6,180351
Metal,Μέταλλα,/m/04t7l,180260
Foot,Πόδι,/m/01crvy,179707
Soup,Σούπα,/m/01z1m1x,179636
Delta,Δέλτα,/m/028bq,179593
Romania,Ρουμανία,/m/06c1y,179512
Tea,Τσάι,/m/07clx,179437
Law,Δίκαιο,/m/04gb7,179269
Palaio Faliro,Παλαιό Φάληρο,/m/059q4y,179165
Light-emitting diode,Δίοδος Εκπομπής Φωτός,/m/04myn,179058
Price,Τιμή,/m/01d_1l,178608
The Smurfs,Στρουμφάκια,/m/01nw2sm,178584
Computer Science,Επιστήμη Υπολογιστών,/m/01mkq,178166
FIFA World Cup,Παγκόσμιο Κύπελλο Ποδοσφαίρου,/m/030q7,178088
Sto Para Pente,Στο Παρά 5,/m/0cpnr5,178074
Prophet,Προφήτης,/m/066dv,177625
Chalkidiki,Χαλκιδική,/m/02c9pm,177252
Glasses,Γυαλιά,/m/0jyfg,176969
Greece national basketball team,Εθνική Ελλάδας,/m/08vgm5,176802
Lineage II,Lineage II,/m/04tdsp,176602
Heat,Θερμότητα,/m/03k2v,176165
Fixed-wing aircraft,Αεροπλάνο,/m/0cmf2,176094
Fellatio,Πεολειχία,/m/02p0r36,176087
Paris Saint-Germain F.C.,Παρί Σεν Ζερμέν,/m/01_1kk,175975
Anime,Άνιμε,/m/0jxy,175352
September,Σεπτέμβριος,/m/06vkl,175112
Opel,Opel,/m/05kzl,174936
Mykonos,Μύκονος,/m/02gtbh,174621
Ergotelis F.C.,Γ.Σ. Εργοτέλης,/m/0dg6tr,174477
Latremenoi Mou Geitones,Λατρεμένοι μου γείτονες,/m/03m9npp,174246
PayPal,PayPal,/m/01btsf,173703
Angry Birds,Angry Birds,/m/0nb7ylv,173542
OFI Crete,Όμιλος Φιλάθλων Ηρακλείου,/m/06ylv0,173116
Laser,Λέιζερ,/m/04gh1,172307
"Portes, Achaea",Πόρτες Αχαΐας,/m/02vy7sx,172302
Science,Επιστήμη,/m/06mq7,172001
Semen,Σπέρμα,/m/0744p,171720
Dancing with the Stars,Dancing with the Stars,/m/0bh7kw3,171643
Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,/m/02hk9c,171618
