name_en,translation,mid,frequency
Greece,Ελλάδα,/m/035qy,14229660
Pornography,Πορνογραφία,/m/0f0jjz,12569112
Film,Κινηματογράφος,/m/02vxn,8757251
Facebook,Facebook,/m/02y1vz,8041614
Greek Language,Ελληνική γλώσσα,/m/0349s,7694846
YouTube,YouTube,/m/09jcvs,7211505
Thessaloniki,Θεσσαλονίκη,/m/0b2mc,6583686
Game,Παιχνίδι,/m/034s7,5654805
Sexual intercourse,Συνουσία,/m/06vp9,5467325
Television,Τηλεόραση,/m/07c52,5459688
Athens,Αθήνα,/m/0n2z,4963562
Automobile,Αυτοκίνητο,/m/0k4j,4613444
Google,Google,/m/045c7b,3412309
Hotel,Ξενοδοχείο,/m/03pty,3156653
Weather,Καιρός,/m/0866r,2980302
Translation,Μετάφραση,/m/07h26,2514754
Map,Χάρτης,/m/04_tb,2441913
Computer program,Πρόγραμμα υπολογιστή,/m/01r9v,2394360
Shoe,Παπούτσι,/m/06rrc,2242411
Radio,Ραδιόφωνο,/m/06bz3,2187922
Outlook.com,Hotmail,/m/0288nsm,2025658
Cyprus,Κύπρος,/m/01ppq,2022627
Yahoo! Mail,Yahoo! Mail,/m/02_7q2,2003239
Gmail,Gmail,/m/02q_bk,1970311
ANT1,ΑΝΤ1,/m/01x2yk,1892538
Patras,Πάτρα,/m/02dflv,1877910
Pregnancy,Εγκυμοσύνη,/m/05vqh7,1828308
Yahoo!,Yahoo!,/m/019rl6,1755431
Olympiacos F.C.,Ολυμπιακός Σύνδεσμος Φιλάθλων Πειραιώς,/m/0hqzm6r,1750335
OPAP,Οργανισµός Προγνωστικών Αγώνων Ποδοσφαίρου,/m/04gh4st,1708314
Video game,Βιντεοπαιχνίδι,/m/01mw1,1643099
Meteorology,Μετεωρολογία,/m/04__y,1593360
Football,Ποδόσφαιρο,/m/02vx4,1571743
Mega Channel,Mega Channel,/m/01x3cf,1556350
Book,Βιβλίο,/m/0bt_c3,1471273
BitTorrent,BitTorrent,/m/01jp81,1447367
Dog,Σκύλος,/m/0bt9lr,1443456
Sports,Αθλητισμός,/m/06ntj,1435805
Bank,Τράπεζα,/m/017ql,1426884
iPhone,iPhone,/m/027lnzs,1362682
Furniture,Έπιπλο,/m/0c_jw,1311650
PAOK FC,Π.Α.Ο.Κ.,/m/03lx_t,1249707
KTEL,Κοινά Ταμεία Εισπράξεων Λεωφορείων,/m/0h568q3,1206932
Samsung Group,Samsung,/m/07gv72,1198814
Piraeus,Πειραιάς,/m/0p7c3,1194459
Song,Τραγούδι,/m/074ft,1193525
Television program,Τηλεοπτικό πρόγραμμα,/m/0f2f9,1186757
Astrological sign,Ζώδιο,/m/0h6434d,1175257
School,Σχολείο,/m/06zdj,1174136
English Language,Αγγλική γλώσσα,/m/02h40lc,1170088
Microsoft Windows,Microsoft Windows,/m/04r_8,1135088
Apple,Apple,/m/0k8z,1133291
University,Πανεπιστήμιο,/m/07tf8,1117058
Larissa,Λάρισα,/m/04pgb,1079105
Marriage,Γάμος,/m/04ztj,1057528
Dictionary,Λεξικό,/m/026n0,1050604
OTE,Οργανισμός Τηλεπικοινωνιών Ελλάδος,/m/02clbj,1045812
Base,Βάση,/m/011j14,1035677
Photography,Φωτογραφία,/m/05wkw,1024722
Golden Dawn,Χρυσή Αυγή,/m/067hck,1013499
Wikipedia,Βικιπαίδεια,/m/0d07ph,993983
Heraklion,Ηράκλειο Κρήτης,/m/0g87b,993284
MP3,MP3,/m/04zc0,988068
Earthquake,Σεισμός,/m/02r97,985307
gr,.gr,/m/04ks97,972610
Ta Nea,Τα Νέα,/m/0g9h72,972339
Chicken,Όρνιθα,/m/09b5t,971778
Theatre,Θέατρο,/m/03qsdpk,958616
Greek Wikipedia,Ελληνική Βικιπαίδεια,/m/08ljw_,957295
Ioannina,Ιωάννινα,/m/01s2f4,947214
League of Legends,League of Legends,/m/04n3w2r,946303
Newspaper,Εφημερίδα,/m/05jnl,941880
Hospital,Νοσοκομείο,/m/0hpnr,937095
Crete,Κρήτη,/m/01xyy,927948
Mathematics,Μαθηματικά,/m/04rjg,914269
Woman,Γυναίκα,/m/082lw,908877
E-mail,Ηλεκτρονικό ταχυδρομείο,/m/02nf_,903686
Bicycle,Ποδήλατο,/m/0199g,898030
Panathinaikos FC,Παναθηναϊκός,/m/025rpyx,895679
Language,Γλώσσα,/m/04g7d,895596
Gay,Ομοφυλόφιλος,/m/0d63kt,893551
Android,Android,/m/02wxtgw,882205
The Internet,Διαδίκτυο,/m/03rlt,874165
Basketball,Καλαθοσφαίριση,/m/018w8,874011
Anal sex,Πρωκτικό σεξ,/m/0zp7,847720
Music,Μουσική,/m/04rlf,823736
Christmas,Χριστούγεννα,/m/01vq3,819687
Website,Ιστότοπος,/m/085n4,817499
Alpha TV,Alpha TV,/m/02gjx1,813626
Lesbian,Λεσβία,/m/04jjy,810040
Ancient Greek,Αρχαία ελληνική γλώσσα,/m/01307m,808761
Lyceum,Λύκειο,/m/02l_yw,807591
Pizza,Πίτσα,/m/0663v,801109
Wood,Ξύλο,/m/083vt,789389
Education,Εκπαίδευση,/m/02jfc,785250
Star Channel,Star Channel,/m/01z2jb,781807
Superleague Greece,Πρωτάθλημα Ελλάδας ποδοσφαίρου ανδρών,/m/06tvmx,768954
Volos,Βόλος,/m/026nwr,764554
Telephone,Τηλέφωνο,/m/07cx4,760519
Love,Αγάπη,/m/048knlz,758456
Olympiacos CFP,Ολυμπιακός Σύνδεσμος Φιλάθλων Πειραιώς,/m/03bx1n4,752685
Thessaloniki,Νομός Θεσσαλονίκης,/m/05qp8_,752617
Color,Χρώμα,/m/01sdr,747203
Calorie,Θερμίδα,/m/01wv2,737467
Online shopping,Ηλεκτρονικά καταστήματα,/m/047m52,727424
Restaurant,Εστιατόριο,/m/06l8d,726068
Adolescence,Εφηβεία,/m/0ldpy,724593
The Pirate Bay,The Pirate Bay,/m/066fvd,717570
Skai Group,ΣΚΑΪ,/m/065ydxc,715621
History,Ιστορία,/m/03g3w,714423
Skai TV,ΣΚΑΪ Τηλεόραση,/m/08hykh,693600
A.E.K. Athens F.C.,ΑΕΚ Αθηνών,/m/03x6rj,689253
Dukan Diet,Δίαιτα Ντουκάν,/m/0gg57hp,680877
Chocolate,Σοκολάτα,/m/020vl,680461
Radio broadcasting,Ραδιοφωνικός σταθμός,/m/017b6g,674652
Coffee,Καφές,/m/02vqfm,673938
Company,Εταιρεία,/m/03bxgrp,664214
Mobile phone,Κινητό τηλέφωνο,/m/050k8,661060
Nova Sports,Novasports,/m/0bhdd0,658451
Village,Χωριό,/m/0f0q9,658404
Chania,Χανιά,/m/0g86h,650931
Greeks,Έλληνες,/m/0jt85pd,650734
Alpha,Άλφα,/m/0l17,640886
Cosmote,Cosmote,/m/02rcjd0,640197
Personal computer,Προσωπικός υπολογιστής,/m/0643t,633817
Food,Τροφή,/m/02wbm,629310
Physician,Γιατρός,/m/05t4q,625921
Motorcycle,Μοτοσικλέτα,/m/04_sv,624293
Dance,Χορός,/m/026bk,623834
National and Kapodistrian University of Athens,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,/m/09b_0m,622730
Gymnasium,Γυμνάσιο,/m/01fs_k,622185
Species,Είδος,/m/06zf0,621874
Zara,Ζάρα,/m/044_xs,618436
Attica,Αττική,/m/01s29d,610303
Public Power Corporation of Greece,Δημόσια Επιχείρηση Ηλεκτρισμού,/m/060425,607132
Sony Corporation,Sony,/m/06q07,594281
Laïko,Λαϊκό τραγούδι,/m/07cf30,588001
Aristotle University of Thessaloniki,Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,/m/03564p,583695
Oven,Φούρνος,/m/029bxz,580660
Athens Metro,Μετρό Αθήνας,/m/027pjc,575417
Free software,Ελεύθερο λογισμικό,/m/02w7h,574770
Water,Νερό,/m/0838f,572813
Word,Λέξη,/m/052jhp,567435
Euro,Ευρώ,/m/02l6h,567350
Physics,Φυσική,/m/05qjt,564266
Rhodes,Ρόδος,/m/06ky_,557872
Windows 7,Windows 7,/m/05_30hd,552560
Computer,Ηλεκτρονικός υπολογιστής,/m/074j35,551636
Grand Theft Auto,Grand Theft Auto,/m/04w8jw,544746
Saint,Άγιος,/m/0719f,542232
IKEA,IKEA,/m/03tb1,540901
Skype,Skype,/m/026wfg,540118
Twitter,Twitter,/m/0289n8t,525596
Joke,Ανέκδοτο,/m/044pp,523945
Child,Παιδί,/m/0ytgt,523810
Internet Movie Database,Internet Movie Database,/m/0873c4,522764
Pain,Πόνος,/m/062t2,520485
News,Ειδησεογραφία,/m/05jhg,517761
Jumbo S.A.,Jumbo ΑΕΕ,/m/02rd5rq,514967
Hellenic National Meteorological Service,Εθνική Μετεωρολογική Υπηρεσία,/m/0n_dzx_,514412
Museum,Μουσείο,/m/09cmq,512622
Image,Εικόνα,/m/0jg24,511929
Machine,Μηχανή,/m/0dkw5,510058
Poetry,Ποίηση,/m/05qgc,509569
Real Madrid C.F.,Ρεάλ Μαδρίτης,/m/06l22,498963
Clothing,Ένδυση,/m/09j2d,498189
Breast,Μαστός,/m/01fpr,491186
Vodafone Group Plc,Vodafone,/m/02d6ph,484592
Potato,Πατάτα,/m/05vtc,482887
Ornament,Διακόσμηση,/m/05ykl4,482742
Pornographic actor,Ηθοποιός πορνογραφικών ταινιών,/m/0g7nc,482712
Tourism,Τουρισμός,/m/07bxq,481704
Cancer,Καρκίνος,/m/0qcr0,479971
National Bank of Greece,Εθνική Τράπεζα της Ελλάδος,/m/01sp7q,477928
Julia Alexandratou,Τζούλια Αλεξανδράτου,/m/0d3pyk,476753
Glyfada,Γλυφάδα,/m/02q868,474764
Penis,Πέος,/m/070qfw,474731
Synonym,Συνώνυμο,/m/0hqj_,474306
Europe,Ευρώπη,/m/02j9z,474249
Milk,Γάλα,/m/04zpv,464546
Strike action,Απεργία,/m/0149p3,464100
Petroleum,Πετρέλαιο,/m/05r_j,462805
Hellenic Railways Organisation,Οργανισμός Σιδηροδρόμων Ελλάδας,/m/050d3w,462032
Bed,Κρεβάτι,/m/03ssj5,461964
Prefectures of Greece,Νομοί της Ελλάδας,/m/0vsy65m,461874
Art,Τέχνη,/m/0jjw,461806
Party,Πάρτι,/m/05_4_,461564
Medicine,Ιατρική,/m/04sh3,460037
Trikala,Τρίκαλα,/m/01s2h1,459605
Olympiacos B.C.,Ολυμπιακός,/m/0fw9vx,458101
Corfu,Κέρκυρα,/m/0cc3d,457455
Eye,Μάτι,/m/014sv8,450906
-logy,-λογία,/m/0h24g,449821
Peristeri,Περιστέρι Αττικής,/m/0311wx,449133
Airport,Αεροδρόμιο,/m/09cjl,445696
Klemmena oneira,Κλεμμένα όνειρα,/m/0vxf1wf,441846
Proto Thema,Πρώτο Θέμα,/m/0cbjp3,440820
Kalamata,Καλαμάτα,/m/03f_dg,439027
Ancient Greece,Αρχαία Ελλάδα,/m/0hkt6,437929
Primary school,Δημοτικό σχολείο,/m/068bs,437035
Ship,Πλοίο,/m/06q74,436900
Xanthi,Ξάνθη,/m/02c9wr,434744
Week,Εβδομάδα,/m/083sl,434475
Adidas,Adidas,/m/01jtml,434395
A.E.K.,Αθλητική Ένωση Κωνσταντινουπόλεως,/m/0cz2dm,434230
Chalandri,Χαλάνδρι,/m/02fyg6,432665
Paideia,Παιδεία,/m/02rqct,425809
Plant,Φυτό,/m/05s2s,425391
Eleni Menegaki,Ελένη Μενεγάκη,/m/02hrmp,424597
Kindergarten,Νηπιαγωγείο,/m/01ft5b,424596
Hellenic Post,Ελληνικά Ταχυδρομεία,/m/03qclgy,424354
Lidl,Lidl,/m/01qlgk,423768
