question,question_text,answer,answer_text,weight
/m/0fn8jc,Cory Monteith,/m/01tf_6,Drug overdose,861537.0
/m/049fxsr,Kidd Kraddick,/m/0gg4h,Cardiac arrest,350682.0
/m/099d4,Bruce Lee,/m/0219bz,Cerebral edema,274292.0
/m/0bkf4,Bob Marley,/m/046wcr,Acral lentiginous melanoma,163519.0
/m/02jq1,Elvis Presley,/m/0gk4g,Myocardial infarction,100908.0
/m/0168dy,Brittany Murphy,/m/0gg4h,Cardiac arrest,86080.0
/m/0168dy,Brittany Murphy,/m/0dq9p,Pneumonia,86080.0
/m/0168dy,Brittany Murphy,/m/0lcdk,Anemia,86080.0
/m/0237fw,Heath Ledger,/m/01tf_6,Drug overdose,80369.0
/m/01pq5j7,Amy Winehouse,/m/02794,Alcohol intoxication,70419.0
/m/0d_t5,Harry Houdini,/m/011zdm,Peritonitis,61465.0
/m/027qj1x,Henry Bromell,/m/0gk4g,Myocardial infarction,55251.0
/m/06y3r,Steve Jobs,/m/03c4yw,Insulinoma,53656.0
/m/0443c,Jackie Robinson,/m/0gk4g,Myocardial infarction,52391.0
/m/01q7c7,James Hunt,/m/0gk4g,Myocardial infarction,47035.0
/m/0w83rt8,Talia Castellano,/m/0qcr0,Cancer,43494.0
/m/02q5kny,Bess Houdini,/m/0gk4g,Myocardial infarction,41123.0
/m/07pzc,Tupac Shakur,/m/019dmc,Respiratory failure,30499.0
/m/086qd,Whitney Houston,/m/01g27f,Drowning,28537.0
/m/086qd,Whitney Houston,/m/01s1m,Coronary artery disease,28537.0
/m/01vsy3q,Jimi Hendrix,/m/01tf_6,Drug overdose,27310.0
/m/015qh4,Hank Williams,/m/01tf_6,Drug overdose,25542.0
/m/01w9s2,Nate Dogg,/m/0gk4g,Myocardial infarction,23216.0
/m/044js,Jawaharlal Nehru,/m/0gk4g,Myocardial infarction,22541.0
/m/044js,Jawaharlal Nehru,/m/02y0js,Stroke,22541.0
/m/09889g,Michael Jackson,/m/0gg4h,Cardiac arrest,21904.0
/m/0dcj3s,Christian Benítez,/m/01l2m3,Heart failure,21633.0
/m/01sm71,Eddie Guerrero,/m/01l2m3,Heart failure,20891.0
/m/05xqly,Jeanne Cooper,/m/0gzv0,Chronic Obstructive Pulmonary Disease,19167.0
/m/03dkdb,Dennis Farina,/m/01ddth,Pulmonary embolism,18658.0
/m/01z7_f,James Gandolfini,/m/0gk4g,Myocardial infarction,18458.0
/m/03f14t3,Liberace,/m/0d19y2,AIDS,18138.0
/m/034rd,George Washington,/m/0dq9p,Pneumonia,17942.0
/m/07hcc,Tutankhamun,/m/0542n,Malaria,17789.0
/m/012cj0,Steve McQueen,/m/0gk4g,Myocardial infarction,17415.0
/m/012cj0,Steve McQueen,/m/01s1pg,Mesothelioma,17415.0
/m/04jswm8,Jay Moriarty,/m/01g27f,Drowning,17271.0
/m/02lj6p,Bernie Mac,/m/0dq9p,Pneumonia,17182.0
/m/02lt8,Edgar Allan Poe,/m/012jc,Alcoholism,17107.0
/m/02lt8,Edgar Allan Poe,/m/07jwr,Tuberculosis,17107.0
/m/01kyn0,Corey Haim,/m/01tf_6,Drug overdose,16861.0
/m/01kyn0,Corey Haim,/m/0dq9p,Pneumonia,16861.0
/m/0jcx,Albert Einstein,/m/03g23y,Abdominal aortic aneurysm,16466.0
/m/0g10g,Judy Garland,/m/0f1pz,Barbiturate,15932.0
/m/0g10g,Judy Garland,/m/01tf_6,Drug overdose,15932.0
/m/024vm5,Roger Miller,/m/0c6m7s,Throat cancer,15766.0
/m/024vm5,Roger Miller,/m/04p3w,Lung cancer,15766.0
/m/0hwfl,Anna Nicole Smith,/m/01tf_6,Drug overdose,15502.0
/m/02lkcc,Michael Clarke Duncan,/m/019dmc,Respiratory failure,15447.0
/m/02lkcc,Michael Clarke Duncan,/m/0gk4g,Myocardial infarction,15447.0
/m/03d9rk,Anne Frank,/m/0chw2,Epidemic typhus,15030.0
/m/01bss,Babe Ruth,/m/01k9gb,Esophageal cancer,14981.0
/m/01wf_p_,Eazy-E,/m/0d19y2,AIDS,14534.0
/m/014gr,Al Capone,/m/0dq9p,Pneumonia,14297.0
/m/014gr,Al Capone,/m/02y0js,Stroke,14297.0
/m/0jrg,Alexander the Great,/m/0cjf0,Fever,13584.0
/m/01vn0t_,Freddie Mercury,/m/0d19y2,AIDS,12092.0
/m/01vn0t_,Freddie Mercury,/m/0dq9p,Pneumonia,12092.0
/m/01nzz8,John Ritter,/m/01p3jd,Aortic dissection,11923.0
/m/01nzz8,John Ritter,/m/02k6hp,Cardiovascular disease,11923.0
/m/01w9ph_,Jim Morrison,/m/01l2m3,Heart failure,11811.0
/m/01w9ph_,Jim Morrison,/m/01tf_6,Drug overdose,11811.0
/m/03btn,Gia Carangi,/m/0d19y2,AIDS,11538.0
/m/0mfj2,John Candy,/m/0gk4g,Myocardial infarction,11194.0
/m/082db,Wolfgang Amadeus Mozart,/m/0259gp,Rheumatic fever,10229.0
/m/0dxvs,Muammar al-Gaddafi,/m/02qnd1b,Ballistic trauma,10129.0
/m/03yz2rv,Cass Elliot,/m/0gk4g,Myocardial infarction,9706.0
/m/01vxxqm,Ol' Dirty Bastard,/m/01l2m3,Heart failure,9499.0
/m/01vxxqm,Ol' Dirty Bastard,/m/01tf_6,Drug overdose,9499.0
/m/025sf_8,The Rev,/m/01tf_6,Drug overdose,9476.0
/m/0hk8j,Evel Knievel,/m/02pfs8g,Idiopathic pulmonary fibrosis,9420.0
/m/02h3tp,Patrick Swayze,/m/01_qc_,Pancreatic cancer,9269.0
/m/03lhwm,Derrick Thomas,/m/01ddth,Pulmonary embolism,9246.0
/m/03f2h01,Malcolm X,/m/02qnd1b,Ballistic trauma,9181.0
/m/012801,Chris Farley,/m/01tf_6,Drug overdose,9058.0
/m/012801,Chris Farley,/m/055pr,Morphine,9058.0
/m/015076,River Phoenix,/m/01tf_6,Drug overdose,8897.0
/m/015076,River Phoenix,/m/01l2m3,Heart failure,8897.0
/m/044f7,Jim Henson,/m/0dq9p,Pneumonia,8829.0
/m/044f7,Jim Henson,/m/03v4ny,Bacterial pneumonia,8829.0
/m/044f7,Jim Henson,/m/014w_8,Sepsis,8829.0
/m/036pg,Gary Coleman,/m/03znn1,Epidural hematoma,8605.0
/m/036pg,Gary Coleman,/m/08g5q7,Cerebral hemorrhage,8605.0
/m/0kc6,Andy Warhol,/m/01pf6,Cardiac arrhythmia,8565.0
/m/0bq1z,Grace Kelly,/m/02y0js,Stroke,8352.0
/m/081nh,Walt Disney,/m/04p3w,Lung cancer,7776.0
/m/0j5b8,Napoleon Bonaparte,/m/01mtqf,Stomach cancer,7627.0
/m/03xn54,Andy Irons,/m/0gk4g,Myocardial infarction,7626.0
/m/036drl,Christopher Johnson McCandless,/m/01flyj,Starvation,7351.0
/m/03hc3j,Dan Blocker,/m/01ddth,Pulmonary embolism,7319.0
/m/066027w,Manjula Vijayakumar,/m/01psyx,Renal failure,7113.0
/m/03_lf,Joseph Stalin,/m/02y0js,Stroke,7096.0
/m/05mg9,Osama bin Laden,/m/02qnd1b,Ballistic trauma,7035.0
/m/0dqcm,Audrey Hepburn,/m/0fb2z2,Appendix cancer,6927.0
/m/043gj,John Wayne,/m/01mtqf,Stomach cancer,6827.0
/m/01jggg,Pocahontas,/m/07jwr,Tuberculosis,6824.0
/m/01jggg,Pocahontas,/m/06vr2,Smallpox,6824.0
/m/01jggg,Pocahontas,/m/0dq9p,Pneumonia,6824.0
/m/01k_mc,Luther Vandross,/m/0gk4g,Myocardial infarction,6670.0
/m/0306_l,Reggie Lewis,/m/0gk4g,Myocardial infarction,6617.0
/m/02yy8,Franklin D. Roosevelt,/m/08g5q7,Cerebral hemorrhage,6550.0
/m/02hv0w,Bob Ross,/m/0jdk0,Lymphoma,6494.0
/m/019fz,Benjamin Franklin,/m/01vnwz,Pleurisy,6339.0
/m/03f1sjy,Greg Giraldo,/m/01tf_6,Drug overdose,6235.0
/m/01hmk9,Richard Pryor,/m/0gk4g,Myocardial infarction,6190.0
/m/01hmk9,Richard Pryor,/m/0dcqh,Multiple sclerosis,6190.0
